case,t,h,nrel_pred_cells,xpred,xfit,A,A_over_h2,relL2_data,relL2_fit,correlation,vrel_track,vtotal_track
CFL5,5.0,0.01,-3.384615384615852,136.24933915333344,136.28933588627436,3.3554713393764725e-06,0.03355471339376472,0.42311789054609683,0.4669790683067262,0.9060746385921092,1.1867032967032967,2.1867032967032967
CFL5,6.0,0.01,115.28571428571385,138.43604245003672,138.43352448686642,1.0638809598814184e-05,0.10638809598814183,0.0014809879599807793,0.0014809895841276588,0.9999989033367301,1.1867032967032967,2.1867032967032967
CFL5,7.0,0.01,233.95604395604357,140.62274574674004,140.62027440194427,1.063880959885143e-05,0.1063880959885143,0.0014809882775811535,0.0014809899017290793,0.9999989033362594,1.1867032967032967,2.1867032967032967
CFL5,8.0,0.01,352.6263736263732,142.80944904344332,142.80702431649303,1.0638809598845909e-05,0.10638809598845908,0.0014809888823929215,0.0014809905065428363,0.9999989033353638,1.1867032967032967,2.1867032967032967
CFL5,9.0,0.01,471.2967032967028,144.9961523401466,144.9937742304505,1.0638809598818226e-05,0.10638809598818226,0.0014809898176797447,0.001480991441832737,0.9999989033339787,1.1867032967032967,2.1867032967032967
CFL5,10.0,0.01,589.9670329670324,147.18285563684992,147.1805241437521,1.063880959883778e-05,0.1063880959883778,0.0014809911441879277,0.001480992768345284,0.9999989033320142,1.1867032967032967,2.1867032967032967
CFL5,11.0,0.01,708.6373626373622,149.3695589335532,149.3672740563402,1.0638809598806014e-05,0.10638809598806014,0.001480992870812741,0.001480994494975777,0.9999989033294575,1.1867032967032967,2.1867032967032967
CFL5,12.0,0.01,827.3076923076917,151.55626223025652,151.55402396814745,1.06388095987416e-05,0.106388095987416,0.0014809950454640602,0.001480996669634252,0.9999989033262362,1.1867032967032967,2.1867032967032967
CFL5,13.0,0.01,945.9780219780214,153.7429655269598,153.74077387910413,1.0638809598716116e-05,0.10638809598716116,0.00148099773358689,0.0014809993577659256,0.9999989033222554,1.1867032967032967,2.1867032967032967
CFL5,14.0,0.01,1064.6483516483513,155.92966882366312,155.9275237891473,1.0638809598649492e-05,0.10638809598649492,0.0014810009537817022,0.0014810025779713322,0.9999989033174863,1.1867032967032967,2.1867032967032967
CFL5,15.0,0.01,1183.318681318681,158.1163721203664,158.11427369820444,1.063880959855918e-05,0.10638809598559179,0.0014810047610760951,0.0014810063852782518,0.9999989033118475,1.1867032967032967,2.1867032967032967
CFL5,16.0,0.01,1301.9890109890107,160.3030754170697,160.30102360620046,1.0638809598513116e-05,0.10638809598513116,0.0014810092298050172,0.0014810108540218763,0.9999989033052294,1.1867032967032967,2.1867032967032967
CFL5,17.0,0.01,1420.6593406593402,162.489778713773,162.4877735130672,1.0638809598436624e-05,0.10638809598436624,0.0014810143927110172,0.0014810160169448623,0.999998903297583,1.1867032967032967,2.1867032967032967
CFL5,18.0,0.01,1539.3296703296699,164.6764820104763,164.67452341872664,1.0638809598333933e-05,0.10638809598333933,0.0014810203175180533,0.001481021941771392,0.9999989032888085,1.1867032967032967,2.1867032967032967
CFL20,19.0,0.02,-1.1874557887290749,150.259436191405,150.26399444648186,3.4710735285207454e-05,0.08677683821301863,0.8652804849914619,1.7261144188412123,0.5012880232889477,1.1013581702428668,2.1013581702428668
CFL20,20.0,0.02,53.88045272341415,152.3607943616479,152.39176681251666,-4.13181768050387e-05,0.10329544201259674,0.03292878390304726,0.03294665085365201,0.9994577005509871,1.1013581702428668,2.1013581702428668
