h,CFL,dt,N,Ldom,fixed_point_residual,lambda1_real,lambda1_imag,rho_F,lambda1_residual,lambda2_real,lambda2_imag,lambda2_abs,lambda2_residual,lambda3_real,lambda3_imag,lambda3_abs,lambda3_residual,edge_energy_frac,right_edge_energy_frac,left_edge_energy_frac,ritz_iterations,excess_percent,log_growth_per_cell,mode_type
0.005,5.0,0.001,3200,16.0,4.421457674947749e-11,-1.0725261440895748,-0.12543347233085303,1.079836045766498,3.14387392411242e-09,-1.0725261440895748,0.12543347233085303,1.079836045766498,3.14387392411242e-09,-0.9159054504749632,0.42296079440694706,1.0088501513183714,0.1017566115272418,0.9984793289025813,0.7039719156538724,0.29450741324870894,300,7.983604576649794,0.07680922013643869,complex pair
0.005,10.0,0.0005,3200,16.0,4.610063049583958e-11,-1.0594901067269196,0.0,1.0594901067269196,9.871420847921412e-14,-0.9990488228527584,-0.22177395202476216,1.0233680844350013,0.04187692795206721,-0.9990488228527584,0.22177395202476216,1.0233680844350013,0.04187692795206721,0.9969429052232641,0.8241903905529737,0.17275251467029043,300,5.949010672691957,0.057787761001562785,real flip
0.005,15.0,0.0003333333333333333,3200,16.0,4.3726337027251684e-11,-1.0781590490577877,0.0,1.0781590490577877,3.058209825843614e-09,-1.009187534917121,-0.24382293583604417,1.0382240146865238,0.00017187715022872827,-1.009187534917121,0.24382293583604417,1.0382240146865238,0.00017187715022872827,0.9986763927691773,0.8424107260363535,0.1562656667328238,300,7.81590490577877,0.07525500247365464,real flip
0.005,20.0,0.00025,3200,16.0,4.060782851742447e-11,-1.0831431410306704,0.0,1.0831431410306704,8.381366264457065e-10,-1.0117519882390806,-0.24891514970010106,1.0419217040910302,8.891255938082614e-05,-1.0117519882390806,0.24891514970010106,1.0419217040910302,8.891255938082614e-05,0.9989108862318418,0.8442033886246338,0.15470749760720795,300,8.314314103067044,0.07986713013516752,real flip
0.005,30.0,0.00016666666666666666,3200,16.0,4.3656290926806916e-11,-1.0863548225893342,0.0,1.0863548225893342,5.572807480908058e-10,-1.01339736389527,-0.25228504153134623,1.0443284729099152,7.139583281957852e-05,-1.01339736389527,0.25228504153134623,1.0443284729099152,7.139583281957852e-05,0.9990323763999344,0.8447938979984764,0.154238478401458,300,8.635482258933425,0.08282789244855382,real flip
0.01,5.0,0.002,1600,16.0,2.8079238933997885e-10,-1.057427281435909,0.0,1.057427281435909,2.4637677098334546e-09,-0.6532672006841378,-0.7650081813936437,1.00597989696062,0.09164948626514725,-0.6532672006841378,0.7650081813936437,1.00597989696062,0.09164948626514725,0.9988863253897149,0.7937641157170676,0.2051222096726473,360,5.742728143590892,0.05583886497428919,real flip
0.01,10.0,0.001,1600,16.0,7.230616105857735e-11,-1.0738889176042627,-0.13897343228880593,1.0828439510083558,5.467492394096977e-10,-1.0738889176042627,0.13897343228880593,1.0828439510083558,5.467492394096977e-10,-0.8974666430564182,-0.510036375001335,1.0322710299255031,0.0004836932581979979,0.9981224828509001,0.6607643890339807,0.33735809381691945,300,8.284395100835585,0.07959086807865101,complex pair
0.01,15.0,0.0006666666666666666,1600,16.0,3.333477938127771e-11,-1.0809501919688773,-0.14645735486975206,1.0908267847431128,4.326487747160824e-10,-1.0809501919688773,0.14645735486975206,1.0908267847431128,4.326487747160824e-10,-0.8929550606277754,-0.5227174144403993,1.0346991039234597,0.00047320329974936796,0.9987494926044558,0.6619568452040531,0.3367926474004028,280,9.08267847431128,0.08693592682452436,complex pair
0.01,20.0,0.0005,1600,16.0,2.018629707833952e-11,-1.0830041890281747,-0.14878103116731078,1.0931760465212284,2.982979663830296e-09,-1.0830041890281747,0.14878103116731078,1.0931760465212284,2.982979663830296e-09,-0.8910706267751656,-0.5268981715370735,1.035194930952909,0.0008725379798440497,0.998883233117205,0.6618109352711803,0.33707229784602466,240,9.317604652122835,0.08908726348999588,complex pair
0.01,30.0,0.0003333333333333333,1600,16.0,1.4710160550259913e-11,-1.084365363777702,-0.15036603094607354,1.0947411499634165,6.918437157075649e-10,-1.084365363777702,0.15036603094607354,1.0947411499634165,6.918437157075649e-10,-0.8896206330855196,-0.5298001579764918,1.0354289344051557,0.0004665777185737741,0.9989627004647733,0.6616405421749911,0.33732215828978224,260,9.474114996341655,0.09051794259582575,complex pair
0.015,5.0,0.003,1067,16.0,9.564665726102817e-10,-1.0466774400510714,-0.18503538541131795,1.0629072195474916,4.993841934759554e-09,-1.0466774400510714,0.18503538541131795,1.0629072195474916,4.993841934759554e-09,-0.2788105354918041,-0.8770850445536579,0.9203333581267815,0.3884770719517291,0.9957792804880938,0.5364976411038678,0.459281639384226,320,6.290721954749157,0.061007813845453306,complex pair
0.015,10.0,0.0015,1067,16.0,2.390757591896886e-10,-1.057866045324571,0.0,1.057866045324571,3.148676262592901e-14,-0.9723737878777247,-0.30811983873625015,1.020023832258113,0.005597465648847064,-0.9723737878777247,0.30811983873625015,1.020023832258113,0.005597465648847064,0.9964116303062349,0.7485086134080174,0.24790301689821753,360,5.786604532457096,0.05625371419581687,real flip
0.015,15.0,0.001,1067,16.0,1.1472389704891839e-10,-1.0775265429437855,0.0,1.0775265429437855,3.046799176660362e-09,-0.9753837814932107,-0.3278203489722273,1.028999369484874,0.001606190580142349,-0.9753837814932107,0.3278203489722273,1.028999369484874,0.001606190580142349,0.9985233794420609,0.7826862685147211,0.2158371109273398,300,7.752654294378547,0.07466817651489689,real flip
0.015,20.0,0.00075,1067,16.0,7.44281981965994e-11,-1.0832476655873966,0.0,1.0832476655873966,9.807520574645685e-11,-0.9765946622185386,-0.3338921464719111,1.0320954896468455,0.00030259006594925456,-0.9765946622185386,0.3338921464719111,1.0320954896468455,0.00030259006594925456,0.9988261731448763,0.7886575446725805,0.2101686284722958,320,8.324766558739661,0.07996362662738671,real flip
0.015,30.0,0.0005,1067,16.0,7.45622542853263e-11,-1.087058442747546,0.0,1.087058442747546,6.879530629870161e-10,-0.9774037556222875,-0.3381360481910871,1.034240827172684,0.0005241554427531193,-0.9774037556222875,0.3381360481910871,1.034240827172684,0.0005241554427531193,0.998982664900697,0.7919744485257859,0.20700821637491107,280,8.705844274754604,0.08347537187091233,real flip
0.02,5.0,0.004,800,16.0,2.2690189727114785e-09,-1.0393112484867681,0.0,1.0393112484867681,3.504675288071087e-14,-0.6345524832682932,-0.7557173322731361,0.9867955919642036,0.17924995069862207,-0.6345524832682932,0.7557173322731361,0.9867955919642036,0.17924995069862207,0.99109515824566,0.6831448760767924,0.30795028216886755,360,3.9311248486768147,0.038558232691134946,real flip
0.02,10.0,0.002,800,16.0,6.004136077208955e-10,-1.1188468231141782,0.0,1.1188468231141782,1.8202799568416067e-10,-0.9725908609346333,-0.39400405065581307,1.049367511745413,0.00012615794195059454,-0.9725908609346333,0.39400405065581307,1.049367511745413,0.00012615794195059454,0.9995227233875859,0.794255387815265,0.2052673355723209,220,11.884682311417816,0.11229853266243907,real flip
0.02,15.0,0.0013333333333333333,800,16.0,2.6443414125054687e-10,-1.1282183418999703,0.0,1.1282183418999703,8.309809613197604e-11,-0.9727941093903838,-0.4064844409120966,1.0543045005918592,0.00016067671104463512,-0.9727941093903838,0.4064844409120966,1.0543045005918592,0.00016067671104463512,0.9995943971991081,0.7953339990918824,0.20426039810722582,220,12.821834189997027,0.12063969985863819,real flip
0.02,20.0,0.001,800,16.0,1.5895307292623784e-10,-1.1309422287820001,0.0,1.1309422287820001,1.1231869447029272e-09,-0.9725506982087184,-0.41047272247080757,1.055624325448624,0.00019381358569489586,-0.9725506982087184,0.41047272247080757,1.055624325448624,0.00019381358569489586,0.9996113887633122,0.7950310050103114,0.20458038375300078,180,13.094222878200013,0.12305111606102112,real flip
0.02,30.0,0.0006666666666666666,800,16.0,8.276801466422512e-11,-1.1327890421812115,0.0,1.1327890421812115,1.9875397951745626e-10,-0.9723028716352804,-0.4132564105028941,1.0564817722099842,8.660382384400376e-05,-0.9723028716352804,0.4132564105028941,1.0564817722099842,8.660382384400376e-05,0.9996213382546054,0.7947362074816814,0.20488513077292403,200,13.278904218121145,0.12468277069479394,real flip
0.03,5.0,0.006,533,16.0,7.729121898059077e-09,-1.0591665762886417,-0.1599996308369636,1.0711833261374861,2.009263319562828e-09,-1.0591665762886417,0.1599996308369636,1.0711833261374861,2.009263319562828e-09,-0.7734375877690978,-0.6600205101800032,1.0167756763575497,0.008609787557107763,0.9961123987914293,0.5772509314688102,0.4188614673226191,320,7.1183326137486125,0.0687639496813413,complex pair
0.03,10.0,0.003,533,16.0,2.246591912502538e-09,-1.0904139502348964,-0.20716167258821425,1.1099182589075727,3.7771054399544465e-10,-1.0904139502348964,0.20716167258821425,1.1099182589075727,3.7771054399544465e-10,-0.7269339577958345,-0.7275448817213189,1.0284719412388479,0.00470940841281517,0.9993413005559849,0.5811935140977144,0.41814778645827055,220,10.991825890757267,0.1042863719888305,complex pair
0.03,15.0,0.002,533,16.0,1.1081991990735673e-09,-1.0940745855023861,-0.21378776191076437,1.1147665252352312,2.9227245588868634e-10,-1.0940745855023861,0.21378776191076437,1.1147665252352312,2.9227245588868634e-10,-0.7115710112035831,-0.7372456549356932,1.0246289375704987,0.006565096403042317,0.9994371289136195,0.5793874663562159,0.4200496625574036,220,11.476652523523123,0.10864498857814785,complex pair
0.03,20.0,0.0015,533,16.0,6.593371959517924e-10,-1.0951986023818285,-0.21600291999837004,1.116296215216612,2.544303231960664e-10,-1.0951986023818285,0.21600291999837004,1.116296215216612,2.544303231960664e-10,-0.7063351936584846,-0.7427608497311675,1.0249893100388585,0.008592084445796457,0.999462565653938,0.5785700062281565,0.4208925594257815,220,11.629621521661203,0.11001625456125476,complex pair
0.03,30.0,0.001,533,16.0,4.390820138033824e-10,-1.095955615266741,-0.21755781857658418,1.1173406441450622,1.9509169523963476e-10,-1.095955615266741,0.21755781857658418,1.1173406441450622,1.9509169523963476e-10,-0.7037008595964482,-0.7467269519450977,1.0260584976296412,0.011288215684302404,0.9994786272938545,0.5779667340353349,0.42151189325851957,220,11.734064414506218,0.11095143701957713,complex pair
