t,n_ahead_cells,A_hp_over_h2,pred_cells,case
6,115,0.10033513688711876,234.0,CFL5
7,234,0.10140809996095787,186.39999999999998,CFL5
8,353,0.10064478961122064,324.44,CFL5
9,471,0.10017781259366824,454.86400000000003,CFL5
10,590,0.10139063706509928,579.3184,CFL5
11,709,0.10076821430935044,702.59104,CFL5
12,827,0.10001002048205915,824.154624,CFL5
13,946,0.10136228399226294,943.2927744,CFL5
14,1065,0.10088096611595809,1063.37566464,CFL5
15,1183,0.09983181864971613,1183.0253987840001,CFL5
16,1302,0.10132305066464233,1301.0152392704,CFL5
17,1421,0.10098300575260516,1420.40914356224,CFL5
18,1539,0.09964326870872804,1539.645486137344,CFL5
20,56,0.09712103869536186,112.0,CFL20
21,112,0.09797222529703381,89.6,CFL20
22,169,0.09851799610918634,154.56,CFL20
23,205,0.2355409096066114,217.336,CFL20
24,267,0.18091183827669685,248.4016,CFL20
25,324,0.09783081200192385,317.84096,CFL20
26,380,0.09784753237539887,377.304576,CFL20
27,436,0.09774768706385074,434.3827456,CFL20
28,492,0.09753166345760136,491.02964736,CFL20
29,548,0.09720029858027936,547.417788416,CFL20
30,604,0.09675487336371591,603.6506730496,CFL20
31,660,0.09619710390815661,659.79040382976,CFL20
32,715,0.09598576293170503,715.874242297856,CFL20
33,771,0.09658066341917618,770.5245453787136,CFL20
34,827,0.09706388905252428,826.7147272272282,CFL20
35,883,0.09743358059585613,882.8288363363368,CFL20
