n,t0,t1,v,b,A_hp,A_raw,cv_hp,cv_raw,rms,maxres,case,h,dt,CFL,Vh,v_pred_hp,ratio_hp,r_est,r_distance,v_pred_raw,ratio_raw
7,45,75,1.9862857142857149,104.89714285714282,3.651204555841616e-05,3.823424897023609e-05,0.007050471669430968,0.008077679126798049,0.04553536414431066,0.08285714285713652,CFL20,0.02,0.001,20.0,20.660521654248,1.8858947697513664,1.0532325271508038,20.138089758342918,0.13808975834291815,1.9748488219586802,1.0057912748560123
7,40,70,2.005857142857142,102.21214285714281,3.707840697620728e-05,3.885288454451546e-05,0.09305267179062113,0.09233400081454814,0.07305295814596247,0.14499999999986812,CFL20,0.02,0.001,20.0,20.660521654248,1.9151480755923764,1.0473639967691313,19.94159960116802,0.05840039883198145,2.0068021561548974,0.9995290949360119
7,45,75,3.16642857142857,67.3342857142858,5.822072484137139e-05,6.0961348088067865e-05,0.006367603658559222,0.00711175871232584,0.0425464931766814,0.06785714285715017,CFL20,0.02,0.001,20.0,20.660521654248,3.0071763657779202,1.0529573880211889,12.632528761561025,0.36747123843897533,3.14873313061419,1.005619860458269
7,35,65,3.2595714285714275,59.75857142857146,5.9942662011288334e-05,6.276826455855892e-05,0.00920313542105424,0.010091983183576979,0.04311825220795921,0.08071428571429351,CFL20,0.02,0.001,20.0,20.660521654248,3.096116666243729,1.0527934764570759,12.271551913047293,0.2715519130472934,3.2420627227791847,1.0054004833617882
6,40,65,3.37017142857143,62.362666666666534,6.102597462993498e-05,6.37984349095535e-05,0.000333950899479292,0.0003724674927297721,0.010570999562291088,0.01790476190481627,CFL20,0.02,0.001,20.0,20.660521654248,3.152071175783402,1.0691926801855363,11.868832445996807,0.13116755400319313,3.2952723648899034,1.022729248264742
6,40,65,3.8153142857142828,33.14933333333343,6.993095082050922e-05,7.327463387077392e-05,0.00674608930760922,0.0075139215778959705,0.06367576599148608,0.10838095238099754,CFL20,0.02,0.001,20.0,20.660521654248,3.6120248093232066,1.0562813067801622,10.484064222381987,0.48406422238198665,3.7847303994855466,1.0080808625715834
7,35,65,4.352714285714283,56.25000000000005,7.997137867084965e-05,8.374313584356718e-05,0.00609191826034671,0.0068021193917055175,0.005532833351724043,0.009285714285624636,CFL20,0.02,0.001,20.0,20.660521654248,4.13062600187289,1.0537662532847794,9.189668187337956,0.18966818733795598,4.325442178726629,1.0063050448626463
7,25,55,5.135857142857142,40.20285714285716,9.388499462568148e-05,9.82498979445898e-05,0.005859146597537258,0.006542677732123941,0.006851187890448554,0.016428571428548366,CFL20,0.02,0.001,20.0,20.660521654248,4.8492824111821236,1.0590963172229764,7.7883786264638,0.21162137353620025,5.074735360029634,1.0120443291110162
6,35,60,2.1744000000000017,125.80599999999995,1.0023596118816048e-05,1.0493259997439786e-05,0.00711909250479005,0.007681827952594203,0.04979959839196291,0.06599999999997408,CFL5,0.01,0.002,5.0,20.661532318074,2.0710285515223887,1.049913096756501,4.598969830757906,0.40103016924209367,2.1680683055905523,1.0029204312396998
6,40,65,2.549885714285712,70.64600000000011,1.1894642276135673e-05,1.2474044722866242e-05,0.08927384540492395,0.08804730179145247,0.08850073984087548,0.13028571428571922,CFL5,0.01,0.002,5.0,20.661532318074,2.4576153580030646,1.0375446694626866,3.921744391905523,0.07825560809447696,2.577328781786013,0.9893521277943889
7,35,65,2.7678571428571415,77.41857142857154,1.2697020797353034e-05,1.3287642945495246e-05,0.01357333718995142,0.014710961522836206,0.09552219530515953,0.15928571428571558,CFL5,0.01,0.002,5.0,20.661532318074,2.623399055477674,1.0550652357207486,3.6129032258064533,0.3870967741935467,2.74543064149378,1.0081686643342624
6,45,70,5.3886285714285735,210.79552380952373,2.5489010937459725e-05,2.6674160866308246e-05,0.008409791364378123,0.009365096223117458,0.01688429344328836,0.033047619047579246,CFL5,0.01,0.002,5.0,20.661532318074,5.266420232400657,1.0232052008071921,1.8557597480408472,0.1442402519591528,5.511290367967326,0.9777435430998725
6,45,70,6.9581714285714344,149.16514285714246,3.32564837239701e-05,3.474763135679993e-05,0.01079325780152084,0.004453215843007295,0.011084094137858961,0.017142857142857792,CFL5,0.01,0.002,5.0,20.661532318074,6.871299132483101,1.0126427760476409,1.437159187963996,0.437159187963996,7.179393082550431,0.9691865800583231
