cell,time,q,q_gauge,abs_q,hp_edge,case,map_kind,h,kappa,phi_right,seed_class,case_short
0,0.0,-0.0002289411879508,0.0002289411879508,0.0002289411879508,0.0013214424496726,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
1,0.01,0.0002341815082422,0.0002341815082422,0.0002341815082422,0.000512544821865,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
2,0.02,-0.0002526628636473,0.0002526628636473,0.0002526628636473,0.0004307700520431,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
3,0.03,0.0002686986897193,0.0002686986897193,0.0002686986897193,0.000435074891546,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
4,0.04,-0.0002855087646859,0.0002855087646859,0.0002855087646859,0.0004428914685065,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
5,0.05,0.0003026401750416,0.0003026401750416,0.0003026401750416,0.0004369986625297,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
6,0.06,-0.0003201235793514,0.0003201235793514,0.0003201235793514,0.0004456920208874,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
7,0.07,0.0003387158202773,0.0003387158202773,0.0003387158202773,0.0004379883345771,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
8,0.08,-0.0003579458252877,0.0003579458252877,0.0003579458252877,0.0004466599422594,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
9,0.09,0.0003786312394037,0.0003786312394037,0.0003786312394037,0.0004384020978215,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
10,0.1,-0.0004001969330941,0.0004001969330941,0.0004001969330941,0.0004458683749425,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
11,0.11,0.0004231835602339,0.0004231835602339,0.0004231835602339,0.0004133255262853,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
12,0.12,-0.0004472518419497,0.0004472518419497,0.0004472518419497,0.0003533152514852,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
13,0.13,0.0004736598007813,0.0004736598007813,0.0004736598007813,0.0004306899450848,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
14,0.14,-0.0005008003166703,0.0005008003166703,0.0005008003166703,0.0007952540772601,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
15,0.15,0.0005293717328968,0.0005293717328968,0.0005293717328968,0.0005257558378869,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
16,0.16,-0.000558891308668,0.000558891308668,0.000558891308668,0.0003758480578113,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
17,0.17,0.0005907607040958,0.0005907607040958,0.0005907607040958,0.0010885958940696,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
18,0.18,-0.000623507325651,0.000623507325651,0.000623507325651,0.0004467008198102,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
19,0.19,0.0006608083942528,0.0006608083942528,0.0006608083942528,0.0012999392155829,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
20,0.2,-0.000698336382486,0.000698336382486,0.000698336382486,0.0004490217655407,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
21,0.21,0.0007410948421052,0.0007410948421052,0.0007410948421052,0.0012295399556598,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
22,0.22,-0.0007833433996719,0.0007833433996719,0.0007833433996719,0.0004002580385716,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
23,0.23,0.0008296601834388,0.0008296601834388,0.0008296601834388,0.0012101317685531,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
24,0.24,-0.0008760313570663,0.0008760313570663,0.0008760313570663,0.0005908517040958,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
25,0.25,0.0009269851826955,0.0009269851826955,0.0009269851826955,0.0007711750932496,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
26,0.26,-0.0009762247110776,0.0009762247110776,0.0009762247110776,0.0015761065568738,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
27,0.27,0.0010329811876986,0.0010329811876986,0.0010329811876986,0.0002241597730102,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
28,0.28,-0.0010913161194774,0.0010913161194774,0.0010913161194774,0.0008837080454549,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
29,0.29,0.0011535286252471,0.0011535286252471,0.0011535286252471,0.0002503790596065,h0.01_k5_min,True,0.01,5,0.9375,min,"h=0.01, k=5, min"
