case,cell,time,q,q_gauge,hp_edge
h0.01_k5_min,0,0.0,-0.0002289411587844196,0.0002289411587844196,0.00022894118795089227
h0.01_k5_min,1,0.01,0.00024211390000864386,0.00024211390000864386,0.00024205978777855458
h0.01_k5_min,2,0.02,-0.0002559794612250934,0.0002559794612250934,0.0002559240634866567
h0.01_k5_min,3,0.03,0.00027067994697992873,0.00027067994697992873,0.0002705930705585739
h0.01_k5_min,4,0.04,-0.00028617539021271246,0.00028617539021271246,0.00028609857094524517
h0.01_k5_min,5,0.05,0.0003026025906327707,0.0003026025906327707,0.0003024998180026481
h0.01_k5_min,6,0.06,-0.00031976400976568235,0.00031976400976568235,0.00031977241958491235
h0.01_k5_min,7,0.07,0.000338146666749977,0.000338146666749977,0.0003381122772535694
h0.01_k5_min,8,0.08,-0.0003572956791894093,0.0003572956791894093,0.0003574468334596659
h0.01_k5_min,9,0.09,0.00037796131601362153,0.00037796131601362153,0.0003781113105334741
h0.01_k5_min,10,0.1,-0.00039935760212947766,0.00039935760212947766,0.0003995915277230248
h0.01_k5_min,11,0.11,0.00042247510922985255,0.00042247510922985255,0.0004226774760974484
h0.01_k5_min,12,0.12,-0.00044642988910022403,0.00044642988910022403,0.00044664143678301656
h0.01_k5_min,13,0.13,0.00047235255989094946,0.00047235255989094946,0.00047222905181210995
h0.01_k5_min,14,0.14,-0.0004990995451063845,0.0004990995451063845,0.0004991323511101362
h0.01_k5_min,15,0.15,0.0005279820663072292,0.0005279820663072292,0.0005279639043769324
h0.01_k5_min,16,0.16,-0.0005578015825760513,0.0005578015825760513,0.0005580585579529158
h0.01_k5_min,17,0.17,0.000590183022814899,0.000590183022814899,0.0005901957693425037
h0.01_k5_min,18,0.18,-0.0006234657882827975,0.0006234657882827975,0.0006237136609663148
h0.01_k5_min,19,0.19,0.0006598320557118802,0.0006598320557118802,0.0006596092644341884
h0.01_k5_min,20,0.2,-0.0006969913076386579,0.0006969913076386579,0.000697270611681578
h0.01_k5_min,21,0.21,0.0007377477772735655,0.0007377477772735655,0.0007371478611439969
h0.01_k5_min,22,0.22,-0.0007791076020263147,0.0007791076020263147,0.0007795160526028282
h0.01_k5_min,23,0.23,0.0008247413243253909,0.0008247413243253909,0.0008242634081827402
h0.01_k5_min,24,0.24,-0.000870791567251938,0.000870791567251938,0.000871296180970875
h0.01_k5_min,25,0.25,0.0009219037185867964,0.0009219037185867964,0.0009212525153355019
h0.01_k5_min,26,0.26,-0.000973224040899532,0.000973224040899532,0.0009740080873570799
h0.01_k5_min,27,0.27,0.001030517631022933,0.001030517631022933,0.0010297929183012348
h0.01_k5_min,28,0.28,-0.0010876216065052848,0.0010876216065052848,0.0010886506528507102
h0.01_k5_min,29,0.29,0.0011517174074279918,0.0011517174074279918,0.001151065429590851
h0.01_k5_min,30,0.3,-0.0012151795344443957,0.0012151795344443957,0.001216911340190434
h0.01_k5_min,31,0.31,0.0012870431741119712,0.0012870431741119712,0.001286620212828438
h0.01_k5_min,32,0.32,-0.0013576773456214076,0.0013576773456214076,0.0013598484977978657
h0.01_k5_min,33,0.33,0.00143812376402822,0.00143812376402822,0.0014380614138847485
h0.01_k5_min,34,0.34,-0.0015166988862423876,0.0015166988862423876,0.0015196302152991185
h0.01_k5_min,35,0.35000000000000003,0.0016069098233669177,0.0016069098233669177,0.001606781988889569
h0.01_k5_min,36,0.36,-0.0016941467172696867,0.0016941467172696867,0.0016982679544940706
h0.01_k5_min,37,0.37,0.0017951507871387263,0.0017951507871387263,0.0017956805502363394
h0.01_k5_min,38,0.38,-0.0018919812759205727,0.0018919812759205727,0.001897388869964193
h0.01_k5_min,39,0.39,0.00200519541298537,0.00200519541298537,0.002006301543303235
h0.01_k5_min,40,0.4,-0.0021125360807885546,0.0021125360807885546,0.0021198520349012405
h0.01_k5_min,41,0.41000000000000003,0.002239404307777406,0.002239404307777406,0.0022414986177656236
h0.01_k5_min,42,0.42,-0.0023583433503210306,0.0023583433503210306,0.002367962441957057
h0.01_k5_min,43,0.43,0.0025005939039774725,0.0025005939039774725,0.0025038370080923016
h0.01_k5_min,44,0.44,-0.002632100891155526,0.002632100891155526,0.0026453791122186708
h0.01_k5_min,45,0.45,0.0027914164982540523,0.0027914164982540523,0.0027964500436098
h0.01_k5_min,46,0.46,-0.002936569218224905,0.002936569218224905,0.002954266480915107
h0.01_k5_min,47,0.47000000000000003,0.003114911746897962,0.003114911746897962,0.0031227974497063642
h0.01_k5_min,48,0.48,-0.003274869409456837,0.003274869409456837,0.0032983851676001708
h0.01_k5_min,49,0.49,0.003474475503052638,0.003474475503052638,0.003485800834755974
h0.01_k5_min,50,0.5,-0.0036504908185431037,0.0036504908185431037,0.0036818758307466423
h0.01_k5_min,51,0.51,0.0038737102169346138,0.0038737102169346138,0.003890003406914275
h0.01_k5_min,52,0.52,-0.0040667969055628375,0.0040667969055628375,0.0041087643915058885
h0.01_k5_min,53,0.53,0.004316078900878277,0.004316078900878277,0.004339332916627032
h0.01_k5_min,54,0.54,-0.004527217757555614,0.004527217757555614,0.004583338740951556
h0.01_k5_min,55,0.55,0.004804990368959217,0.004804990368959217,0.004838006764499833
h0.01_k5_min,56,0.56,-0.005035233311271303,0.005035233311271303,0.005110041633119571
h0.01_k5_min,57,0.5700000000000001,0.005344234685636924,0.005344234685636924,0.005391133320587314
h0.01_k5_min,58,0.58,-0.005594231663246851,0.005594231663246851,0.005695279568360177
h0.01_k5_min,59,0.59,0.005937148369587144,0.005937148369587144,0.006003977899048313
h0.01_k5_min,60,0.6,-0.006207251088166583,0.006207251088166583,0.006343873248352163
h0.01_k5_min,61,0.61,0.0065868680470666605,0.0065868680470666605,0.006681539220684951
h0.01_k5_min,62,0.62,-0.006877026768443117,0.006877026768443117,0.007060807363231884
h0.01_k5_min,63,0.63,0.007295633673187776,0.007295633673187776,0.00742898859496619
h0.01_k5_min,64,0.64,-0.007605073827174584,0.007605073827174584,0.007851910882492858
h0.01_k5_min,65,0.65,0.008064385845884342,0.008064385845884342,0.008251337269126906
h0.01_k5_min,66,0.66,-0.008391372612005543,0.008391372612005543,0.008722699956735544
h0.01_k5_min,67,0.67,0.008892088695518614,0.008892088695518614,0.00915363341730285
h0.01_k5_min,68,0.68,-0.00923378341380282,0.00923378341380282,0.009677398105735084
h0.01_k5_min,69,0.6900000000000001,0.00977603989784604,0.00977603989784604,0.010138093942824195
h0.01_k5_min,70,0.7000000000000001,-0.010127968538619386,0.010127968538619386,0.010718272245477993
h0.01_k5_min,71,0.71,0.010710645470774483,0.010710645470774483,0.011207767728009639
h0.01_k5_min,72,0.72,-0.01106646643656026,0.01106646643656026,0.011848505180566994
h0.01_k5_min,73,0.73,0.011686678269836657,0.011686678269836657,0.012363084928410867
h0.01_k5_min,74,0.74,-0.012037479514869751,0.012037479514869751,0.013067713400474237
h0.01_k5_min,75,0.75,0.012690619456946835,0.012690619456946835,0.013601853164948725
h0.01_k5_min,76,0.76,-0.013024436744101205,0.013024436744101205,0.014372602549101327
h0.01_k5_min,77,0.77,0.013703567726582272,0.013703567726582272,0.014919438834026246
h0.01_k5_min,78,0.78,-0.014005696437064404,0.014005696437064404,0.01575619914332685
h0.01_k5_min,79,0.79,0.014701266026975296,0.014701266026975296,0.016305855744380707
h0.01_k5_min,80,0.8,-0.014953944995063324,0.014953944995063324,0.01720722576182513
h0.01_k5_min,81,0.81,0.01565247911656707,0.01565247911656707,0.01774725484328762
h0.01_k5_min,82,0.8200000000000001,-0.015834989477487908,0.015834989477487908,0.01870841254897538
h0.01_k5_min,83,0.8300000000000001,0.016518352549522733,0.016518352549522733,0.0192218700505919
h0.01_k5_min,84,0.84,-0.016607147739730852,0.016607147739730852,0.02023572467967541
h0.01_k5_min,85,0.85,0.017253810715526525,0.017253810715526525,0.020704538254813044
h0.01_k5_min,86,0.86,-0.01722293986829833,0.01722293986829833,0.021760647170544208
h0.01_k5_min,87,0.87,0.017808766810116367,0.017808766810116367,0.022163075905124244
h0.01_k5_min,88,0.88,-0.01763139027370172,0.01763139027370172,0.023247538529018983
h0.01_k5_min,89,0.89,0.01813075748523868,0.01813075748523868,0.023558834355250746
h0.01_k5_min,90,0.9,-0.0177806440084185,0.0177806440084185,0.024654762723545907
h0.01_k5_min,91,0.91,0.018167649072410995,0.018167649072410995,0.024848443522464233
