h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case,q_turn,cells_to_turn_linear,time_to_turn_linear
0.01,5.0,0.002,0.0,0.3629385640828673,7.996814692820415,1600,16.0,2.777855723223865e-10,-1.0565066187726964,0.0,1.0565066187726964,3.141592653589793,real flip,3.56621184833785e-10,6.928364979660546e-10,-1.0565066190978305,0.0,1.0,0.0,0.7911679343017078,0.2080161537070885,0.9991840880087964,0.0007405080706584,0.0,0.0007405080706584,-0.0055555555555555,-0.0015229048435236,0.0057605066351226,400,380.0,7.587024211883545,h0.01_k5,0.07147,83.13402804470488,0.8313402804470488
0.01,5.0,0.002,0.0625,0.4254385640828104,7.997439692820414,1600,16.0,2.807754029277021e-10,-1.0567329609481069,0.0,1.0567329609481069,3.141592653589793,real flip,1.446648495070021e-09,6.541196667306439e-10,-1.0567329609531746,0.0,1.0000000000000002,0.0,0.7920211395679759,0.2071756077401117,0.9991967473080876,0.0012234238173431,0.0,0.0012234238173431,-0.0048611111111111,-0.0008284603990798,0.00493120146287,380,380.0,7.666414022445679,h0.01_k5,0.07147,73.71283694208557,0.7371283694208558
0.01,5.0,0.002,0.125,0.4879385640827536,7.998064692820414,1600,16.0,2.8425184428471084e-10,-1.05744920084129,0.0,1.05744920084129,3.141592653589793,real flip,5.118074032284148e-10,5.315731570970344e-10,-1.057449201126131,0.0,1.0000000000000002,0.0,0.7940422984503949,0.205175895969481,0.999218194419876,-0.0016236350351633,0.0,0.0016236350351633,-0.0041666666666666,-0.000134015954636,0.0041688213426828,400,380.0,7.666100263595581,h0.01_k5,0.07147,67.75219872511428,0.6775219872511429
0.01,5.0,0.002,0.1875,0.5504385640826968,7.998689692820413,1600,16.0,2.7857849360657383e-10,-1.0566080905323116,0.0,1.0566080905323116,3.141592653589793,real flip,1.1443426978609155e-09,5.765798119814774e-10,-1.0566080908869766,0.0,0.9999999999999998,0.0,0.7919053923492475,0.2072895221951423,0.99919491454439,-0.0019818288974763,0.0,0.0019818288974763,-0.0034722222222222,0.0005604284898077,0.0035171589746103,400,380.0,7.770414352416992,h0.01_k5,0.07147,65.11090016648761,0.6511090016648761
0.01,5.0,0.002,0.25,0.6129385640828104,7.999314692820414,1600,16.0,2.7960656012737667e-10,-1.0566092152284294,0.0,1.0566092152284294,3.141592653589793,real flip,1.5817816863454327e-09,5.821165866218522e-10,-1.056609216104667,0.0,1.0,0.0,0.7919016528641677,0.2073065072866707,0.9992081601508384,0.002232835027012,0.0,0.002232835027012,-0.0027777777777777,0.0012548729342534,0.0030480740581288,380,380.0,7.878988265991211,h0.01_k5,0.07147,62.94398014834859,0.6294398014834859
0.01,5.0,0.002,0.3125,0.6754385640827536,7.999939692820414,1600,16.0,2.7947200109679216e-10,-1.0574470875438196,0.0,1.0574470875438196,3.141592653589793,real flip,7.338197450786284e-10,4.3791740634407145e-10,-1.0574470879685234,0.0,1.0,0.0,0.7938431777487636,0.2053876569418812,0.9992308346906448,0.0023677865771489,0.0,0.0023677865771489,-0.0020833333333333,0.0019493173786972,0.0028530888560766,380,380.0,7.988542318344116,h0.01_k5,0.07147,61.00015906310546,0.6100015906310546
0.01,5.0,0.002,0.375,0.7379385640826968,8.000564692820413,1600,16.0,2.7905966426544637e-10,-1.056724748987874,0.0,1.056724748987874,3.141592653589793,real flip,7.256537184312099e-10,5.530908581500488e-10,-1.056724749448908,0.0,1.0,0.0,0.7919481360796705,0.2072837488395268,0.9992318849191972,-0.0024561447065481,0.0,0.0024561447065481,-0.0013888888888888,0.002643761823141,0.0029863839209279,380,380.0,7.709878444671631,h0.01_k5,0.07147,61.09161291849854,0.6109161291849854
0.01,5.0,0.002,0.4375,0.8004385640828104,8.001189692820414,1600,16.0,2.784260599852928e-10,-1.0565118776210638,0.0,1.0565118776210638,3.141592653589793,real flip,1.61309637408258e-09,5.870232858249524e-10,-1.0565118777335871,0.0,1.0,0.0,0.7911990937242677,0.208036041872671,0.9992351355969388,0.0024348597177155,0.0,0.0024348597177155,-0.0006944444444444,0.0033382062675867,0.0034096736165468,360,380.0,7.57286810874939,h0.01_k5,0.07147,61.473830883956566,0.6147383088395657
0.01,5.0,0.002,0.5,0.8629385640827536,8.001814692820414,1600,16.0,2.778431928973646e-10,-1.057301616897346,0.0,1.057301616897346,3.141592653589793,real flip,1.122421052873647e-09,4.4268869719901026e-10,-1.0573016169550449,0.0,1.0,0.0,0.7927617934291389,0.2064866826766848,0.9992484761058236,0.0022973283898959,0.0,0.0022973283898959,0.0,0.0040326507120305,0.0040326507120305,360,380.0,7.8624162673950195,h0.01_k5,0.07147,61.692925179758895,0.616929251797589
0.01,5.0,0.002,0.5625,0.9254385640826968,8.002439692820413,1600,16.0,2.7762270260467403e-10,-1.056892228044561,0.0,1.056892228044561,3.141592653589793,real flip,1.217895080020983e-09,5.126231500953511e-10,-1.0568922280094395,0.0,1.0,0.0,0.7917458912980359,0.2074949995221374,0.9992408908201732,0.0021062766333484,0.0,0.0021062766333484,0.0006944444444444,0.0047270951564744,0.004777832322799,360,380.0,7.469155311584473,h0.01_k5,0.07147,63.693862401126886,0.6369386240112689
