epsilon,rho,real,imag,residual,edge_fraction,case,branch
0.0,1.057419537251875,-1.057419537251875,0.0,2.9447565912357297e-05,0.9993944172734814,"h=0.01, kappa=5",real
0.02,1.0481051628655895,-1.0481051628655895,0.0,0.0005638027850061,0.999510529436528,"h=0.01, kappa=5",real
0.05,1.037740608215358,-1.037740608215358,0.0,0.0006900864389023,0.999518196731176,"h=0.01, kappa=5",real
0.1,1.027009852393273,-1.027009852393273,0.0,0.001026254132105,0.9994940738343474,"h=0.01, kappa=5",real
0.15,1.019431373680982,-1.019431373680982,0.0,0.0010738926114417,0.9994803237022674,"h=0.01, kappa=5",real
0.2,1.0144681179143809,-1.0144681179143809,0.0,0.0010309413665848,0.9994707005625842,"h=0.01, kappa=5",real
0.25,1.0099415169206185,-1.0099415169206185,0.0,0.0009728244462404,0.9994641396494488,"h=0.01, kappa=5",real
0.3,1.00607492143264,-1.00607492143264,0.0,0.0013405113901821,0.9994582145770444,"h=0.01, kappa=5",real
0.34,1.0017963689339209,-1.0017963689339209,0.0,1.1791552918814723e-05,0.9994571870980375,"h=0.01, kappa=5",real
0.3425,1.0016355427709915,-1.0016355427709915,0.0,3.1615149446775897e-06,0.9994570074982042,"h=0.01, kappa=5",real
0.345,1.0014759017559438,-1.0014759017559438,0.0,1.4008493393187852e-06,0.9994567529521254,"h=0.01, kappa=5",real
0.3475,1.0013170270150344,-1.0013170270150344,0.0,1.2188881886967969e-06,0.9994565132915216,"h=0.01, kappa=5",real
0.35,1.00115884975903,-1.00115884975903,0.0,1.2359875469410005e-06,0.9994562802525156,"h=0.01, kappa=5",real
0.3525,1.0010013848057753,-1.0010013848057753,0.0,1.3355390938099282e-06,0.9994560423750158,"h=0.01, kappa=5",real
0.355,1.000844614755754,-1.000844614755754,0.0,1.4501126043975618e-06,0.999455809472264,"h=0.01, kappa=5",real
0.3575,1.000688527872863,-1.000688527872863,0.0,1.5687256658551055e-06,0.9994555780183249,"h=0.01, kappa=5",real
0.36,1.000533110124436,-1.000533110124436,0.0,1.7008788702866604e-06,0.9994553473034822,"h=0.01, kappa=5",real
0.3625,1.0003783518354172,-1.0003783518354172,0.0,1.850214939660446e-06,0.9994551191519978,"h=0.01, kappa=5",real
0.365,1.000224238376717,-1.000224238376717,0.0,2.015677265562833e-06,0.999454892446529,"h=0.01, kappa=5",real
0.3675,1.0000707582799324,-1.0000707582799324,0.0,2.199594108251276e-06,0.9994546673833766,"h=0.01, kappa=5",real
0.37,0.9999179031663396,-0.9999179031663396,0.0,2.418495829338898e-06,0.9994544444580578,"h=0.01, kappa=5",real
0.3725,0.9997656584499178,-0.9997656584499178,0.0,2.6760032809212e-06,0.9994542227116998,"h=0.01, kappa=5",real
0.375,0.999614018271072,-0.999614018271072,0.0,2.9887499363452538e-06,0.999454002889864,"h=0.01, kappa=5",real
0.3775,0.9994629650352164,-0.9994629650352164,0.0,3.393252320199073e-06,0.99945378489546,"h=0.01, kappa=5",real
0.38,0.9993124886977722,-0.9993124886977722,0.0,3.954603938366678e-06,0.999453567587258,"h=0.01, kappa=5",real
0.3825,0.9991625826519024,-0.9991625826519024,0.0,4.815851610551757e-06,0.999453352121674,"h=0.01, kappa=5",real
0.385,0.9990132304182918,-0.9990132304182918,0.0,6.284799167999389e-06,0.9994531372147932,"h=0.01, kappa=5",real
0.3875,0.998864418273441,-0.998864418273441,0.0,9.068983744631198e-06,0.999452921228928,"h=0.01, kappa=5",real
0.39,0.99871612609512,-0.99871612609512,0.0,1.465582943112201e-05,0.999452704767814,"h=0.01, kappa=5",real
0.395,0.9985464381269394,-0.9985464381269394,0.0,0.0001706097635587,0.9994519009966776,"h=0.01, kappa=5",real
0.4,0.9981487310746828,-0.9981487310746828,0.0,0.0001536926780743,0.999451405863396,"h=0.01, kappa=5",real
0.405,0.9978531937174724,-0.9978531937174724,0.0,0.0001505685438979,0.9994508020412336,"h=0.01, kappa=5",real
0.41,0.997559433897396,-0.997559433897396,0.0,0.0001643942809354,0.9994500866042232,"h=0.01, kappa=5",real
0.415,0.997279751797948,-0.997279751797948,0.0,0.0001856643333367,0.9994499326256492,"h=0.01, kappa=5",real
0.42,0.996984209331638,-0.996984209331638,0.0,0.0002190819418566,0.9994502101248512,"h=0.01, kappa=5",real
