base,epsilon,time,cell,mass,l2sq,peak,fit_center,fit_amplitude_scale,fit_relL2,hp_global
h001_k5_L30_base.npz,0.0,0.0,0,8.377580407384373,8.377580409572788,1.3333333333333333,15.0,1.0,0.0,0.041666579860821784
h001_k5_L30_base.npz,0.0,0.25,25,8.377580407384336,8.377580409560032,1.3333333332716186,14.999999979051786,0.9999999999992358,7.531891184194463e-08,0.05052648376229629
h001_k5_L30_base.npz,0.0,0.5,50,8.377580407384334,8.377580409524477,1.3333333332950907,14.999999958105624,0.9999999999971011,1.7710010986077062e-07,0.05461357088623487
h001_k5_L30_base.npz,0.0,0.75,75,8.37758040738438,8.377580409467958,1.3333333334089876,14.999999937170058,0.9999999999937302,1.6373557577905307e-07,0.05283377980243672
h001_k5_L30_base.npz,0.0,1.0,100,8.377580407384407,8.37758040939429,1.3333333330590131,14.999999916237133,0.9999999999893086,2.752765488305124e-07,0.06593695449183956
h001_k5_L30_base.npz,1e-05,0.0,0,8.377580407384373,8.377580409572788,1.3333333333333333,15.0,1.0,0.0,0.041666579860821784
h001_k5_L30_base.npz,1e-05,0.25,25,8.377580407384377,8.377580409560078,1.3333333332715738,14.99999997905177,0.9999999999992384,7.529676753090202e-08,0.050523975753143706
h001_k5_L30_base.npz,1e-05,0.5,50,8.377580407384388,8.377580409524542,1.3333333332951485,14.999999958105604,0.9999999999971046,1.770387368725153e-07,0.05460566786571663
h001_k5_L30_base.npz,1e-05,0.75,75,8.377580407384375,8.37758040946792,1.3333333334088788,14.999999937170067,0.9999999999937278,1.6378155019844583e-07,0.052834633779471785
h001_k5_L30_base.npz,1e-05,1.0,100,8.377580407384414,8.377580409394252,1.3333333330588386,14.999999916237135,0.9999999999893066,2.749570699974659e-07,0.06592530689773854
h001_k5_L30_base.npz,0.36866,0.0,0,8.377580407384373,8.377580409572788,1.3333333333333333,15.0,1.0,0.0,0.041666579860821784
h001_k5_L30_base.npz,0.36866,0.25,25,8.377580407384343,8.377580409244645,1.3333333332482213,14.999999979079115,0.9999999999804151,2.3044409964461432e-08,0.04386548697328391
h001_k5_L30_base.npz,0.36866,0.5,50,8.377580407384343,8.377580408905748,1.3333333332033401,14.999999958170246,0.9999999999601887,2.1269949227074755e-08,0.04342908016205778
h001_k5_L30_base.npz,0.36866,0.75,75,8.377580407384368,8.377580408557058,1.3333333331397905,14.99999993726274,0.9999999999393782,2.1697814581840785e-08,0.04351997319415653
h001_k5_L30_base.npz,0.36866,1.0,100,8.377580407384384,8.377580408199718,1.333333333068447,14.999999916357208,0.9999999999180508,2.3305434055553124e-08,0.04389762054192455
h001_k5_L30_base.npz,0.45,0.0,0,8.377580407384373,8.377580409572788,1.3333333333333333,15.0,1.0,0.0,0.041666579860821784
h001_k5_L30_base.npz,0.45,0.25,25,8.37758040738434,8.37758040917504,1.333333333238161,14.999999979085272,0.9999999999762611,2.2752018982875118e-08,0.04372461261119584
h001_k5_L30_base.npz,0.45,0.5,50,8.37758040738434,8.377580408769266,1.3333333331810868,14.999999958184107,0.999999999952043,2.14819405685943e-08,0.043436298076166634
h001_k5_L30_base.npz,0.45,0.75,75,8.377580407384336,8.377580408356064,1.3333333331124608,14.999999937283611,0.9999999999273819,2.192852414518727e-08,0.04359046684080799
h001_k5_L30_base.npz,0.45,1.0,100,8.377580407384347,8.37758040793623,1.3333333330422537,14.999999916384231,0.9999999999023251,2.2964306165901347e-08,0.04378276874212469
h002_k20_L16_base.npz,0.0,0.0,0,8.377580389295252,8.37758040957297,1.3333333333333333,8.0,1.0,0.0,0.04166631944552135
h002_k20_L16_base.npz,0.0,0.24,12,8.377580389295252,8.377580409462494,1.3333333338565896,7.999999994401761,0.9999999999933996,1.1784451277800153e-07,0.04358555132100293
h002_k20_L16_base.npz,0.0,0.5,25,8.377580389295257,8.377580409117812,1.333333342557192,7.999999988356134,0.9999999999725444,7.620595533135537e-07,0.05605718415661869
h002_k20_L16_base.npz,0.0,0.74,37,8.377580389295254,8.377580408665434,1.3333333523825948,7.999999982833652,0.999999999941731,2.865082535822996e-06,0.07648348593841452
