label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps0,0.02,20,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,8.37758040957297,8.377580389295252
h002_k20_eps0,0.02,20,0.0,1,0.02,0.0049022964485636675,0.00010839299461231668,1.4424347271489032e-08,1.7937322146239905e-07,1.3333333333343438,8.37758040957209,8.377580389295252
h002_k20_eps0,0.02,20,0.0,2,0.04,0.0007937911257122766,3.7923488504163345e-05,1.7715574708242e-09,7.004294235431396e-08,1.3333333333884774,8.377580409569171,8.37758038929525
h002_k20_eps0,0.02,20,0.0,3,0.06,0.0049130299650370956,0.00011647948019351774,1.6661296043606508e-08,1.7513394608879645e-07,1.3333333333085045,8.377580409565347,8.377580389295252
h002_k20_eps0,0.02,20,0.0,4,0.08,0.0008240014271432547,3.890489285448129e-05,1.8648129837519952e-09,7.247062840649105e-08,1.3333333342595437,8.377580409559524,8.377580389295254
h002_k20_eps0,0.02,20,0.0,5,0.1,0.004890329406511455,0.00011686094145736078,1.6770960455030823e-08,1.7401173949943738e-07,1.333333335063668,8.377580409552756,8.377580389295254
h002_k20_eps0,0.02,20,0.0,6,0.12,0.0010219389731165162,3.7520496725603785e-05,1.7347734457924925e-09,7.487635055972554e-08,1.333333333340998,8.377580409544006,8.377580389295254
h002_k20_eps0,0.02,20,0.0,7,0.14,0.00518104470830536,0.00012442647815539927,1.901289808868487e-08,1.873138683952328e-07,1.3333333353138146,8.37758040953435,8.377580389295252
h002_k20_eps0,0.02,20,0.0,8,0.16,0.0004614154477812195,2.701473633856767e-05,8.999951222633765e-10,9.498528681061856e-08,1.3333333327303767,8.377580409522674,8.377580389295254
h002_k20_eps0,0.02,20,0.0,9,0.18,0.005912626065704629,0.00014914481026818865,2.731907960077573e-08,2.231495347878945e-07,1.333333335793736,8.377580409510204,8.377580389295252
h002_k20_eps0,0.02,20,0.0,10,0.2,0.002133281087008774,2.5228042244149222e-05,7.782099159072718e-10,1.084593123882739e-07,1.3333333335944557,8.37758040949558,8.377580389295252
h002_k20_eps0,0.02,20,0.0,11,0.22,0.004991083613358458,0.00011748542646817862,1.694865354922186e-08,1.922032537719566e-07,1.3333333361505015,8.377580409480109,8.377580389295252
h002_k20_eps0,0.02,20,0.0,12,0.24,0.001161921512744084,5.319911906836889e-06,3.418763072758143e-11,1.1785551296822122e-07,1.3333333338565936,8.377580409462494,8.377580389295254
h002_k20_eps0,0.02,20,0.0,13,0.26,0.007315995002581178,0.00018013008124700893,3.984863699426866e-08,2.6969062030121905e-07,1.3333333373587166,8.377580409444791,8.377580389295252
h002_k20_eps0,0.02,20,0.0,14,0.28,0.001936719937177155,8.35898076390724e-05,8.600333173768706e-09,1.9377634601403437e-07,1.3333333347920067,8.377580409423835,8.377580389295252
h002_k20_eps0,0.02,20,0.0,15,0.3,0.009715654150231724,0.00025966435554044274,8.284683291601526e-08,3.76428727143634e-07,1.3333333368340792,8.377580409404057,8.377580389295252
h002_k20_eps0,0.02,20,0.0,16,0.32,0.005891528030035372,0.0002089620022142755,5.374453302402978e-08,3.21217453957138e-07,1.3333333355199788,8.377580409380084,8.377580389295254
h002_k20_eps0,0.02,20,0.0,17,0.34,0.012081819639589746,0.00035276719488473967,1.530339105197716e-07,4.811111580148902e-07,1.333333337412655,8.377580409357494,8.377580389295252
h002_k20_eps0,0.02,20,0.0,18,0.36,0.007669980378095202,0.000281903193588422,9.787871897366687e-08,3.934418266489922e-07,1.3333333337912965,8.377580409330799,8.377580389295249
h002_k20_eps0,0.02,20,0.0,19,0.38,0.016221752125817664,0.0004907961011083604,2.9641673755091465e-07,6.189752244722827e-07,1.3333333379709265,8.377580409306447,8.377580389295252
h002_k20_eps0,0.02,20,0.0,20,0.4,0.012044921564602342,0.00046901931052903797,2.7122214900144295e-07,5.336014029784813e-07,1.3333333314714428,8.377580409276371,8.37758038929525
h002_k20_eps0,0.02,20,0.0,21,0.42,0.0180718925389766,0.0006037083077338655,4.490646161331216e-07,6.921174802114065e-07,1.3333333396417069,8.377580409248747,8.377580389295249
h002_k20_eps0,0.02,20,0.0,22,0.44,0.013516796460453624,0.0005692803262820478,3.9998576549629663e-07,5.705311582279703e-07,1.3333333312944946,8.377580409216186,8.377580389295252
h002_k20_eps0,0.02,20,0.0,23,0.46,0.018003072756159443,0.0006299931617492956,4.893410707660209e-07,7.047663792965588e-07,1.3333333413850432,8.377580409185864,8.37758038929525
h002_k20_eps0,0.02,20,0.0,24,0.48,0.015039562773531454,0.0006389830060203534,5.040812833454602e-07,6.213277850281056e-07,1.3333333287090916,8.377580409150772,8.377580389295247
