label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps1e-5,0.02,20,1e-05,0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,8.37758040957297,8.377580389295252
h002_k20_eps1e-5,0.02,20,1e-05,1,0.02,0.0049022323465797825,0.00010839207082650108,1.4424099817978259e-08,1.7937118792116124e-07,1.3333333333343411,8.377580409572086,8.377580389295254
h002_k20_eps1e-5,0.02,20,1e-05,2,0.04,0.0007938122651689414,3.7914145479647605e-05,1.7706583485897361e-09,7.004225916241068e-08,1.3333333333884725,8.377580409569159,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,3,0.06,0.004912842619005774,0.00011647181396379807,1.665905418520933e-08,1.7512799521560648e-07,1.3333333333085098,8.377580409565319,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,4,0.08,0.0008240399069285952,3.8890137750448216e-05,1.8633647922193195e-09,7.246842490843728e-08,1.3333333342595437,8.377580409559481,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,5,0.1,0.004890019109210573,0.0001168488998099588,1.6767444944918725e-08,1.740018103049513e-07,1.3333333350636636,8.377580409552705,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,6,0.12,0.0010219945733944474,3.750135159411694e-05,1.7329697353038046e-09,7.487310559268854e-08,1.3333333333410216,8.377580409543944,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,7,0.14,0.00518060917774739,0.0001244104130684824,1.9007921315297088e-08,1.8729998146795677e-07,1.3333333353137515,8.377580409534279,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,8,0.16,0.0004614027289644699,2.699266049448831e-05,8.98502530008678e-10,9.498324280880598e-08,1.3333333327304575,8.377580409522587,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,9,0.18,0.005912033388199922,0.00014912331089655823,2.7311106065716746e-08,2.2313115381987658e-07,1.33333333579361,8.377580409510113,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,10,0.2,0.0021336940268599676,2.5252160668270912e-05,7.797229952755479e-10,1.0846889983926017e-07,1.333333333594572,8.37758040949548,8.377580389295256
h002_k20_eps1e-5,0.02,20,1e-05,11,0.22,0.004990447244680046,0.00011746450088160548,1.6942571458010137e-08,1.9218344441460494e-07,1.3333333361503101,8.377580409479997,8.377580389295256
