label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_epscrit,0.02,20,0.191,0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,8.37758040957297,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,1,0.02,0.0038508448844157286,9.791279667096572e-05,1.169612682624087e-08,1.4856403633868523e-07,1.3333333333075936,8.377580409358961,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,2,0.04,0.0011113653821872703,7.088182208165025e-05,6.495729301731126e-09,8.224630859027566e-08,1.3333333333348998,8.377580409143775,8.37758038929525
h002_k20_epscrit,0.02,20,0.191,3,0.06,0.0028158435272260867,7.886085404096578e-05,7.761373025473033e-09,1.1503238388936298e-07,1.3333333332452924,8.377580408928125,8.377580389295249
h002_k20_epscrit,0.02,20,0.191,4,0.08,0.0017455605546678329,7.45559219178447e-05,7.034381798403918e-09,8.95001065227729e-08,1.3333333340646694,8.377580408711514,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,5,0.1,0.0023979021043586757,7.790798269653814e-05,7.621311168089017e-09,1.0337753486969654e-07,1.3333333347677376,8.377580408494223,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,6,0.12,0.002071177798576986,7.703554546972189e-05,7.488360678042542e-09,9.664062545872025e-08,1.3333333336417676,8.377580408276085,8.377580389295254
h002_k20_epscrit,0.02,20,0.191,7,0.14,0.0024463676311781138,8.083609736769637e-05,8.192897001275891e-09,1.1050074984372779e-07,1.3333333345218081,8.377580408057215,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,8,0.16,0.002215760019908871,7.798535236194251e-05,7.617772427270879e-09,1.1596684537217494e-07,1.333333333454238,8.37758040783753,8.377580389295252
h002_k20_epscrit,0.02,20,0.191,9,0.18,0.002696455245111478,8.386733015855376e-05,8.721991600035206e-09,1.3551487753010248e-07,1.333333334560721,8.377580407617101,8.377580389295254
h002_k20_epscrit,0.02,20,0.191,10,0.2,0.0035351882619164806,0.00010079752776576388,1.2513534728783517e-08,1.424966252256347e-07,1.333333334262413,8.37758040739589,8.377580389295254
h002_k20_epscrit,0.02,20,0.191,11,0.22,0.002621938603912488,9.057051810298191e-05,1.0252006944095429e-08,1.2172865228549677e-07,1.3333333345200795,8.377580407173847,8.377580389295256
h002_k20_epscrit,0.02,20,0.191,12,0.24,0.0026567629370363543,8.492107571612285e-05,8.992731526551775e-09,1.3559935816927228e-07,1.3333333345202862,8.377580406950946,8.377580389295254
h002_k20_epscrit,0.02,20,0.191,13,0.26,0.0037453048696492247,0.000103394881519991,1.3143573550656711e-08,1.5195916932772115e-07,1.3333333352263903,8.377580406727605,8.377580389295256
