label,beta,cell,time,q,abs_q,hp_edge,hp_ahead_max,hp_ahead_energy
h001_k5_baseline,1.0,0,0.0,-0.002377728294224298,0.002377728294224298,0.0026182562735470385,7.199984915679235e-05,6.362425512200976e-09
h001_k5_baseline,1.0,1,0.01,0.0025342298682096767,0.0025342298682096767,0.004524464993554104,0.0001292392614326515,2.0519665489361728e-08
h001_k5_baseline,1.0,2,0.02,-0.0026506154183942097,0.0026506154183942097,0.003485955738107639,0.0001289811885246544,2.045711643305098e-08
h001_k5_baseline,1.0,3,0.03,0.0028216795588946932,0.0028216795588946932,0.0045209081876461995,0.00014343369894457292,2.5284784361113255e-08
h001_k5_baseline,1.0,4,0.04,-0.0029522394125991403,0.0029522394125991403,0.003507101030649796,0.00013181762967581719,2.1370572508519554e-08
h001_k5_baseline,1.0,5,0.05,0.0031379313126459795,0.0031379313126459795,0.004520739700652308,0.00014431540095423027,2.5597662920621502e-08
h001_k5_baseline,1.0,6,0.06,-0.0032852484502455493,0.0032852484502455493,0.003511401810243041,0.00013205085703192794,2.1446580211193453e-08
h001_k5_baseline,1.0,7,0.07,0.00348935709833362,0.00348935709833362,0.004519921111960539,0.0001444480260054453,2.5644827081857062e-08
h001_k5_baseline,1.0,8,0.08,-0.003656389473731207,0.003656389473731207,0.003513083834744813,0.0001320707331673085,2.1453072446510143e-08
h001_k5_baseline,1.0,9,0.09,0.003881679499646234,0.003881679499646234,0.004519116408584729,0.00014448358402966485,2.565746583729004e-08
h001_k5_baseline,1.0,10,0.1,-0.00407108986353279,0.00407108986353279,0.003515088282399607,0.00013209810630222379,2.1461967473553856e-08
h001_k5_baseline,1.0,11,0.11,0.004320109965775471,0.004320109965775471,0.004493061572825822,0.00014386344264321507,2.5437731564094405e-08
h001_k5_baseline,1.0,12,0.12,-0.004534348983001785,0.004534348983001785,0.0038351386330572118,0.00013993801074780414,2.4083286010096517e-08
h001_k5_baseline,1.0,13,0.13,0.004812135539306789,0.004812135539306789,0.0029654797112780135,0.00010581778462381948,1.3764725785599249e-08
h001_k5_baseline,1.0,14,0.14,-0.005060303046749573,0.005060303046749573,0.00532049447703262,0.00016240844059786847,3.2417211368276396e-08
h001_k5_baseline,1.0,15,0.15,0.005388426260909697,0.005388426260909697,0.006063833001377169,0.00020445574990270109,5.1390188022245004e-08
h001_k5_baseline,1.0,16,0.16,-0.005606281620213392,0.005606281620213392,0.007344825410531577,0.00024828434418265686,7.582724682512523e-08
h001_k5_baseline,1.0,17,0.17,0.005990112307305184,0.005990112307305184,0.006884962634104748,0.00024641324731182706,7.469053338647042e-08
h001_k5_baseline,1.0,18,0.18,-0.006212544267768568,0.006212544267768568,0.007476715399794334,0.0002632932609371003,8.530503389452297e-08
h001_k5_baseline,1.0,19,0.19,0.006658393178558118,0.006658393178558118,0.0069175767452369615,0.0002504717431859374,7.718191633181183e-08
h001_k5_baseline,1.0,20,0.2,-0.006873998852426587,0.006873998852426587,0.00776763805630007,0.00027316192250357067,9.182343959792407e-08
h001_k5_baseline,1.0,21,0.21,0.007347974293414088,0.007347974293414088,0.007488296957232954,0.00027010596018797305,8.976274656158918e-08
h001_k5_baseline,1.0,22,0.22,-0.007595217913499317,0.007595217913499317,0.008407015917962874,0.0002993101465858449,1.1026321760833232e-07
h001_k5_baseline,1.0,23,0.23,0.008106949108532283,0.008106949108532283,0.008008373786527715,0.00029201310465685126,1.04933062596791e-07
h001_k5_baseline,1.0,24,0.24,-0.00839264494917501,0.00839264494917501,0.008380496255642631,0.0003081460034084333,1.1689818863048228e-07
h001_k5_baseline,1.0,25,0.25,0.008974653540204314,0.008974653540204314,0.009480626910616128,0.0003316822599618704,1.3537630808113113e-07
h001_k5_baseline,1.0,26,0.26,-0.009281276418392981,0.009281276418392981,0.008156243012569186,0.0003310419771151395,1.3500023356881873e-07
h001_k5_baseline,1.0,27,0.27,0.009887222798912666,0.009887222798912666,0.008362816448719031,0.00029611196379366087,1.079098012685921e-07
h001_k5_baseline,1.0,28,0.28,-0.010215974262811879,0.010215974262811879,0.009587327339214552,0.00036115962346079677,1.6062263215577776e-07
h001_k5_baseline,1.0,29,0.29,0.010906636550747119,0.010906636550747119,0.011459778466091437,0.00040184231884169634,1.9876559341744473e-07
h001_k5_baseline,1.0,30,0.3,-0.01107894920403131,0.01107894920403131,0.012535264971434973,0.0005018763201110031,3.104567442016272e-07
h001_k5_baseline,1.0,31,0.31,0.011867879816182965,0.011867879816182965,0.0134502866854433,0.0005079160884731887,3.1786788539849595e-07
h001_k5_baseline,1.0,32,0.32,-0.011980853357271809,0.011980853357271809,0.013578964542215279,0.0005815379850021063,4.172151386519241e-07
h001_k5_baseline,1.0,33,0.33,0.012834207812258953,0.012834207812258953,0.014105860134483898,0.0005560638137184154,3.8122597120154384e-07
h001_k5_baseline,1.0,34,0.34,-0.012912846024656765,0.012912846024656765,0.014354402013636178,0.0006288313054732467,4.880380447500398e-07
h001_k5_baseline,1.0,35,0.35000000000000003,0.013808969380830198,0.013808969380830198,0.015200931630932281,0.0006109955054212078,4.604374795142404e-07
h001_k5_baseline,1.0,36,0.36,-0.013816287801943921,0.013816287801943921,0.015916801612591455,0.0007067349767337542,6.167048366126281e-07
h001_k5_baseline,1.0,37,0.37,0.014774443642308756,0.014774443642308756,0.015752134872144195,0.000671437519310881,5.564277721469606e-07
h001_k5_baseline,1.0,38,0.38,-0.014796591835302506,0.014796591835302506,0.017201287180118034,0.000757839132530189,7.092984436454844e-07
h001_k5_baseline,1.0,39,0.39,0.015845715877557745,0.015845715877557745,0.018025752529886346,0.0007829483342226597,7.569553350882192e-07
h001_k5_baseline,1.0,40,0.4,-0.01585230466734104,0.01585230466734104,0.017163508348250443,0.0008183893133542343,8.279737028433229e-07
h001_k5_baseline,1.0,41,0.41000000000000003,0.016929591524959764,0.016929591524959764,0.017462451553744374,0.0007828065423899935,7.570355449915824e-07
h001_k5_baseline,1.0,42,0.42,-0.016920534016265996,0.016920534016265996,0.018531517432229902,0.0008641967110523396,9.232335609209376e-07
h001_k5_baseline,1.0,43,0.43,0.018057467779579277,0.018057467779579277,0.02043970815292398,0.0009131274547961401,1.030382075950062e-06
h001_k5_baseline,1.0,44,0.44,-0.017601043671251926,0.017601043671251926,0.021886861803593848,0.0010804145346595194,1.4445670966159333e-06
h001_k5_baseline,1.0,45,0.45,0.018780245434532373,0.018780245434532373,0.023022983204435604,0.0011142637010820903,1.5366278075381317e-06
h001_k5_baseline,1.0,46,0.46,-0.018027037990947986,0.018027037990947986,0.023349217200713774,0.0012646620605721868,1.9825309340020043e-06
h001_k5_baseline,1.0,47,0.47000000000000003,0.01926966250890423,0.01926966250890423,0.02382462092874949,0.0012381104445345532,1.8997972314763684e-06
