label,beta,cell,time,q,abs_q,hp_edge,hp_ahead_max,hp_ahead_energy
h001_k5_removed,0.0,0,0.0,7.938288427208201e-12,7.938288427208201e-12,0.00039114106141313365,5.890862382921788e-06,4.3237130977219655e-11
h001_k5_removed,0.0,1,0.01,1.918589041860334e-05,1.918589041860334e-05,0.002022257160391009,4.6656849851215566e-05,2.6723608052008533e-09
h001_k5_removed,0.0,2,0.02,-1.4008792464403213e-05,1.4008792464403213e-05,0.0008698948497154782,3.768740055380978e-05,1.745952016584379e-09
h001_k5_removed,0.0,3,0.03,2.5245112903969234e-05,2.5245112903969234e-05,0.0017378765431618785,5.0093174411336715e-05,3.0827759067007427e-09
h001_k5_removed,0.0,4,0.04,-1.6172959093289658e-05,1.6172959093289658e-05,0.0005887230424826051,2.9357695775934186e-05,1.0599741240007339e-09
h001_k5_removed,0.0,5,0.05,2.4041925560326334e-05,2.4041925560326334e-05,0.0014040902346435465,3.970560159475808e-05,1.9368397266353146e-09
h001_k5_removed,0.0,6,0.06,-1.3382150312888914e-05,1.3382150312888914e-05,0.0005656454413394528,1.7599829891408586e-05,3.8113090632249787e-10
h001_k5_removed,0.0,7,0.07,2.1277655548144624e-05,2.1277655548144624e-05,0.001050314590155399,2.7377624575174073e-05,9.207543722148047e-10
h001_k5_removed,0.0,8,0.08,-9.652414354715708e-06,9.652414354715708e-06,0.0006158268160481639,4.335689088153435e-06,2.3212873641248448e-11
h001_k5_removed,0.0,9,0.09,1.9056543249346158e-05,1.9056543249346158e-05,0.0007459791522923543,1.3511739273635682e-05,2.242016291084244e-10
h001_k5_removed,0.0,10,0.1,-6.025904823913763e-06,6.025904823913763e-06,0.0008510105788487019,1.0380282746069366e-05,1.321550497244301e-10
h001_k5_removed,0.0,11,0.11,1.8107909154579807e-05,1.8107909154579807e-05,0.00045273023316628417,2.6240373689423244e-06,8.489122568854455e-12
h001_k5_removed,0.0,12,0.12,-4.63297828814886e-06,4.63297828814886e-06,0.0008604883191080474,1.9056615215154897e-05,4.45941560506264e-10
h001_k5_removed,0.0,13,0.13,3.7751678062903716e-05,3.7751678062903716e-05,0.0019202118680772802,5.582662317998014e-05,3.828001001547598e-09
h001_k5_removed,0.0,14,0.14,-3.144224995550206e-05,3.144224995550206e-05,0.001078426684857876,1.0911417466131748e-05,1.4656662334481521e-10
h001_k5_removed,0.0,15,0.15,3.597931689658515e-05,3.597931689658515e-05,0.0006375984884040768,2.1996178712876394e-05,5.941584389708992e-10
h001_k5_removed,0.0,16,0.16,-3.6430506625483375e-05,3.6430506625483375e-05,0.0016342419070279482,4.434088853652422e-05,2.4146728486574925e-09
h001_k5_removed,0.0,17,0.17,4.564730679454152e-05,4.564730679454152e-05,0.0008971823431144333,3.7274808403887264e-05,1.7073892773609462e-09
h001_k5_removed,0.0,18,0.18,-4.515781248623464e-05,4.515781248623464e-05,0.0011678815670522358,3.327274097237873e-05,1.3601502702284355e-09
h001_k5_removed,0.0,19,0.19,5.974012283542027e-05,5.974012283542027e-05,0.0006348904639255379,1.7459395084560313e-05,3.7479040566287173e-10
h001_k5_removed,0.0,20,0.2,-5.392954066989582e-05,5.392954066989582e-05,0.0008854821092424867,1.834065564687828e-05,4.1317228092097597e-10
h001_k5_removed,0.0,21,0.21,6.113169312152977e-05,6.113169312152977e-05,0.0005653724988284351,1.2005079747579286e-05,1.7719323796672964e-10
h001_k5_removed,0.0,22,0.22,-6.071517338576872e-05,6.071517338576872e-05,0.0008069287191718607,1.528713194055647e-05,2.8700218083080473e-10
h001_k5_removed,0.0,23,0.23,6.658225835329734e-05,6.658225835329734e-05,0.000617402557383457,4.014574431433339e-06,1.9852032733581366e-11
h001_k5_removed,0.0,24,0.24,-6.86464957562796e-05,6.86464957562796e-05,0.000177814054367265,7.484052602308546e-06,6.87943541052389e-11
h001_k5_removed,0.0,25,0.25,7.551593609339312e-05,7.551593609339312e-05,0.0005471389418315153,9.581429634590181e-06,1.1268394918041523e-10
h001_k5_removed,0.0,26,0.26,-7.358014144436892e-05,7.358014144436892e-05,0.0016487048324905667,2.8193710657755095e-05,9.757582669365506e-10
h001_k5_removed,0.0,27,0.27,9.111259579817335e-05,9.111259579817335e-05,0.001746139074687669,6.148378511673829e-05,4.644837355805914e-09
h001_k5_removed,0.0,28,0.28,-9.362406649738832e-05,9.362406649738832e-05,0.001086779790988267,3.511099432349632e-05,1.5149598364425446e-09
h001_k5_removed,0.0,29,0.29,0.0001059804802238837,0.0001059804802238837,0.0009482407968672446,3.824687292064729e-06,1.8116605835381407e-11
h001_k5_removed,0.0,30,0.3,-0.00010785815698040731,0.00010785815698040731,0.0008985595192131748,3.088749011010469e-05,1.1717541207419328e-09
h001_k5_removed,0.0,31,0.31,0.00011851996136046195,0.00011851996136046195,0.0012812135568349237,3.530978867745534e-05,1.5314875305932895e-09
h001_k5_removed,0.0,32,0.32,-0.00011876078962825388,0.00011876078962825388,0.000903838333309293,3.76297357727416e-05,1.7405047763386165e-09
h001_k5_removed,0.0,33,0.33,0.00012801255996931134,0.00012801255996931134,0.0007568947553015656,2.0279438947549054e-05,5.054081341879114e-10
h001_k5_removed,0.0,34,0.34,-0.0001287636313178322,0.0001287636313178322,0.0005375980738273714,2.0309182467401165e-05,5.07090596462905e-10
h001_k5_removed,0.0,35,0.35000000000000003,0.00013952637003353016,0.00013952637003353016,0.000686206680838493,1.4071082813916435e-05,2.4325521691097145e-10
h001_k5_removed,0.0,36,0.36,-0.0001435358097091367,0.0001435358097091367,0.0007048978447246577,2.511385868938746e-05,7.749874506151744e-10
h001_k5_removed,0.0,37,0.37,0.00015363273176721663,0.00015363273176721663,0.0005331658427004554,2.656458837013474e-06,8.712834394419464e-12
h001_k5_removed,0.0,38,0.38,-0.00015960824596478093,0.00015960824596478093,0.000883400333785779,7.909328296116564e-06,7.677847979616e-11
h001_k5_removed,0.0,39,0.39,0.00017277844309678323,0.00017277844309678323,0.0007443019546792628,2.9693054764786136e-05,1.083197081957647e-09
h001_k5_removed,0.0,40,0.4,-0.00017910690559763193,0.00017910690559763193,0.0009141053157247458,2.569565922889558e-05,8.105733093399959e-10
h001_k5_removed,0.0,41,0.41000000000000003,0.00019825509370714016,0.00019825509370714016,0.0015710709797213639,4.326178125051137e-05,2.298698799300174e-09
