label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_full,1.0,0.11578513676636337,0,0.0,0.004118542794204192,0.0022728876417005823,4.74930271732156e-05,2.767991624957142e-09
h002_k20_rank3_full,1.0,0.11578513676636337,1,0.02,2.43536015076043e-11,0.0012686837125473732,9.046462802039758e-06,3.2357823095712237e-10
h002_k20_rank3_full,1.0,0.11578513676636337,2,0.04,6.794991048631427e-12,0.0011251048348429298,1.6380053073064392e-05,5.950117200098643e-10
h002_k20_rank3_full,1.0,0.11578513676636337,3,0.06,1.0042591763912792e-11,0.0009176677999212079,8.883344211185526e-06,4.25193566592271e-10
h002_k20_rank3_full,1.0,0.11578513676636337,4,0.08,2.5470304975675884e-11,0.001161142019077489,8.330848996086986e-06,4.006799629539344e-10
h002_k20_rank3_full,1.0,0.11578513676636337,5,0.1,3.388090960230121e-12,0.000931361393670087,1.7385057835812813e-05,8.200260899508033e-10
h002_k20_rank3_full,1.0,0.11578513676636337,6,0.12,2.4316278839390204e-12,0.0012212247634765224,8.337029971656326e-06,4.783637963172311e-10
h002_k20_rank3_full,1.0,0.11578513676636337,7,0.14,2.6667206999163317e-12,0.001150727276360699,8.330486723661251e-06,4.777345222531792e-10
h002_k20_rank3_full,1.0,0.11578513676636337,8,0.16,2.109270022057145e-11,0.0003731211245208175,8.336566522371669e-06,5.121744374007448e-10
h002_k20_rank3_full,1.0,0.11578513676636337,9,0.18,1.0417900218934488e-11,0.0016519191346852766,4.190979662964051e-05,2.6893478093391563e-09
h002_k20_rank3_full,1.0,0.11578513676636337,10,0.2,4.619766221351694e-12,0.0020739426829818864,3.610378703956292e-05,2.2419150086501367e-09
h002_k20_rank3_full,1.0,0.11578513676636337,11,0.22,1.3137175698830018e-11,0.0009626075000980713,1.2450549101630277e-05,8.615747901076919e-10
h002_k20_rank3_full,1.0,0.11578513676636337,12,0.24,2.9332153360498535e-12,0.0017636343301961766,3.549498162929482e-05,2.510886539570666e-09
h002_k20_rank3_full,1.0,0.11578513676636337,13,0.26,7.940372328341399e-12,0.0017102059347092343,2.977228082215583e-05,2.154594089305989e-09
h002_k20_rank3_full,1.0,0.11578513676636337,14,0.28,8.122477441704025e-12,0.0007581186388837117,1.3985939648231829e-05,1.368141685959186e-09
h002_k20_rank3_full,1.0,0.11578513676636337,15,0.3,3.4051234180740634e-11,0.0009851210412908068,2.5889932353733957e-05,1.945267098845644e-09
h002_k20_rank3_full,1.0,0.11578513676636337,16,0.32,2.727409017993503e-11,0.0004283564375028278,1.2735924577405306e-05,1.1526147206444872e-09
h002_k20_rank3_full,1.0,0.11578513676636337,17,0.34,7.785805991846061e-12,0.0010800254247154682,1.2747804833736078e-05,1.2929239918886702e-09
h002_k20_rank3_full,1.0,0.11578513676636337,18,0.36,1.898586180959601e-11,0.001695719322130904,5.0670010357862355e-05,4.689381348277103e-09
h002_k20_rank3_full,1.0,0.11578513676636337,19,0.38,6.93298888624958e-12,0.000851788257666452,2.2636828460837128e-05,2.547730242282216e-09
h002_k20_rank3_full,1.0,0.11578513676636337,20,0.4,3.270235359958321e-11,0.0009908079554908013,1.9217802753694622e-05,2.2945947558470137e-09
h002_k20_rank3_full,1.0,0.11578513676636337,21,0.42,1.273431954042664e-11,0.000762519496644733,2.6762147148959036e-05,3.4266047748338273e-09
h002_k20_rank3_full,1.0,0.11578513676636337,22,0.44,2.2065403301419426e-11,0.0006266336635539781,1.9221153933868945e-05,2.627024527870924e-09
h002_k20_rank3_full,1.0,0.11578513676636337,23,0.46,3.116442684440863e-11,0.000948348424541732,1.9212680292697715e-05,2.771397543771695e-09
h002_k20_rank3_full,1.0,0.11578513676636337,24,0.48,1.060506119090342e-11,0.0006338485726514049,1.921428569373082e-05,2.714528443577282e-09
h002_k20_rank3_full,1.0,0.11578513676636337,25,0.5,2.3168762772287277e-11,0.002105139787654328,3.6947790915705417e-05,4.725572436569517e-09
h002_k20_rank3_full,1.0,0.11578513676636337,26,0.52,1.1992353515022844e-11,0.002125875999360215,2.601251039195626e-05,4.204253626604574e-09
h002_k20_rank3_full,1.0,0.11578513676636337,27,0.54,1.6648908778789127e-12,0.0009541103191661359,2.9977608262934664e-05,4.75207251461687e-09
h002_k20_rank3_full,1.0,0.11578513676636337,28,0.56,1.2342208797906907e-11,0.0015267692577248968,3.259606335986713e-05,6.772649393904841e-09
