label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h001_k5_epscrit,0.3687,0.005,0,0.0,0.004999999999999999,5.588453954223682e-05,3.507238442286279e-09,0.013078212102846872
h001_k5_epscrit,0.3687,0.005,1,0.01,0.0049236015614180706,5.700815574232743e-05,3.6428073715089026e-09,0.012927284160129563
h001_k5_epscrit,0.3687,0.005,2,0.02,0.004912572621965057,5.514247954325098e-05,3.4208390817075886e-09,0.013022495165183992
h001_k5_epscrit,0.3687,0.005,3,0.03,0.004898004109786851,5.743295134416643e-05,3.702164700963962e-09,0.01293670056563493
h001_k5_epscrit,0.3687,0.005,4,0.04,0.004901804054435359,5.51739716024227e-05,3.424995047155959e-09,0.013023483319551474
h001_k5_epscrit,0.3687,0.005,5,0.05,0.004892098226565699,5.738138456668733e-05,3.694858349006456e-09,0.0129364168372593
h001_k5_epscrit,0.3687,0.005,6,0.06,0.004899481861027877,5.51572729685142e-05,3.4229938461350565e-09,0.013023906992318653
h001_k5_epscrit,0.3687,0.005,7,0.07,0.0048881612593633245,5.731500194915853e-05,3.6865033505823483e-09,0.012932952488625808
h001_k5_epscrit,0.3687,0.005,8,0.08,0.004897310902862626,5.5151604935684405e-05,3.4221617520066254e-09,0.013027414008414133
h001_k5_epscrit,0.3687,0.005,9,0.09,0.004888514154300269,5.7335346122569956e-05,3.6890871051738208e-09,0.012940471536726636
h001_k5_epscrit,0.3687,0.005,10,0.1,0.004896878719195381,5.513657285640228e-05,3.4204850641998846e-09,0.013033993633648882
h001_k5_epscrit,0.3687,0.005,11,0.11,0.004888660236398281,5.73422464614695e-05,3.6900311048176106e-09,0.012945993598123822
h001_k5_epscrit,0.3687,0.005,12,0.12,0.004890001413160706,5.500792894639938e-05,3.4038301257786535e-09,0.013034005065396094
h001_k5_epscrit,0.3687,0.005,13,0.13,0.00492370783585671,5.803282062884662e-05,3.782481683293144e-09,0.013050552548068983
h001_k5_epscrit,0.3687,0.005,14,0.14,0.004876754034162089,5.4540444788316024e-05,3.342864914296099e-09,0.012941475620225918
h001_k5_epscrit,0.3687,0.005,15,0.15,0.004841124942875442,5.646647689549423e-05,3.577960835424111e-09,0.012859398935098316
h001_k5_epscrit,0.3687,0.005,16,0.16,0.004811114929949877,5.383140933110247e-05,3.2580354743440605e-09,0.012803680294426766
h001_k5_epscrit,0.3687,0.005,17,0.17,0.004802436446445369,5.6203542823275225e-05,3.546644606808946e-09,0.01277767113844413
h001_k5_epscrit,0.3687,0.005,18,0.18,0.004786516993992838,5.3716270455860736e-05,3.244718601887375e-09,0.01275002410778771
h001_k5_epscrit,0.3687,0.005,19,0.19,0.004786390202704731,5.607807487383104e-05,3.530822425322435e-09,0.012746781232489795
h001_k5_epscrit,0.3687,0.005,20,0.2,0.004773969542533866,5.3588594374752876e-05,3.229266377778139e-09,0.012730052332626059
h001_k5_epscrit,0.3687,0.005,21,0.21,0.004776436071512895,5.5961172729387605e-05,3.5163783781421503e-09,0.012737112190162613
h001_k5_epscrit,0.3687,0.005,22,0.22,0.004766133481137177,5.352335659518427e-05,3.2212779236236265e-09,0.012726746004111172
