h,kappa,method_a,method_b,Linf,relL2,edge_L2_over_h2,edge_HP_peak_over_h2
0.01,5,midpoint,gl4,1.2918536962527394e-08,1.109946841775123e-09,0.00030591041614291196,0.00010612871583690746
0.01,5,gl4,gl6,1.6136133311886464e-08,1.72598841545355e-09,0.0003548053014083926,0.00013763614133402666
0.01,5,midpoint,gl6,6.5332812888075134e-09,1.4759588575296845e-09,0.00020878018587402387,5.496890917513484e-05
0.01,10,midpoint,gl4,4.689916043575679e-08,4.045617154474763e-09,0.0011691475212851426,0.000366652587075412
0.01,10,gl4,gl6,1.622125924676535e-08,1.3205994382378997e-09,0.00037569735951489515,0.00013395785113215917
0.01,10,midpoint,gl6,3.876795751894921e-08,3.0210845570984247e-09,0.000869370789545896,0.0003131896002703072
0.01,20,midpoint,gl4,0.0,0.0,0.0,0.0
0.01,20,gl4,gl6,0.0,0.0,0.0,0.0
0.01,20,midpoint,gl6,0.0,0.0,0.0,0.0
0.02,5,midpoint,gl4,3.061901858593234e-07,3.4240046029808203e-08,0.0017374089498409463,0.0005951608567073105
0.02,5,gl4,gl6,5.79809176990846e-08,2.8199423613142615e-08,0.0006045654699758324,9.763855336905147e-05
0.02,5,midpoint,gl6,2.5657122272232705e-07,4.0527241501336e-08,0.0015955008743059613,0.000497522303338259
0.02,10,midpoint,gl4,9.894368103927206e-07,1.1366580499800132e-07,0.005807060532214348,0.001852332613018257
0.02,10,gl4,gl6,1.8502659573773684e-08,8.376971930385966e-09,0.0002760556906602614,1.632712520607082e-05
0.02,10,midpoint,gl6,1.0029568641516085e-06,1.1441765293891037e-07,0.005833827237979451,0.0018528023286862383
0.02,20,midpoint,gl4,9.565049377172714e-08,1.1055246650671676e-08,0.0005627140471288453,0.00019616790001725814
0.02,20,gl4,gl6,4.629837287097212e-09,1.2226616625950725e-09,5.611265819847109e-05,2.1101663385948333e-06
0.02,20,midpoint,gl6,9.825527345357792e-08,1.133658022337435e-08,0.0005744313269342989,0.00019669632094318831
