kappa,input_a,0.01,0.02,abs_h_difference
1,0.1,-0.000100290971533,-0.0001002564033156,3.4568217399991684e-08
2,0.04,-7.406664416077181e-09,-7.4040434193833864e-09,2.6209966937947075e-12
2,0.06,-8.372526893358886e-08,-8.36950744534472e-08,3.019448014165507e-11
2,0.08,-4.653540222606456e-07,-4.651864027553757e-07,1.6761950526989627e-10
2,0.1,-1.7510334197719638e-06,-1.750405788353281e-06,6.276314186828889e-10
2,0.12,-5.143660931188937e-06,-5.141825833605844e-06,1.8350975830926873e-09
2,0.15,-1.9087626566936168e-05,-1.9080908259713347e-05,6.7183072228212245e-09
2,0.18,-5.481214737021118e-05,-5.479305614979679e-05,1.909122041438829e-08
3,0.1,-1.5704751813261014e-07,-1.569907735357167e-07,5.674459689343364e-11
4,0.1,-2.8156508325281173e-08,-2.8146571788578214e-08,9.936536702959369e-12
5,0.1,-7.406664147408091e-09,-7.404043446251609e-09,2.620701156481993e-12
8,0.1,-4.4425401537578416e-10,-4.4410937919130425e-10,1.446361844799138e-13
10,0.1,-1.1778001620501515e-10,-1.1776836711588526e-10,1.1649089129897332e-14
20,0.1,-3.5025852160115214e-12,-3.522316620859949e-12,1.9731404848427434e-14
