method,kappa,input_a,0.01,0.02,abs_h_difference
gl4,1,0.1,-0.0037018427867194,-0.0037010362476243,8.065390951000548e-07
gl4,2,0.1,-0.0002639874013051,-0.0002639255766506,6.182465449999916e-08
gl4,3,0.1,-5.341439732302709e-05,-5.3401732660288815e-05,1.2664662738272043e-08
gl4,5,0.04,-1.8044453624581898e-07,-1.8040152966140614e-07,4.300658441283476e-11
gl4,5,0.06,-9.122875303702452e-07,-9.120696614243904e-07,2.1786894585483197e-10
gl4,5,0.08,-2.8778036028499166e-06,-2.877116171343215e-06,6.874315067015543e-10
gl4,5,0.1,-7.009993157520495e-06,-7.008321297442239e-06,1.6718600782560092e-09
gl4,5,0.12,-1.4489424868804972e-05,-1.4485973449576368e-05,3.4514192286032937e-09
gl4,5,0.15,-3.518177299264601e-05,-3.517341854408775e-05,8.354448558256262e-09
gl4,5,0.18,-7.24659167389172e-05,-7.244876889774386e-05,1.7147841173341502e-08
gl4,10,0.1,-4.403228423104355e-07,-4.402175234427242e-07,1.0531886771132642e-10
gl4,20,0.1,-2.7555032588571853e-08,-2.7548367121673782e-08,6.665466898070451e-12
gl4,40,0.1,-1.723262468982067e-09,-1.7229983397820871e-09,2.6412919997981157e-13
midpoint,1,0.1,-0.0862344090469818,-0.0862268010000256,7.60804695620898e-06
midpoint,2,0.1,-0.0267059971551476,-0.0267031023457675,2.8948093800974795e-06
midpoint,3,0.1,-0.0124471585266328,-0.0124457449705772,1.4135560555995907e-06
midpoint,5,0.04,-0.0007443442474973,-0.0007442563914758,8.785602149995533e-08
midpoint,5,0.06,-0.0016698993531183,-0.0016697028161614,1.9653695690000084e-07
midpoint,5,0.08,-0.0029565957066651,-0.0029562492113418,3.464953232997642e-07
midpoint,5,0.1,-0.0045964969704273,-0.0045959613659904,5.356044369001292e-07
midpoint,5,0.12,-0.0065756795269107,-0.0065749180129534,7.615139572996268e-07
midpoint,5,0.15,-0.0101574421709752,-0.0101562798631821,1.162307793100767e-06
midpoint,5,0.18,-0.0144264333665957,-0.0144248059475553,1.6274190404001743e-06
midpoint,10,0.1,-0.00116163991137,-0.0011615030093831,1.3690198690007385e-07
midpoint,20,0.1,-0.0002912196526154,-0.0002911852287466,3.4423868799969906e-08
midpoint,40,0.1,-7.28447236234023e-05,-7.28361045475113e-05,8.619075890991482e-09
