method,power,coefficient,n_fit,chi_max,fit_RMSE,fit_max_abs_error,h,fit_type
midpoint,2,-11.659289071854937,25,0.0360374420016715,4.999658373899482e-07,1.074741624409667e-06,,
midpoint,4,452.11977158167844,25,0.0360374420016715,4.999658373899482e-07,1.074741624409667e-06,,
midpoint,6,-21049.697543497517,25,0.0360374420016715,4.999658373899482e-07,1.074741624409667e-06,,
midpoint,2,-11.659750505447365,14,0.0360374420016715,,,0.01,per_h
midpoint,4,451.5793964947022,14,0.0360374420016715,,,0.01,per_h
midpoint,6,-20721.54836817556,14,0.0360374420016715,,,0.01,per_h
midpoint,2,-11.65851667615631,11,0.0360374371085375,,,0.02,per_h
midpoint,4,452.6691862078018,11,0.0360374371085375,,,0.02,per_h
midpoint,6,-21592.598465718398,11,0.0360374371085375,,,0.02,per_h
gl4,4,-44.07987599569861,27,0.0500006587869007,1.0002724346731211e-08,3.100779631535133e-08,,
gl4,6,719.2285024364792,27,0.0500006587869007,1.0002724346731211e-08,3.100779631535133e-08,,
gl4,8,8148.209712823532,27,0.0500006587869007,1.0002724346731211e-08,3.100779631535133e-08,,
gl4,4,-44.08676346018346,15,0.0500006587869007,,,0.01,per_h
gl4,6,721.3395092871513,15,0.0500006587869007,,,0.01,per_h
gl4,8,7614.503872837769,15,0.0500006587869007,,,0.01,per_h
gl4,4,-44.066843646941685,12,0.0500006586099059,,,0.02,per_h
gl4,6,709.573394854235,12,0.0500006586099059,,,0.02,per_h
gl4,8,10716.483006392995,12,0.0500006586099059,,,0.02,per_h
