case,h,kappa,method,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
h001_k5,0.01,5,gl4,0,0.0,0.0,5.0,0.0,5.0,,,,
h001_k5,0.01,5,gl4,5,0.05,0.00021732166899462012,5.0,0.00021732166899462012,5.0,,,,
h001_k5,0.01,5,gl4,10,0.1,8.061040502779688e-05,5.0,8.061040502779688e-05,5.0,,,,
h001_k5,0.01,5,gl4,15,0.15,0.0001891886447654002,5.0,0.0001891886447654002,5.0,,,,
h001_k5,0.01,5,gl4,20,0.2,0.0003660205601204053,5.0,0.0003660205601204053,5.0,,,,
h001_k5,0.01,5,gl4,25,0.25,0.0007516567536018314,5.0,0.0007516567536018314,5.0,,,,
h001_k5,0.01,5,gl4,30,0.3,0.0020193108069537537,5.0,0.0020193108069537537,5.0,,,,
h001_k5,0.01,5,gl4,35,0.35000000000000003,0.0023078517559519712,5.0,0.0023078517559519712,5.0,,,,
h001_k5,0.01,5,gl4,40,0.4,2.7571172150385636e-05,5.0,2.7571172150385636e-05,5.0,,,,
h001_k5,0.01,5,gl4,45,0.45,0.002846648024346177,5.0,0.002846648024346177,5.0,,,,
h001_k5,0.01,5,gl4,50,0.5,0.0005557974964026399,5.0,0.0005557974964026399,5.0,,,,
h001_k5,0.01,5,gl4,55,0.55,0.0037692520970154107,5.0,0.0037692520970154107,5.0,,,,
h001_k5,0.01,5,gl4,60,0.6,0.027190888007673622,5.0,0.027190888007673622,5.0,,,,
h001_k5,0.01,5,gl4,65,0.65,0.05648469630988583,5.0,0.05648469630988583,5.0,,,,
h001_k5,0.01,5,gl4,70,0.7000000000000001,0.030140834438975864,6.0,0.030140834438975864,6.0,6.88124167397541,0.022902642053633876,0.9530119264217611,0.30293277818335296
h001_k5,0.01,5,gl4,75,0.75,0.004941310955267917,5.0,0.004941310955267917,5.0,,,,
h001_k5,0.01,5,gl4,80,0.8,0.007411581343572172,691.0,0.007411581343572172,691.0,,,,
h001_k5,0.01,5,gl4,85,0.85,0.04294445256223972,5.0,0.007033866360560567,687.0,686.6772991835401,0.006428498789872809,0.9668685581972524,0.25527473664576894
h001_k5,0.01,5,gl4,90,0.9,0.022974494033782097,5.0,0.007216832503815161,682.0,682.3115624028067,0.006474094095584576,0.9679231870424544,0.25124630143661386
h001_k5,0.01,5,gl4,95,0.9500000000000001,0.008981952044398256,5.0,0.00702611387929903,678.0,677.9403121713613,0.006552174290186659,0.8872020514742642,0.4613811004580237
h001_k5,0.01,5,gl4,100,1.0,0.010216622658814935,689.0,0.006994596169913694,673.0,673.5699160239753,0.006633955190579139,0.9621157529120884,0.27264129914304164
h001_k5,0.01,5,gl4,105,1.05,0.058695101240620134,5.0,0.007020788615769642,669.0,669.2048692257288,0.006707276625636531,0.963338767618315,0.2682879401009782
h001_k5,0.01,5,gl4,110,1.1,0.043592859105053096,5.0,0.032226236591011356,689.0,691.4785249388567,0.04006316364409993,0.8958307795190956,0.44439533578359025
h001_k5,0.01,5,gl4,115,1.1500000000000001,0.060971957174738974,691.0,0.0449036465061521,682.0,683.2663261725227,0.03272973418980817,0.9095446697715364,0.4156061761935055
h001_k5,0.01,5,gl4,120,1.2,0.06534788640272565,685.0,0.01899037135870129,681.0,685.0216069954718,0.040279348872026104,0.8824608577383294,0.4703858358408893
h001_k5,0.01,5,gl4,125,1.25,0.05664893408454157,684.0,0.01846185768935524,675.0,678.7281221544565,0.028892608329486636,0.9466241334799765,0.322339494808321
h001_k5,0.01,5,gl4,130,1.3,0.062496092479159514,678.0,0.024662265006773716,674.0,678.0561522108512,0.04256119943465015,0.9160418871029788,0.4010826112820316
h001_k5,0.01,5,gl4,135,1.35,0.07348783263550761,678.0,0.012241979271028562,667.0,671.4512070935834,0.03084297982572376,0.9440114939452148,0.329912563112295
h001_k5,0.01,5,gl4,140,1.4000000000000001,0.1119574917824046,687.0,0.1119574917824046,687.0,686.1474009724991,0.06505353164481432,0.9208726458921715,0.3898635274651265
h001_k5,0.01,5,gl4,145,1.45,0.12260968099439931,685.0,0.09388611314855089,690.0,690.8564980219116,0.07236849049410214,0.9110527203428654,0.41228987467055883
h001_k5,0.01,5,gl4,150,1.5,0.126513617914344,683.0,0.0676017189930353,673.0,677.4178163525207,0.07334721271623382,0.9091568727645517,0.4164538158127266
h001_k5,0.01,5,gl4,155,1.55,0.12819991419926346,677.0,0.06089003590537577,686.0,683.0516782604589,0.08463225736769905,0.8692903553803213,0.49430180865818657
h001_k5,0.01,5,gl4,160,1.6,0.12626660951293103,675.0,0.02424192482712497,6.0,6.417937257954918,0.021075087632867622,0.8845226764109949,0.4664971971134776
h001_k5,0.01,5,gl4,165,1.6500000000000001,0.12754570953235506,673.0,0.054967580791903635,677.0,673.2946082805727,0.08470926650966251,0.8570078219850191,0.5153033990344854
h001_k5,0.01,5,gl4,170,1.7,0.12372790110721223,671.0,0.12372790110721223,671.0,672.0457734143749,0.09142829283420806,0.8360008612506413,0.548728129393952
h001_k5,0.01,5,gl4,175,1.75,0.12566101668961588,670.0,0.12566101668961588,670.0,670.3645903613326,0.06790862145944285,0.9148023754513025,0.4039017378876391
h001_k5,0.01,5,gl4,180,1.8,0.1242897963999964,664.0,0.02659360485670397,659.0,662.9749912640634,0.08453783221504711,0.8431298533372692,0.5377100058688464
