case,h,kappa,method,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
h002_k20_L20,0.02,20,gl4,0,0.0,0.0,5.0,0.0,5.0,,,,
h002_k20_L20,0.02,20,gl4,5,0.1,0.0001161863945608391,5.0,0.0001161863945608391,5.0,,,,
h002_k20_L20,0.02,20,gl4,10,0.2,2.183413199329578e-05,5.0,2.183413199329578e-05,5.0,,,,
h002_k20_L20,0.02,20,gl4,15,0.3,0.000254341066711246,5.0,0.000254341066711246,5.0,,,,
h002_k20_L20,0.02,20,gl4,20,0.4,0.0005247923219636087,5.0,0.0005247923219636087,5.0,,,,
h002_k20_L20,0.02,20,gl4,25,0.5,0.0007034062781065007,5.0,0.0007034062781065007,5.0,,,,
h002_k20_L20,0.02,20,gl4,30,0.6,0.0021614059833984785,5.0,0.0021614059833984785,5.0,,,,
h002_k20_L20,0.02,20,gl4,35,0.7000000000000001,0.008261469022924529,5.0,0.008261469022924529,5.0,0.9385940560861172,0.051100275577546976,0.37241651993444375,0.9280656957780078
h002_k20_L20,0.02,20,gl4,40,0.8,0.025770720890093017,5.0,0.025770720890093017,5.0,,,,
h002_k20_L20,0.02,20,gl4,45,0.9,0.04547500043678028,5.0,0.04547500043678028,5.0,,,,
h002_k20_L20,0.02,20,gl4,50,1.0,0.026073558480507165,5.0,0.026073558480507165,5.0,,,,
h002_k20_L20,0.02,20,gl4,55,1.1,0.012357521345076304,5.0,0.012357521345076304,5.0,,,,
h002_k20_L20,0.02,20,gl4,60,1.2,0.0026601410592963495,328.0,0.0026601410592963495,328.0,,,,
h002_k20_L20,0.02,20,gl4,65,1.3,0.00578060711639773,330.0,0.00578060711639773,330.0,,,,
h002_k20_L20,0.02,20,gl4,70,1.4000000000000001,0.024178547610635186,5.0,0.0055091014637813455,325.0,327.22924797236226,0.007255847757729357,0.9726891405579529,0.2321116882895627
h002_k20_L20,0.02,20,gl4,75,1.5,0.005765911066768743,325.0,0.005166748906781119,321.0,323.3651531539509,0.007243629259500686,0.9812466624455615,0.192756290272058
