method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,0,0.0,0.0,5.0,0.0,5.0,,,,
gl6,0.01,5,5,0.05,0.00021734915917399593,5.0,0.00021734915917399593,5.0,,,,
gl6,0.01,5,10,0.1,8.216066705074487e-05,5.0,8.216066705074487e-05,5.0,,,,
gl6,0.01,5,15,0.15,0.00018349140789211232,5.0,0.00018349140789211232,5.0,,,,
gl6,0.01,5,20,0.2,0.0003684303322416491,5.0,0.0003684303322416491,5.0,,,,
gl6,0.01,5,25,0.25,0.0007568112268077017,5.0,0.0007568112268077017,5.0,,,,
gl6,0.01,5,30,0.3,0.0020337281381203843,5.0,0.0020337281381203843,5.0,0.5063508110795283,0.02667148633729811,0.49128513218875486,0.8709988053322908
gl6,0.01,5,35,0.35000000000000003,0.0022997451954217298,5.0,0.0022997451954217298,5.0,1.0020737350223499,0.019319968514777387,0.5310084328703626,0.8473665347537405
gl6,0.01,5,40,0.4,4.881704437312354e-05,5.0,4.881704437312354e-05,5.0,,,,
gl6,0.01,5,45,0.45,0.002880365693184367,5.0,0.002880365693184367,5.0,0.5795479886144221,0.03336375737638149,0.4859118778482238,0.8740078071539253
gl6,0.01,5,50,0.5,0.00046449888864622186,5.0,0.00046449888864622186,5.0,,,,
gl6,0.01,5,55,0.55,0.0038837428269227507,5.0,0.0038837428269227507,5.0,,,,
gl6,0.01,5,60,0.6,0.028437663129564437,5.0,0.028437663129564437,5.0,,,,
gl6,0.01,5,65,0.65,0.05674472789880088,5.0,0.05674472789880088,5.0,,,,
gl6,0.01,5,70,0.7000000000000001,0.03044793832965564,6.0,0.03044793832965564,6.0,6.933847394489476,0.02302666199341407,0.9531644568064189,0.30245250582682204
gl6,0.01,5,75,0.75,0.005629222343615954,5.0,0.0020881394672616145,689.0,693.4999463522511,0.005440156199496932,0.9382174287644138,0.3460463211228983
gl6,0.01,5,80,0.8,0.0063469251366289545,5.0,0.002036959558866659,684.0,688.4999463522511,0.004620935498946416,0.9319618711992577,0.3625562999463371
gl6,0.01,5,85,0.85,0.041867375750006125,5.0,0.0020139610073767835,679.0,683.4999463522511,0.003741515888895625,0.9188235415505305,0.3946685945100528
gl6,0.01,5,90,0.9,0.02189875168256314,5.0,0.002002177870583228,674.0,678.4999459690755,0.0028594076303408607,0.9269560367133902,0.37516996948130577
gl6,0.01,5,95,0.9500000000000001,0.008076669723262498,5.0,0.007002662771411153,678.0,677.9265364716791,0.006563810191209825,0.8976256011913586,0.4407587549735707
