case,sign,cell,time,rank,rho_F,max_ahead_HP_over_h2,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,candidate_peak_cell,candidate_peak_amp,edge_HP_over_h2
h002_mid_k20,1,10,0.2,1,1.130946548553021,0.005707081700378351,167.6827878400701,0.006417331678050498,0.5241004604087127,0.8516564491620876,169,0.005707081700378351,0.016402142214136488
h002_mid_k20,1,12,0.24,1,1.130946548553021,0.007435739649558442,167.7569962774195,0.008292946804274467,0.5149511910321704,0.8572194998100249,169,0.007435739649558442,0.020678617146701727
h002_mid_k20,1,14,0.28,1,1.130946548553021,0.009708720265515296,167.83484193445554,0.010709039935987458,0.503016569003546,0.8642767677705454,169,0.009708720265515296,0.025832772422981834
h002_mid_k20,1,16,0.32,1,1.130946548553021,0.012651263738322541,167.930601146899,0.013810336571238646,0.48861705569099306,0.8724983512235799,169,0.012651263738322541,0.031909178353291746
h002_mid_k20,1,18,0.36,1,1.130946548553021,0.016585886124161762,168.07484694042148,0.017821808800983586,0.4736887002699892,0.8806923499364169,169,0.016585886124161762,0.03878265482651168
h002_mid_k20,1,20,0.4,1,1.130946548553021,0.021934262412460978,168.2658667165449,0.022978826136474804,0.45615998653301687,0.8898977844034661,169,0.021934262412460978,0.045929367981907714
h002_mid_k20,1,20,0.4,2,1.130946548553021,0.021934262412460978,168.5000200662081,0.022923906610519965,0.4568240982152414,0.8895570489236945,173,0.005865651653143031,0.045929367981907714
h002_mid_k20,1,22,0.44,1,1.130946548553021,0.029031671034557054,168.51331186716584,0.029561364931733936,0.4377644402501376,0.8990897034514872,169,0.029031671034557054,0.052295055013609204
h002_mid_k20,1,22,0.44,2,1.130946548553021,0.029031671034557054,169.5000200513757,0.028114775218674025,0.5147612607943017,0.8573335665803955,174,0.00676217345393305,0.052295055013609204
h002_mid_k20,1,24,0.48,1,1.130946548553021,0.03908261723278202,168.83847071350147,0.03777185279072988,0.4223428352598781,0.9064361695699528,170,0.03908261723278202,0.06143618157889112
h002_mid_k20,1,24,0.48,2,1.130946548553021,0.03908261723278202,169.5000200513757,0.03685976100884589,0.463010487430693,0.8863528013884725,174,0.008077925629318528,0.06143618157889112
h002_mid_k20,1,26,0.52,1,1.130946548553021,0.05336099864150258,169.25348496366303,0.04743672523667672,0.4224536300451732,0.9063845378544672,170,0.05336099864150258,0.0665000050286174
h002_mid_k20,1,26,0.52,2,1.130946548553021,0.05336099864150258,169.5000200513757,0.04725891637209554,0.42628421035614505,0.9045892835983844,174,0.009115073809088351,0.0665000050286174
h002_mid_k20,1,28,0.56,1,1.130946548553021,0.07047184353815464,169.74977442442923,0.0575267897964878,0.45278722390813375,0.8916186011213347,174,0.009348813594621948,0.0679050821267488
h002_mid_k20,1,28,0.56,2,1.130946548553021,0.07047184353815464,169.74977639125814,0.0575268014595871,0.4554963016631915,0.890237675663727,170,0.07047184353815464,0.0679050821267488
h002_mid_k20,1,28,0.56,3,1.130946548553021,0.07047184353815464,158.8283674608324,0.008401383004816845,0.9915250389962782,0.12991573054649203,159,0.006319641182965519,0.0679050821267488
h002_mid_k20,1,30,0.6,1,1.130946548553021,0.08580418008325622,170.2917339483638,0.06611475158784151,0.528787110359629,0.8487544944903173,174,0.007906446521595589,0.06589809200010557
h002_mid_k20,1,30,0.6,2,1.130946548553021,0.08580418008325622,170.29173680887789,0.06611476001700992,0.5306773143456616,0.8475739425199885,170,0.08580418008325622,0.06589809200010557
h002_mid_k20,1,30,0.6,3,1.130946548553021,0.08580418008325622,169.49997994862326,0.06280174876401773,0.5939472556011487,0.8045039823169704,165,0.008836457621288867,0.06589809200010557
h002_mid_k20,1,30,0.6,4,1.130946548553021,0.08580418008325622,156.33494193258684,0.008079781345580149,0.9946281764879059,0.10351227239483876,158,0.006319009442735345,0.06589809200010557
h002_mid_k20,1,32,0.64,1,1.130946548553021,0.10054389231772573,170.83402913733676,0.06948039727258241,0.6512784760852306,0.7588388146293651,171,0.10054389231772573,0.06063215045569688
h002_mid_k20,1,32,0.64,2,1.130946548553021,0.10054389231772573,164.37351425385054,0.018397679799405486,0.9796399365808552,0.2007625329982116,166,0.030697943171149402,0.06063215045569688
h002_mid_k20,1,32,0.64,3,1.130946548553021,0.10054389231772573,154.74402867813774,0.008088463815728754,0.9960935641856257,0.08830408477514712,156,0.006460985080869061,0.06063215045569688
h002_mid_k20,1,34,0.68,1,1.130946548553021,0.10460912676344522,171.35482270091904,0.06276959603585003,0.7962427441944225,0.6049772659511556,171,0.10460912676344522,0.0523212532600147
h002_mid_k20,1,34,0.68,2,1.130946548553021,0.10460912676344522,165.33352088714253,0.04136309390562812,0.9172278465624182,0.3983629971401322,167,0.06097125631872539,0.0523212532600147
h002_mid_k20,1,34,0.68,3,1.130946548553021,0.10460912676344522,153.4683209115094,0.0082444786526107,0.9968418162193561,0.0794128039833337,155,0.00661433475128383,0.0523212532600147
h002_mid_k20,1,36,0.72,1,1.130946548553021,0.09891885255660174,166.30468079525713,0.05862949112375214,0.84758111092562,0.5306658651186188,167,0.09891885255660174,0.05958599618854473
h002_mid_k20,1,36,0.72,2,1.130946548553021,0.09891885255660174,166.30468276009947,0.058629493283648276,0.8477503450491632,0.5303954679944245,162,0.007332678865857205,0.05958599618854473
h002_mid_k20,1,36,0.72,3,1.130946548553021,0.09891885255660174,171.876153069863,0.04323448165356282,0.9201060086696661,0.39166941776193875,171,0.08793030320965554,0.05958599618854473
h002_mid_k20,1,36,0.72,4,1.130946548553021,0.09891885255660174,152.15438112607865,0.008370740276654938,0.9971188602361906,0.07585498376033144,153,0.006750254552784921,0.05958599618854473
h002_mid_k20,1,38,0.76,1,1.130946548553021,0.11465939420611602,167.24647336490705,0.06250185073727872,0.8326447761884164,0.5538074364669927,171,0.05254857613347374,0.05100374898952996
h002_mid_k20,1,38,0.76,2,1.130946548553021,0.11465939420611602,167.2464796713523,0.0625018394561727,0.8330623562970699,0.5531790944357656,167,0.11465939420611602,0.05100374898952996
h002_mid_k20,1,38,0.76,3,1.130946548553021,0.11465939420611602,161.52418050546942,0.024119016334659075,0.9769764204608667,0.2133473080764599,163,0.04432338401325698,0.05100374898952996
h002_mid_k20,1,38,0.76,4,1.130946548553021,0.11465939420611602,150.56411193305485,0.008364654982627723,0.9972512557226256,0.07409408181256039,152,0.00681535507537405,0.05100374898952996
h002_mid_k20,1,40,0.8,1,1.130946548553021,0.09524367799875412,162.73482168642647,0.05235782729129464,0.8939629371546732,0.448140900826726,164,0.09044228405110298,0.03211650414164309
h002_mid_k20,1,40,0.8,2,1.130946548553021,0.09524367799875412,168.1085740915546,0.049045520154364225,0.9072358292773469,0.42062233663399856,171,0.02070190865651643,0.03211650414164309
h002_mid_k20,1,40,0.8,3,1.130946548553021,0.09524367799875412,168.10857424736446,0.04904551401791453,0.9074683554179623,0.4201204397729524,168,0.09524367799875412,0.03211650414164309
h002_mid_k20,1,40,0.8,4,1.130946548553021,0.09524367799875412,148.77401974333895,0.00826165831307363,0.9974322763863008,0.07161601792086716,150,0.006986549665779308,0.03211650414164309
h002_mid_k20,1,42,0.84,1,1.130946548553021,0.11889309602449567,163.8400599026479,0.06181091593271993,0.8411822472234667,0.5407517239510925,168,0.0470775391433234,0.0329419659377206
h002_mid_k20,1,42,0.84,2,1.130946548553021,0.11889309602449567,163.84005866337247,0.06181093236279615,0.8415631554308688,0.5401587316902687,164,0.11889309602449567,0.0329419659377206
h002_mid_k20,1,42,0.84,3,1.130946548553021,0.11889309602449567,158.19051962099581,0.021855019155969716,0.9816099548977711,0.19089760722857613,160,0.04422012795792411,0.0329419659377206
h002_mid_k20,1,42,0.84,4,1.130946548553021,0.11889309602449567,172.6589954952285,0.009536835393733876,0.9965040434265442,0.083544547605147,172,0.023744689787471476,0.0329419659377206
h002_mid_k20,1,42,0.84,5,1.130946548553021,0.11889309602449567,147.12925193434478,0.00823757009253409,0.9972972212520795,0.07347280097342586,148,0.007087150682740274,0.0329419659377206
h002_mid_k20,1,44,0.88,1,1.130946548553021,0.09891389255790882,165.0469354264544,0.05597122329301266,0.8806062679479565,0.47384871093079023,169,0.008535985259554017,0.037429458780099976
h002_mid_k20,1,44,0.88,2,1.130946548553021,0.09891389255790882,165.04693198359348,0.055971238923485815,0.8810627598463747,0.472999379716178,164,0.09891389255790882,0.037429458780099976
h002_mid_k20,1,44,0.88,3,1.130946548553021,0.09891389255790882,159.42026698655684,0.05108467432736991,0.9019399621538704,0.43186144151784933,156,0.007315035085745077,0.037429458780099976
h002_mid_k20,1,44,0.88,4,1.130946548553021,0.09891389255790882,159.42026641126927,0.05108467240740257,0.9020826179887333,0.43156337926496147,160,0.09621980399237158,0.037429458780099976
h002_mid_k20,1,44,0.88,5,1.130946548553021,0.09891389255790882,171.3010593579453,0.021721253175168643,0.9829440447736838,0.18390487988074192,173,0.029664288657548037,0.037429458780099976
h002_mid_k20,1,46,0.92,1,1.130946548553021,0.11239304916551221,160.48796825840634,0.05887692486181095,0.873560329339953,0.4867158832455263,160,0.11239304916551221,0.03218285913795449
h002_mid_k20,1,46,0.92,2,1.130946548553021,0.11239304916551221,155.02747684210476,0.026633945420401452,0.975442750155069,0.22025312976190764,157,0.051421232395065,0.03218285913795449
h002_mid_k20,1,46,0.92,3,1.130946548553021,0.11239304916551221,165.8593362656502,0.024618296126931248,0.9790382029410866,0.2036766976899612,165,0.04333637116399091,0.03218285913795449
h002_mid_k20,1,46,0.92,4,1.130946548553021,0.11239304916551221,144.0318152686441,0.008296037102808698,0.9972669084327291,0.07388310595140561,145,0.007353495120990268,0.03218285913795449
