case,sign,cell,time,rank,rho_F,max_ahead_HP_over_h2,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,candidate_peak_cell,candidate_peak_amp,edge_HP_over_h2
h002_mid_k20,-1,10,0.2,1,1.130946548553021,0.005734972105244973,167.66936500293673,0.006429495433502187,0.5264017643537028,0.8502359569468401,169,0.005734972105244973,0.016521879728444
h002_mid_k20,-1,12,0.24,1,1.130946548553021,0.007455587004762563,167.724709647061,0.008286508321469904,0.5190819431637678,0.8547244797484903,169,0.007455587004762563,0.02078807797226506
h002_mid_k20,-1,14,0.28,1,1.130946548553021,0.009701900831988691,167.7948503848022,0.010680130080494891,0.5103441475799804,0.8599702617130798,169,0.009701900831988691,0.025949980125822194
h002_mid_k20,-1,16,0.32,1,1.130946548553021,0.012679865499320734,167.8908350502337,0.013763295361567018,0.5003510860155083,0.8658226092699942,169,0.012679865499320734,0.03204730141754704
h002_mid_k20,-1,18,0.36,1,1.130946548553021,0.016645842530484165,168.02072841572829,0.01772481477591854,0.48751701992354957,0.8731134836233267,169,0.016645842530484165,0.03898840115559137
h002_mid_k20,-1,18,0.36,2,1.130946548553021,0.016645842530484165,168.5000200662081,0.01755390561093233,0.49900552829436234,0.8665988014829381,173,0.005698457031457035,0.03898840115559137
h002_mid_k20,-1,20,0.4,1,1.130946548553021,0.021949890699388606,168.1993273448735,0.02281247943799941,0.4730802848908871,0.8810193210410073,169,0.021949890699388606,0.04629010903791237
h002_mid_k20,-1,20,0.4,2,1.130946548553021,0.021949890699388606,168.5000200662081,0.022720492043063072,0.4763736617841504,0.879242932504072,173,0.006917005649625849,0.04629010903791237
h002_mid_k20,-1,22,0.44,1,1.130946548553021,0.02906102555876272,168.5000200662081,0.02927450327225891,0.4544658449162375,0.8907641639651713,173,0.008067231335285223,0.052935319583159696
h002_mid_k20,-1,22,0.44,2,1.130946548553021,0.02906102555876272,168.44246810805294,0.029279174397724282,0.45738622037965115,0.8892681515756752,169,0.02906102555876272,0.052935319583159696
h002_mid_k20,-1,24,0.48,1,1.130946548553021,0.038739530825242646,168.76288749328705,0.03726634545545532,0.44302600771824047,0.8965087598485796,173,0.008855536672990612,0.05923215421728962
h002_mid_k20,-1,24,0.48,2,1.130946548553021,0.038739530825242646,168.76289032261604,0.037266352968823226,0.4455017603672322,0.8952810628566302,170,0.038739530825242646,0.05923215421728962
h002_mid_k20,-1,26,0.52,1,1.130946548553021,0.05287229388206003,169.1729611572623,0.0465493032018727,0.44894584881550254,0.8935589655033003,170,0.05287229388206003,0.06510331568065914
h002_mid_k20,-1,26,0.52,2,1.130946548553021,0.05287229388206003,169.5000200513757,0.04623584985795927,0.457596854850983,0.889159782283527,174,0.009353266168984289,0.06510331568065914
h002_mid_k20,-1,28,0.56,1,1.130946548553021,0.07000763778771468,169.67097106299423,0.056198535548899246,0.47953560215657265,0.8775224249353024,174,0.00994512151893672,0.06710975875097239
h002_mid_k20,-1,28,0.56,2,1.130946548553021,0.07000763778771468,169.6709730961262,0.0561985480636546,0.4821100661351647,0.8761106574692191,170,0.07000763778771468,0.06710975875097239
h002_mid_k20,-1,28,0.56,3,1.130946548553021,0.07000763778771468,158.8722746858224,0.008388265922461807,0.99142517112708,0.13067566741991435,159,0.006319622370868115,0.06710975875097239
h002_mid_k20,-1,30,0.6,1,1.130946548553021,0.08579330998375738,170.21224913759397,0.06438593201890448,0.553992311473077,0.8325217827953317,174,0.009525492532212526,0.06567703596892208
h002_mid_k20,-1,30,0.6,2,1.130946548553021,0.08579330998375738,170.21225311769285,0.0643859410761214,0.5558046472614467,0.8313129339079112,170,0.08579330998375738,0.06567703596892208
h002_mid_k20,-1,30,0.6,3,1.130946548553021,0.08579330998375738,169.49997994862326,0.06171001886776448,0.6050894082831877,0.7961575271160237,165,0.008751538843031561,0.06567703596892208
h002_mid_k20,-1,30,0.6,4,1.130946548553021,0.08579330998375738,156.34597057169992,0.008059925238672659,0.9945779319820246,0.10399392873797578,158,0.006339428937729045,0.06567703596892208
h002_mid_k20,-1,32,0.64,1,1.130946548553021,0.09959970727496388,170.7497282170142,0.06779878285915897,0.6712595166465355,0.7412224101519461,171,0.09959970727496388,0.06044269322984748
h002_mid_k20,-1,32,0.64,2,1.130946548553021,0.09959970727496388,164.34352430838828,0.018098203086875434,0.9802649317011966,0.19768829929170958,166,0.0304172105675236,0.06044269322984748
h002_mid_k20,-1,32,0.64,3,1.130946548553021,0.09959970727496388,154.7532726500982,0.008068489495993874,0.9961028148178076,0.08819967297014174,156,0.006476463014779942,0.06044269322984748
h002_mid_k20,-1,34,0.68,1,1.130946548553021,0.10538578381601021,171.25938808823537,0.06136975796271188,0.8083832892091917,0.5886564853353172,171,0.10538578381601021,0.051865444102388296
h002_mid_k20,-1,34,0.68,2,1.130946548553021,0.10538578381601021,165.3003635700802,0.04066712699430312,0.9209094819069371,0.3897765079297322,167,0.060188602927833144,0.051865444102388296
h002_mid_k20,-1,34,0.68,3,1.130946548553021,0.10538578381601021,153.47807289017385,0.008225650379368532,0.9968845908567195,0.07887402939136959,155,0.006624115506591796,0.051865444102388296
h002_mid_k20,-1,36,0.72,1,1.130946548553021,0.09811032346239285,166.28129706079767,0.05754829254234095,0.8542936534985476,0.5197906824791142,167,0.09811032346239285,0.06306732722832169
h002_mid_k20,-1,36,0.72,2,1.130946548553021,0.09811032346239285,166.28130063150093,0.05754829381253987,0.8544630093005727,0.519512238293776,162,0.007353156396388537,0.06306732722832169
h002_mid_k20,-1,36,0.72,3,1.130946548553021,0.09811032346239285,171.77009328001247,0.04161791914036062,0.9265230255488507,0.37623806709024527,171,0.08933106802329878,0.06306732722832169
h002_mid_k20,-1,36,0.72,4,1.130946548553021,0.09811032346239285,152.161830113492,0.00835295231940697,0.9971322751918847,0.0756784366293042,153,0.006759289568605419,0.06306732722832169
h002_mid_k20,-1,38,0.76,1,1.130946548553021,0.11411650782310015,167.24266272617388,0.06174584855335627,0.8367702697504197,0.5475541212170816,171,0.053385726097292224,0.05418537899480919
