case,h,method,kappa,cell,time,rho_F,mode_type,edge_HP_over_h2,ahead_HP_over_h2,peak_rel_cells,centroid_rel_cells,ahead_energy_fraction,core35_energy_fraction,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,track_started
h001_gl4_k5,0.01,gl4,5,0,0.0,1.0956649963446978,complex,0.004999999999999999,0.00015506872932063336,5.0,0.08784138670475011,0.29419808821173665,0.9999999578667057,,,,,False
h001_gl4_k5,0.01,gl4,5,1,0.01,1.0956649963446978,complex,0.005381322048943511,0.00017855255824578112,5.0,0.12321506740148361,0.3074378128261309,0.9999999587152629,,,,,False
h001_gl4_k5,0.01,gl4,5,2,0.02,1.0956649963446978,complex,0.005744637828362314,0.00018178945808087596,5.0,0.09680418955464544,0.2968641124783434,0.9999999574606432,,,,,False
h001_gl4_k5,0.01,gl4,5,3,0.03,1.0956649963446978,complex,0.005936570783584102,0.00020205063739726337,5.0,0.14311931398724323,0.3145896402151581,0.9999999584485006,,,,,False
h001_gl4_k5,0.01,gl4,5,4,0.04,1.0956649963446978,complex,0.006052596982192205,0.00019510352062478172,5.0,0.11705052424976489,0.3037472625499327,0.9999999513648339,,,,,False
h001_gl4_k5,0.01,gl4,5,5,0.05,1.0956649963446978,complex,0.006001136604532097,0.00020738202302591338,5.0,0.15940943761636012,0.3203331967968988,0.9999999497212753,,,,,False
h001_gl4_k5,0.01,gl4,5,6,0.06,1.0956649963446978,complex,0.0056944388353053115,0.0001867013320071975,5.0,0.1454626130418296,0.3135686418222624,0.9999999306757853,,,,,False
h001_gl4_k5,0.01,gl4,5,7,0.07,1.0956649963446978,complex,0.00530408233034055,0.00018447633766086976,5.0,0.17564280195764484,0.32591485065280607,0.9999999189857158,,,,,False
h001_gl4_k5,0.01,gl4,5,8,0.08,1.0956649963446978,complex,0.004471579014295687,0.00014931471619670394,5.0,0.18734487535354172,0.3292544510121264,0.999999841162535,,,,,False
h001_gl4_k5,0.01,gl4,5,9,0.09,1.0956649963446978,complex,0.003583184910490063,0.00012595225699238476,5.0,0.21453804421598677,0.3403236587909183,0.9999997472970392,,,,,False
h001_gl4_k5,0.01,gl4,5,10,0.1,1.0956649963446978,complex,0.0021229016766773664,7.648593940686162e-05,5.0,0.2747241924570072,0.3772023590473613,0.9999990192415069,,,,,False
h001_gl4_k5,0.01,gl4,5,11,0.11,1.0956649963446978,complex,0.0006698160424010714,3.081516426671907e-05,5.0,0.050831527689028363,0.4172214463265274,0.9999903555042132,,,,,False
