case,h,method,kappa,cell,time,rho_F,mode_type,edge_HP_over_h2,ahead_HP_over_h2,peak_rel_cells,centroid_rel_cells,ahead_energy_fraction,core35_energy_fraction,fit_center_rel_cells,fit_A_over_h2,fit_relL2,fit_corr,track_started
h001_mid_k5,0.01,midpoint,5,0,0.0,1.0566329057692634,real,0.005000000000000001,0.00015599025674292675,5.0,0.1036342126972545,0.2992268386843928,0.9999999487408638,,,,,False
h001_mid_k5,0.01,midpoint,5,1,0.01,1.0566329057692634,real,0.005288529636262454,0.00016398838018429196,5.0,0.08975122613236983,0.293935485082076,0.9999999479517423,,,,,False
h001_mid_k5,0.01,midpoint,5,2,0.02,1.0566329057692634,real,0.005549760073669522,0.0001848194993424706,5.0,0.13165471843926838,0.3101874142344665,0.9999999501407603,,,,,False
h001_mid_k5,0.01,midpoint,5,3,0.03,1.0566329057692634,real,0.005878056521932647,0.0001868581333620074,5.0,0.10069071297277071,0.298181874443197,0.9999999448319954,,,,,False
h001_mid_k5,0.01,midpoint,5,4,0.04,1.0566329057692634,real,0.006179151281440741,0.0002092812127083907,5.0,0.14022992973248805,0.3135138968940918,0.9999999521431091,,,,,False
h001_mid_k5,0.01,midpoint,5,5,0.05,1.0566329057692634,real,0.006541873196753248,0.00021016159909412478,5.0,0.10354918707260248,0.29935281260504626,0.9999999454831451,,,,,False
h001_mid_k5,0.01,midpoint,5,6,0.06,1.0566329057692634,real,0.0068777950088523025,0.00023637742778750008,5.0,0.1475945329395425,0.3163672105684635,0.9999999532236332,,,,,False
h001_mid_k5,0.01,midpoint,5,7,0.07,1.0566329057692634,real,0.007278305050433728,0.00023643129249950793,5.0,0.10606525612699187,0.3004190116415905,0.9999999449190279,,,,,False
h001_mid_k5,0.01,midpoint,5,8,0.08,1.0566329057692634,real,0.007660032881339342,0.0002675501867130105,5.0,0.15537892639949133,0.31941989700819645,0.9999999541309167,,,,,False
h001_mid_k5,0.01,midpoint,5,9,0.09,1.0566329057692634,real,0.008095359764446674,0.0002665165489240287,5.0,0.10996553122683105,0.3019802338669382,0.9999999451207401,,,,,False
h001_mid_k5,0.01,midpoint,5,10,0.1,1.0566329057692634,real,0.008510843311032863,0.0003028401962832387,5.0,0.16462119753022061,0.3230334383768594,0.9999999545747358,,,,,False
h001_mid_k5,0.01,midpoint,5,11,0.11,1.0566329057692634,real,0.008997315430179722,0.0003007556555950504,5.0,0.1141358078243402,0.3036854541181972,0.9999999447428437,,,,,False
h001_mid_k5,0.01,midpoint,5,12,0.12,1.0566329057692634,real,0.009461354072962407,0.00034370804178249,5.0,0.17473009670580947,0.3270116173543094,0.9999999557794479,,,,,False
h001_mid_k5,0.01,midpoint,5,13,0.13,1.0566329057692634,real,0.009958077176517711,0.00033905671503634086,5.0,0.12079844714831213,0.3062623152989161,0.9999999436669161,,,,,False
h001_mid_k5,0.01,midpoint,5,14,0.14,1.0566329057692634,real,0.01054781563528607,0.0003913947500795652,5.0,0.18300610062147188,0.33041364974752135,0.99999995619944,,,,,False
h001_mid_k5,0.01,midpoint,5,15,0.15,1.0566329057692634,real,0.011081403273713266,0.00038536636327478953,5.0,0.12844341518933441,0.3092167954498643,0.9999999462628477,,,,,False
h001_mid_k5,0.01,midpoint,5,16,0.16,1.0566329057692634,real,0.011671257591402914,0.00044505982918564027,5.0,0.19720875682069533,0.3359548965343862,0.9999999563183528,,,,,False
h001_mid_k5,0.01,midpoint,5,17,0.17,1.0566329057692634,real,0.012232322483481328,0.0004356881375010208,5.0,0.13733029929315474,0.31266693899017345,0.9999999459047699,,,,,False
h001_mid_k5,0.01,midpoint,5,18,0.18,1.0566329057692634,real,0.01286351609051973,0.0005045487351950079,5.0,0.21102705982126835,0.3414106961993903,0.999999956775814,,,,,False
h001_mid_k5,0.01,midpoint,5,19,0.19,1.0566329057692634,real,0.013470109408532226,0.0004923286471238667,5.0,0.1467853952680571,0.31635719184819927,0.9999999463883279,,,,,False
h001_mid_k5,0.01,midpoint,5,20,0.2,1.0566329057692634,real,0.014134852456697267,0.0005717984818255782,5.0,0.22659488297126584,0.3475396453160707,0.9999999575687598,,,,,False
h001_mid_k5,0.01,midpoint,5,21,0.21,1.0566329057692634,real,0.014776671054209552,0.0005558468605181032,5.0,0.15767548441423954,0.32060425549006805,0.9999999466115168,,,,,False
h001_mid_k5,0.01,midpoint,5,22,0.22,1.0566329057692634,real,0.01548142652993474,0.0006475461820971861,5.0,0.24358473295680771,0.35422687567022765,0.9999999584404641,,,,,False
h001_mid_k5,0.01,midpoint,5,23,0.23,1.0566329057692634,real,0.016147080788883668,0.0006270284273033587,5.0,0.17018922726785787,0.32547238658578553,0.9999999467500874,,,,,False
h001_mid_k5,0.01,midpoint,5,24,0.24,1.0566329057692634,real,0.01688891506579825,0.0007323923559851071,5.0,0.2622825197099213,0.36157335585270617,0.9999999592889294,,,,,False
h001_mid_k5,0.01,midpoint,5,25,0.25,1.0566329057692634,real,0.017608199968518694,0.0007076131120461214,5.0,0.18333018191911338,0.33062678470557494,0.9999999471509384,,,,,False
h001_mid_k5,0.01,midpoint,5,26,0.26,1.0566329057692634,real,0.01833309433163093,0.0008275123211358642,5.0,0.284246524448301,0.3701507234219428,0.9999999604807268,,,,,False
h001_mid_k5,0.01,midpoint,5,27,0.27,1.0566329057692634,real,0.019074010607662825,0.0007958501870295377,5.0,0.1984652071495996,0.336536781744883,0.9999999462234817,,,,,False
h001_mid_k5,0.01,midpoint,5,28,0.28,1.0566329057692634,real,0.019895749018610756,0.0009353804498371777,5.0,0.3053595572484763,0.3784471443420782,0.9999999618285236,,,,,False
h001_mid_k5,0.01,midpoint,5,29,0.29,1.0566329057692634,real,0.020615003492696213,0.0008965326072189112,5.0,0.2162724095638313,0.34341697106317126,0.9999999471373403,,,,,False
h001_mid_k5,0.01,midpoint,5,30,0.3,1.0566329057692634,real,0.021434910347234968,0.0010542852624622183,5.0,0.33016854654458255,0.3881309398674301,0.9999999627179855,,,,,False
h001_mid_k5,0.01,midpoint,5,31,0.31,1.0566329057692634,real,0.022090485995352585,0.0010045728026023965,5.0,0.23655690302133914,0.35121881810392347,0.9999999471114388,,,,,False
h001_mid_k5,0.01,midpoint,5,32,0.32,1.0566329057692634,real,0.022917803316550352,0.0011802432133713662,5.0,0.355518405850188,0.3980085279338168,0.9999999633618288,,,,,False
h001_mid_k5,0.01,midpoint,5,33,0.33,1.0566329057692634,real,0.023511615980020766,0.0011191990942325252,5.0,0.25788869461831243,0.3594030251669947,0.9999999474310561,,,,,False
h001_mid_k5,0.01,midpoint,5,34,0.34,1.0566329057692634,real,0.02432409484059698,0.0013122971517799138,5.0,0.3815820637258822,0.40813136467643774,0.9999999640332305,,,,,False
h001_mid_k5,0.01,midpoint,5,35,0.35000000000000003,1.0566329057692634,real,0.024836130981468436,0.001238468876793924,5.0,0.2804193993904537,0.3680114083283817,0.9999999478793403,,,,,False
h001_mid_k5,0.01,midpoint,5,36,0.36,1.0566329057692634,real,0.025613277091845674,0.0014470160563034853,5.0,0.4077037068927922,0.41824015760364963,0.9999999646145249,,,,,False
h001_mid_k5,0.01,midpoint,5,37,0.37,1.0566329057692634,real,0.025993034250481994,0.0013579324060874797,5.0,0.30443433380007556,0.37712639461536657,0.9999999483747571,,,,,False
h001_mid_k5,0.01,midpoint,5,38,0.38,1.0566329057692634,real,0.02674517561527903,0.0015783766321700926,5.0,0.4323898637128866,0.42775524903439566,0.9999999649579161,,,,,False
