method,h,kappa,delta,forward_relative_error,central_relative_error,adjoint_relative_error
midpoint,0.02,5,0.001,1.0271277788332234,1.10123520387093,9.072528144939221e-15
midpoint,0.02,5,0.0001,0.25247518491748727,0.2066094616924352,9.072528144939221e-15
midpoint,0.02,5,9.999999999999999e-06,0.02477189360912513,0.01603502982430235,9.072528144939221e-15
midpoint,0.02,5,1e-06,0.0016086054576599034,0.0007189530760763381,9.072528144939221e-15
midpoint,0.02,5,1e-07,0.00013868106370572048,3.169311147934346e-05,9.072528144939221e-15
midpoint,0.02,5,1e-08,3.333328586719745e-05,1.3861706702274056e-05,9.072528144939221e-15
midpoint,0.02,5,1e-09,0.0005116838007234186,0.0003503892954236789,9.072528144939221e-15
midpoint,0.02,5,1e-10,0.004403451109988188,0.0007182130186774567,9.072528144939221e-15
gl4,0.02,5,0.001,1.3524380883476155,1.3345419414383293,3.913096731477285e-15
gl4,0.02,5,0.0001,0.285860546419294,0.29489556347092477,3.913096731477285e-15
gl4,0.02,5,9.999999999999999e-06,0.021438494404947245,0.02311051502224942,3.913096731477285e-15
gl4,0.02,5,1e-06,0.0021681300750931182,0.0014229159993249722,3.913096731477285e-15
gl4,0.02,5,1e-07,0.00030122364628696707,0.00011849758822018908,3.913096731477285e-15
gl4,0.02,5,1e-08,0.002056676352126717,0.0010125530600819806,3.913096731477285e-15
gl4,0.02,5,1e-09,0.017132822962315844,0.008813395094728642,3.913096731477285e-15
gl4,0.02,5,1e-10,0.19398366181089513,0.09661749523494993,3.913096731477285e-15
gl6,0.02,5,0.001,1.3283467765986576,1.3270657368488874,2.751544195997804e-14
gl6,0.02,5,0.0001,0.2913022990604956,0.3011057431740606,2.751544195997804e-14
gl6,0.02,5,9.999999999999999e-06,0.021802283193228373,0.02349154179339157,2.751544195997804e-14
gl6,0.02,5,1e-06,0.002408400923325354,0.0014883881647029642,2.751544195997804e-14
gl6,0.02,5,1e-07,0.00031357777249779674,0.00013343804118649255,2.751544195997804e-14
gl6,0.02,5,1e-08,0.001879033471066925,0.0010318179438978355,2.751544195997804e-14
gl6,0.02,5,1e-09,0.0192342822115578,0.009024305622526365,2.751544195997804e-14
gl6,0.02,5,1e-10,0.1886886132268915,0.10596050683435496,2.751544195997804e-14
