h,method,kappa,dt,rho_F,rho_reference_gl4_k80,rho_abs_error,lambda_complex_error,compacton_Linf_error,compacton_relL2_error,edge_L2_error_over_h2,edge_HP_peak_error_over_h2,fixed_point_residual,lambda1_residual,mode_type
0.01,gl4,5,0.002,1.0956649963697636,1.095893961508199,0.0002289651384355107,0.0003343653188500758,1.6136133311886464e-08,1.72598841545355e-09,0.0003548053014083926,0.00013763614133402666,9.395274625741356e-11,3.637018150780877e-10,complex
0.01,gl4,10,0.001,1.095901108212381,1.095893961508199,7.146704182003916e-06,7.232687277487736e-06,1.622125924676535e-08,1.3205994382378997e-09,0.00037569735951489515,0.00013395785113215917,1.2283374317689774e-10,6.749914472585582e-12,complex
0.01,gl4,20,0.0005,1.0958925919165312,1.095893961508199,1.3695916678546638e-06,1.721336347603003e-06,0.0,0.0,0.0,0.0,2.3918322263104604e-09,1.6559945642684713e-11,complex
0.01,gl4,40,0.00025,1.0958936492896318,1.095893961508199,3.122185672221889e-07,3.1636432023669654e-07,0.0,0.0,0.0,0.0,2.391621441070557e-09,9.497450440617992e-11,complex
0.01,gl4,80,0.000125,1.095893961508199,1.095893961508199,0.0,0.0,0.0,0.0,0.0,0.0,2.392160289895872e-09,8.602836226916828e-11,complex
0.01,midpoint,5,0.002,1.05663290575344,1.095893961508199,0.03926105575475902,0.15426885561016726,6.5332812888075134e-09,1.4759588575296845e-09,0.00020878018587402387,5.496890917513484e-05,2.7946456260252717e-10,3.7936943913142016e-11,real
0.01,midpoint,10,0.001,1.0828551339256816,1.095893961508199,0.01303882758251751,0.017031510459465198,3.876795751894921e-08,3.0210845570984247e-09,0.000869370789545896,0.0003131896002703072,8.341150922515357e-11,2.0516637349071493e-11,complex
0.01,midpoint,20,0.0005,1.0931768114601206,1.095893961508199,0.002717150048078487,0.0036541854766366784,0.0,0.0,0.0,0.0,5.855116541764214e-11,9.724293328279431e-11,complex
0.01,midpoint,40,0.00025,1.0952435185620133,1.095893961508199,0.0006504429461857697,0.0008829010677107774,0.0,0.0,0.0,0.0,1.8329679782522997e-09,1.9601823990120212e-10,complex
0.01,midpoint,80,0.000125,1.0957328340784935,1.095893961508199,0.00016112742970553207,0.00021906796458485387,0.0,0.0,0.0,0.0,2.248653481388247e-09,1.2378826950217384e-11,complex
0.02,gl4,5,0.004,1.1339260303828778,1.1342144166820032,0.00028838629912542046,0.00028838629912542046,5.79809176990846e-08,2.8199423613142615e-08,0.0006045654699758324,9.763855336905147e-05,7.887039906235335e-10,3.236600341325214e-13,real
0.02,gl4,10,0.002,1.134197595738574,1.1342144166820032,1.682094342925211e-05,1.682094342925211e-05,1.8502659573773684e-08,8.376971930385966e-09,0.0002760556906602614,1.632712520607082e-05,5.83552643815439e-10,4.873992007178969e-13,real
0.02,gl4,20,0.001,1.1342151560202751,1.1342144166820032,7.393382719378394e-07,7.393382719378394e-07,4.629837287097212e-09,1.2226616625950725e-09,5.611265819847109e-05,2.1101663385948333e-06,2.5247879985703173e-10,7.932018330321245e-12,real
0.02,gl4,40,0.0005,1.1342141693777494,1.1342144166820032,2.4730425374208664e-07,2.4730425374208664e-07,0.0,0.0,0.0,0.0,2.82006491346843e-10,4.450742463516656e-12,real
0.02,gl4,80,0.00025,1.1342144166820032,1.1342144166820032,0.0,0.0,0.0,0.0,0.0,0.0,2.8272887530505006e-10,4.73339675016943e-13,real
0.02,midpoint,5,0.004,1.0392104054523292,1.1342144166820032,0.09500401122967395,0.09500401122967395,2.5657122272232705e-07,4.0527241501336e-08,0.0015955008743059613,0.000497522303338259,2.2387216525032727e-09,3.673065491836655e-07,real
0.02,midpoint,10,0.002,1.1190315587981696,1.1342144166820032,0.015182857883833556,0.015182857883833556,1.0029568641516085e-06,1.1441765293891037e-07,0.005833827237979451,0.0018528023286862383,6.792694184909465e-10,2.1148428713471e-12,real
0.02,midpoint,20,0.001,1.1309465485501229,1.1342144166820032,0.0032678681318802916,0.0032678681318802916,9.825527345357792e-08,1.133658022337435e-08,0.0005744313269342989,0.00019669632094318831,2.73690353696622e-10,1.508862206095708e-11,real
0.02,midpoint,40,0.0005,1.133420963285237,1.1342144166820032,0.000793453396766175,0.000793453396766175,0.0,0.0,0.0,0.0,3.960889420135316e-09,1.0229179514541953e-12,real
0.02,midpoint,80,0.00025,1.1340170257704547,1.1342144166820032,0.00019739091154846733,0.00019739091154846733,0.0,0.0,0.0,0.0,1.1677440736655807e-09,3.9973374160352083e-13,real
