h,Ldom,x0,phi_right,method,kappa,dt,N,fixed_point_residual,solve_runtime_s,spectrum_runtime_s,ritz_iterations,edge_energy_fraction,right_edge_energy_fraction,left_edge_energy_fraction,lambda1_real,lambda1_imag,lambda1_abs,lambda1_residual,lambda2_real,lambda2_imag,lambda2_abs,lambda2_residual,lambda3_real,lambda3_imag,lambda3_abs,lambda3_residual,lambda4_real,lambda4_imag,lambda4_abs,lambda4_residual,rho_F,mode_type
0.01,16.0,7.999314692820414,0.25,gl4,5,0.002,1600,9.395274625741356e-11,2.2745630741119385,2.006249189376831,260,0.9990080055460177,0.6614433561766918,0.3375646493693257,-1.0851686153145603,0.1512972590836782,1.0956649963697636,3.637018150780877e-10,-1.0851686153145603,-0.1512972590836782,1.0956649963697636,3.637018150780877e-10,-0.8887707316373017,-0.5314322893604614,1.0355354612904406,0.0004070985313293,-0.8887707316373017,0.5314322893604614,1.0355354612904406,0.0004070985313293,1.0956649963697636,complex
0.01,16.0,7.999314692820414,0.25,gl4,10,0.001,1600,1.2283374317689774e-10,3.814187526702881,4.188631534576416,300,0.9990179697155974,0.661312867514159,0.3377051022014385,-1.0853686331509884,0.1515723231763635,1.095901108212381,6.749914472585582e-12,-1.0853686331509884,-0.1515723231763635,1.095901108212381,6.749914472585582e-12,-0.8883927896852397,-0.5320692910103247,1.0355382557882409,8.620572486833211e-05,-0.8883927896852397,0.5320692910103247,1.0355382557882409,8.620572486833211e-05,1.095901108212381,complex
0.01,16.0,7.999314692820414,0.25,gl4,20,0.0005,1600,2.3918322263104604e-09,0.1445329189300537,7.871104001998901,300,0.9990176363682856,0.6613238420028515,0.337693794365434,-1.0853604967033847,0.1515690113885902,1.0958925919165312,1.6559945642684713e-11,-1.0853604967033847,-0.1515690113885902,1.0958925919165312,1.6559945642684713e-11,-0.8883939623552779,-0.5320973595861063,1.0355536839912345,0.0001164958328584,-0.8883939623552779,0.5320973595861063,1.0355536839912345,0.0001164958328584,1.0958925919165312,complex
0.01,16.0,7.999314692820414,0.25,gl4,40,0.00025,1600,2.391621441070557e-09,0.3128015995025635,10.091174364089966,280,0.999017667293606,0.6613234661129958,0.3376942011806103,-1.085361406762677,-0.1515701397488621,1.0958936492896318,9.497450440617992e-11,-1.085361406762677,0.1515701397488621,1.0958936492896318,9.497450440617992e-11,-0.8883898075166476,0.5320893588207136,1.0355460085721466,0.0003531223204239,-0.8883898075166476,-0.5320893588207136,1.0355460085721466,0.0003531223204239,1.0958936492896318,complex
0.01,16.0,7.999314692820414,0.25,gl4,80,0.000125,1600,2.392160289895872e-09,0.6216912269592285,19.667097091674805,280,0.9990176793471937,0.6613239928686915,0.3376936864785022,-1.0853617089202383,-0.1515702334888813,1.095893961508199,8.602836226916828e-11,-1.0853617089202383,0.1515702334888813,1.095893961508199,8.602836226916828e-11,-0.888398973516551,0.532103000121657,1.0355608813023642,0.000334142277376,-0.888398973516551,-0.532103000121657,1.0355608813023642,0.000334142277376,1.095893961508199,complex
0.01,16.0,7.999314692820414,0.25,midpoint,5,0.002,1600,2.7946456260252717e-10,1.0980169773101809,0.8055517673492432,440,0.998878522333428,0.7918579158477878,0.2070206064856403,-1.05663290575344,0.0,1.05663290575344,3.7936943913142016e-11,-0.6507346855307085,-0.7685513036770039,1.0070385977391196,0.0410119521266542,-0.6507346855307085,0.7685513036770039,1.0070385977391196,0.0410119521266542,-0.2404417253196393,-0.8729109983332836,0.9054202528582485,0.4344463023980935,1.05663290575344,real
0.01,16.0,7.999314692820414,0.25,midpoint,10,0.001,1600,8.341150922515357e-11,1.0330493450164795,1.2143487930297852,340,0.9981161545949212,0.6607089784301011,0.3374071761648199,-1.0739003487422425,0.1389722347826929,1.0828551339256816,2.0516637349071493e-11,-1.0739003487422425,-0.1389722347826929,1.0828551339256816,2.0516637349071493e-11,-0.8975032772679019,-0.5100426529673122,1.0323059820385418,0.0001128873979976,-0.8975032772679019,0.5100426529673122,1.0323059820385418,0.0001128873979976,1.0828551339256816,complex
0.01,16.0,7.999314692820414,0.25,midpoint,20,0.0005,1600,5.855116541764214e-11,2.0434226989746094,1.6663882732391355,280,0.9988830865305128,0.6617705637077448,0.337112522822768,-1.0830054945798748,0.148777148191235,1.0931768114601206,9.724293328279431e-11,-1.0830054945798748,-0.148777148191235,1.0931768114601206,9.724293328279431e-11,-0.891052943108535,-0.5268800661203684,1.035170493927153,0.0002772792968091,-0.891052943108535,0.5268800661203684,1.035170493927153,0.0002772792968091,1.0931768114601206,complex
0.01,16.0,7.999314692820414,0.25,midpoint,40,0.00025,1600,1.8329679782522997e-09,0.0,2.1132428646087646,280,0.9989873860718969,0.6614536451218814,0.3375337409500153,-1.084799904482422,-0.1508891387311459,1.0952435185620133,1.9601823990120215e-10,-1.084799904482422,0.1508891387311459,1.0952435185620133,1.9601823990120215e-10,-0.8890655003451611,0.530789480562991,1.035458804868799,0.0005112866011881,-0.8890655003451611,-0.530789480562991,1.035458804868799,0.0005112866011881,1.0952435185620133,complex
0.01,16.0,7.999314692820414,0.25,midpoint,80,0.000125,1600,2.248653481388247e-09,0.0,4.248293876647949,300,0.9990103203791884,0.6613662244203764,0.3376440959588121,-1.0852226462557,-0.1514009634429817,1.0957328340784935,1.2378826950217384e-11,-1.0852226462557,0.1514009634429817,1.0957328340784935,1.2378826950217384e-11,-0.8885733812177596,0.531778828229563,1.0355440000125389,0.0001850785762236,-0.8885733812177596,-0.531778828229563,1.0355440000125389,0.0001850785762236,1.0957328340784935,complex
0.02,16.0,8.001814692820414,0.25,gl4,5,0.004,800,7.887039906235335e-10,2.1002063751220703,1.034958839416504,240,0.9996188441400398,0.7944820989295569,0.2051367452104827,-1.1339260303828778,0.0,1.1339260303828778,3.236600341325214e-13,-0.9721685247176084,-0.414899829588206,1.057002132941998,5.145590607387209e-06,-0.9721685247176084,0.414899829588206,1.057002132941998,5.145590607387209e-06,-0.5497798854804232,-0.840822071422317,1.004609216695618,0.0902986536956868,1.1339260303828778,real
0.02,16.0,8.001814692820414,0.25,gl4,10,0.002,800,5.83552643815439e-10,4.1504387855529785,1.7212202548980713,240,0.9996207737931458,0.7943044832259422,0.2053162905672036,-1.134197595738574,0.0,1.134197595738574,4.873992007178969e-13,-0.9720847134598776,-0.4154208091572099,1.057129669824475,5.739978909017815e-06,-0.9720847134598776,0.4154208091572099,1.057129669824475,5.739978909017815e-06,-0.5481429686912423,-0.8438528692053342,1.0062546293020087,0.1032476601256919,1.134197595738574,real
0.02,16.0,8.001814692820414,0.25,gl4,20,0.001,800,2.5247879985703173e-10,4.279458284378052,3.050309419631958,220,0.9996204216247526,0.7943852534076595,0.2052351682170931,-1.1342151560202751,0.0,1.1342151560202751,7.932018330321245e-12,-0.9720789707658308,-0.4154517197465968,1.0571365365200287,2.550584415484375e-05,-0.9720789707658308,0.4154517197465968,1.0571365365200287,2.550584415484375e-05,-0.5414339814020384,-0.8364266975500709,0.9963736129541874,0.1814629780243169,1.1342151560202751,real
0.02,16.0,8.001814692820414,0.25,gl4,40,0.0005,800,2.82006491346843e-10,7.826766014099121,5.8084046840667725,220,0.999620373228174,0.7943964128674188,0.2052239603607551,-1.1342141693777494,0.0,1.1342141693777494,4.450742463516656e-12,-0.9720769702483434,-0.415451917476018,1.0571347746724156,1.780551205479264e-05,-0.9720769702483434,0.415451917476018,1.0571347746724156,1.780551205479264e-05,-0.5407779631314544,-0.8330828178429733,0.9932108470983356,0.1497419805699172,1.1342141693777494,real
0.02,16.0,8.001814692820414,0.25,gl4,80,0.00025,800,2.8272887530505006e-10,0.3517298698425293,13.021209716796877,240,0.9996203724526028,0.7943964859040045,0.2052238865485982,-1.1342144166820032,0.0,1.1342144166820032,4.73339675016943e-13,-0.9720778443257868,-0.4154520522846963,1.0571356314005476,6.430092092183079e-06,-0.9720778443257868,0.4154520522846963,1.0571356314005476,6.430092092183079e-06,-0.5497704221900519,-0.8499747582980007,1.0122769417796558,0.0845044305510624,1.1342144166820032,real
0.02,16.0,8.001814692820414,0.25,midpoint,5,0.004,800,2.2387216525032727e-09,4.791606426239014,0.3853518962860107,420,0.9911048659171828,0.6833610369115485,0.3077438290056343,-1.0392104054523292,0.0,1.0392104054523292,3.673065491836655e-07,-0.65750911186788,-0.7656318357217049,1.009212732807051,0.0296932154542341,-0.65750911186788,0.7656318357217049,1.009212732807051,0.0296932154542341,-0.9355590253611376,-0.3119895227039339,0.9862089799893884,0.1671816749020561,1.0392104054523292,real
0.02,16.0,8.001814692820414,0.25,midpoint,10,0.002,800,6.792694184909465e-10,6.905614852905273,0.3683459758758545,260,0.9995188564419758,0.7942649693706147,0.2052538870713611,-1.1190315587981696,0.0,1.1190315587981696,2.1148428713470997e-12,-0.9726741421969562,-0.3941284252631035,1.0494914018223105,2.307377241025144e-05,-0.9726741421969562,0.3941284252631035,1.0494914018223105,2.307377241025144e-05,-0.5802208860753914,-0.8348754365228441,1.016697236716675,0.0440014836388038,1.1190315587981696,real
0.02,16.0,8.001814692820414,0.25,midpoint,20,0.001,800,2.73690353696622e-10,10.91132140159607,0.6636512279510498,220,0.999603721781638,0.7949059328942593,0.2046977888873786,-1.1309465485501229,0.0,1.1309465485501229,1.508862206095708e-11,-0.9725513432020968,-0.4104811910328046,1.0556282126562897,3.80313070965776e-05,-0.9725513432020968,0.4104811910328046,1.0556282126562897,3.80313070965776e-05,-0.5471586602343171,-0.8293051684424955,0.993543990910744,0.1601373298607875,1.1309465485501229,real
0.02,16.0,8.001814692820414,0.25,midpoint,40,0.0005,800,3.960889420135316e-09,0.0773794651031494,1.4457342624664309,240,0.9996166235860257,0.7945283480088617,0.2050882755771639,-1.133420963285237,0.0,1.133420963285237,1.0229179514541953e-12,-0.9721888035891562,-0.414230876014919,1.0567583869873955,1.1596217973580616e-05,-0.9721888035891562,0.414230876014919,1.0567583869873955,1.1596217973580616e-05,-0.547495860025941,-0.8347735798438121,0.998297874559892,0.1385539397755415,1.133420963285237,real
0.02,16.0,8.001814692820414,0.25,midpoint,80,0.00025,800,1.1677440736655807e-09,0.1560866832733154,2.5102899074554443,240,0.9996194770859982,0.7944303374012693,0.2051891396847288,-1.1340170257704547,0.0,1.1340170257704547,3.9973374160352083e-13,-0.9721059834968768,-0.4151478631750585,1.0570420007971524,6.201215851101993e-06,-0.9721059834968768,0.4151478631750585,1.0570420007971524,6.201215851101993e-06,-0.5464553239273107,-0.846963098834999,1.0079483676442391,0.1160761299504351,1.1340170257704547,real
