h,method,kappa,dt,rho_F,lambda1_real,lambda1_imag,lambda1_residual,fixed_point_residual,mode_type,rho_reference,reference_half_range,rho_abs_error,rho_rel_error
0.01,gl4,5,0.002,1.0956649963697636,-1.0851686153145603,0.1512972590836782,3.637018150780877e-10,9.395274625741356e-11,complex,1.0958938053989153,8.937534969888361e-07,0.00022880902915178858,0.00020878759239678337
0.01,gl4,10,0.001,1.095901108212381,-1.0853686331509884,0.1515723231763635,6.749914472585582e-12,1.2283374317689774e-10,complex,1.0958938053989153,8.937534969888361e-07,7.302813465726032e-06,6.663796646854612e-06
0.01,gl4,20,0.0005,1.0958925919165312,-1.0853604967033847,0.1515690113885902,1.6559945642684713e-11,2.3918322263104604e-09,complex,1.0958938053989153,8.937534969888361e-07,1.213482384132547e-06,1.1072992457429107e-06
0.01,gl4,40,0.00025,1.0958936492896318,-1.085361406762677,-0.1515701397488621,9.497450440617992e-11,2.391621441070557e-09,complex,1.0958938053989153,8.937534969888361e-07,1.5610928350007214e-07,1.4244927996763968e-07
0.01,gl4,80,0.000125,1.095893961508199,-1.0853617089202383,-0.1515702334888813,8.602836226916828e-11,2.392160289895872e-09,complex,1.0958938053989153,8.937534969888361e-07,1.5610928372211674e-07,1.4244928017025475e-07
0.01,gl6,2,0.005,1.095719907385653,-1.0852123295042908,-0.1513813572838298,4.0136149806503045e-11,9.081244234691428e-10,,1.0958938053989153,8.937534969888361e-07,0.00017389801326239684,0.00015868144559782083
0.01,gl6,5,0.002,1.0959202191988522,-1.0853852299640878,-0.1515916535455187,1.0196298736575704e-11,1.989228761488947e-11,complex,1.0958938053989153,8.937534969888361e-07,2.6413799936841897e-05,2.4102517786590677e-05
0.01,gl6,10,0.001,1.0958924979650857,-1.085360251327691,-0.1515700891800456,4.5889931807284775e-11,2.4022882726378926e-09,complex,1.0958938053989153,8.937534969888361e-07,1.3074338296448218e-06,1.1930296742291594e-06
0.01,gl6,20,0.0005,1.0958942854720797,-1.085362033905107,-0.1515702486892738,4.807753741919404e-11,2.3913608461937166e-09,complex,1.0958938053989153,8.937534969888361e-07,4.800731643328504e-07,4.380654055783255e-07
0.01,midpoint,5,0.002,1.05663290575344,-1.05663290575344,0.0,3.7936943913142016e-11,2.7946456260252717e-10,real,1.0958938053989153,8.937534969888361e-07,0.0392608996454753,0.03582545995976679
0.01,midpoint,10,0.001,1.0828551339256816,-1.0739003487422425,0.1389722347826929,2.0516637349071493e-11,8.341150922515357e-11,complex,1.0958938053989153,8.937534969888361e-07,0.013038671473233787,0.011897750866916884
0.01,midpoint,20,0.0005,1.0931768114601206,-1.0830054945798748,0.148777148191235,9.724293328279431e-11,5.855116541764214e-11,complex,1.0958938053989153,8.937534969888361e-07,0.002716993938794765,0.002479249289857747
0.01,midpoint,40,0.00025,1.0952435185620133,-1.084799904482422,-0.1508891387311459,1.9601823990120212e-10,1.8329679782522997e-09,complex,1.0958938053989153,8.937534969888361e-07,0.0006502868369020476,0.0005933849007069962
0.01,midpoint,80,0.000125,1.0957328340784935,-1.0852226462557,-0.1514009634429817,1.2378826950217384e-11,2.248653481388247e-09,complex,1.0958938053989153,8.937534969888361e-07,0.00016097132042180995,0.00014688587491669863
0.02,gl4,5,0.004,1.1339260303828778,-1.1339260303828778,0.0,3.236600341325214e-13,7.887039906235335e-10,real,1.1342141856738963,3.0024089403557497e-07,0.00028815529101855475,0.0002540572095272698
0.02,gl4,10,0.002,1.134197595738574,-1.134197595738574,0.0,4.873992007178969e-13,5.83552643815439e-10,real,1.1342141856738963,3.0024089403557497e-07,1.6589935322386395e-05,1.4626809937604019e-05
0.02,gl4,20,0.001,1.1342151560202751,-1.1342151560202751,0.0,7.932018330321245e-12,2.5247879985703173e-10,real,1.1342141856738963,3.0024089403557497e-07,9.70346378803555e-07,8.555230494027202e-07
0.02,gl4,40,0.0005,1.1342141693777494,-1.1342141693777494,0.0,4.450742463516656e-12,2.82006491346843e-10,real,1.1342141856738963,3.0024089403557497e-07,1.6296146876371154e-08,1.4367786157328614e-08
0.02,gl4,80,0.00025,1.1342144166820032,-1.1342144166820032,0.0,4.73339675016943e-13,2.8272887530505006e-10,real,1.1342141856738963,3.0024089403557497e-07,2.310081068657155e-07,2.0367238373805158e-07
0.02,gl6,2,0.01,1.1340527153362403,-1.1340527153362403,0.0,9.169436442854064e-13,2.6650800221740024e-10,,1.1342141856738963,3.0024089403557497e-07,0.00016147033765601115,0.00014236317945545102
0.02,gl6,5,0.004,1.1342123189891142,-1.1342123189891142,0.0,3.4439791693136385e-14,2.4610560285650765e-10,real,1.1342141856738963,3.0024089403557497e-07,1.866684782081407e-06,1.6457956580505218e-06
0.02,gl6,10,0.002,1.134213816200215,-1.134213816200215,0.0,3.459311665921865e-12,3.1604036531893143e-10,real,1.1342141856738963,3.0024089403557497e-07,3.6947368120543445e-07,3.2575300668269343e-07
0.02,gl6,20,0.001,1.1342142019700434,-1.1342142019700434,0.0,1.995694914839228e-11,2.8374941753731486e-10,real,1.1342141856738963,3.0024089403557497e-07,1.629614709841576e-08,1.4367786353098167e-08
0.02,midpoint,5,0.004,1.0392104054523292,-1.0392104054523292,0.0,3.673065491836655e-07,2.2387216525032727e-09,real,1.1342141856738963,3.0024089403557497e-07,0.09500378022156708,0.08376176336140632
0.02,midpoint,10,0.002,1.1190315587981696,-1.1190315587981696,0.0,2.1148428713471e-12,6.792694184909465e-10,real,1.1342141856738963,3.0024089403557497e-07,0.01518262687572669,0.01338603155162082
0.02,midpoint,20,0.001,1.1309465485501229,-1.1309465485501229,0.0,1.508862206095708e-11,2.73690353696622e-10,real,1.1342141856738963,3.0024089403557497e-07,0.003267637123773426,0.002880970071655338
0.02,midpoint,40,0.0005,1.133420963285237,-1.133420963285237,0.0,1.0229179514541953e-12,3.960889420135316e-09,real,1.1342141856738963,3.0024089403557497e-07,0.0007932223886593093,0.0006993585503323732
0.02,midpoint,80,0.00025,1.1340170257704547,-1.1340170257704547,0.0,3.9973374160352083e-13,1.1677440736655807e-09,real,1.1342141856738963,3.0024089403557497e-07,0.00019715990344160161,0.00017382951644574833
