method,fit_scope,h,power,coefficient,chi_max,n_fit,fit_RMSE,fit_max_abs_error
midpoint,combined_h,,2,-11.659289071854937,0.0360374420016715,25,4.999658373899482e-07,1.074741624409667e-06
midpoint,combined_h,,4,452.11977158167844,0.0360374420016715,25,4.999658373899482e-07,1.074741624409667e-06
midpoint,combined_h,,6,-21049.697543497517,0.0360374420016715,25,4.999658373899482e-07,1.074741624409667e-06
midpoint,per_h,0.01,2,-11.659750505447365,0.0360374420016715,14,2.9986483589420374e-07,5.658331681092713e-07
midpoint,per_h,0.01,4,451.5793964947022,0.0360374420016715,14,2.9986483589420374e-07,5.658331681092713e-07
midpoint,per_h,0.01,6,-20721.54836817556,0.0360374420016715,14,2.9986483589420374e-07,5.658331681092713e-07
midpoint,per_h,0.02,2,-11.65851667615631,0.0360374371085375,11,2.724548522168578e-07,6.432157942078479e-07
midpoint,per_h,0.02,4,452.6691862078018,0.0360374371085375,11,2.724548522168578e-07,6.432157942078479e-07
midpoint,per_h,0.02,6,-21592.598465718398,0.0360374371085375,11,2.724548522168578e-07,6.432157942078479e-07
gl4,combined_h,,4,-44.07987599569861,0.0500006587869007,27,1.0002724346731211e-08,3.100779631535133e-08
gl4,combined_h,,6,719.2285024364792,0.0500006587869007,27,1.0002724346731211e-08,3.100779631535133e-08
gl4,combined_h,,8,8148.209712823532,0.0500006587869007,27,1.0002724346731211e-08,3.100779631535133e-08
gl4,per_h,0.01,4,-44.08676346018346,0.0500006587869007,15,4.142775027544599e-09,1.3166610551352317e-08
gl4,per_h,0.01,6,721.3395092871513,0.0500006587869007,15,4.142775027544599e-09,1.3166610551352317e-08
gl4,per_h,0.01,8,7614.503872837769,0.0500006587869007,15,4.142775027544599e-09,1.3166610551352317e-08
gl4,per_h,0.02,4,-44.066843646941685,0.0500006586099059,12,4.481206100050666e-09,1.2650824728425698e-08
gl4,per_h,0.02,6,709.573394854235,0.0500006586099059,12,4.481206100050666e-09,1.2650824728425698e-08
gl4,per_h,0.02,8,10716.483006392995,0.0500006586099059,12,4.481206100050666e-09,1.2650824728425698e-08
gl6,combined_h,,6,-116.35618729871756,0.05000000329994,20,1.0436926126163174e-10,3.163446798741895e-10
gl6,combined_h,,8,1724.1353172904164,0.05000000329994,20,1.0436926126163174e-10,3.163446798741895e-10
gl6,per_h,0.01,6,-116.37731099180361,0.05000000329994,10,1.536996382980444e-11,3.634236600480027e-11
gl6,per_h,0.01,8,1724.5510650963324,0.05000000329994,10,1.536996382980444e-11,3.634236600480027e-11
gl6,per_h,0.02,6,-116.33506360572939,0.050000003298607,10,1.538144921517809e-11,3.6282961429463385e-11
gl6,per_h,0.02,8,1723.7195695272258,0.050000003298607,10,1.538144921517809e-11,3.6282961429463385e-11
