method_implementation,h,N,kappa,dt,median_one_cell_time_s,min_one_cell_time_s,max_one_cell_time_s,map_fixed_point_residual_on_ref,timing_half_range_fraction,timing_full_range_fraction
gl4_banded,0.02,800,10,0.002,0.0380777730001682,0.0370981900000515,0.0453428249998069,6.239497847158795e-10,0.10826046732983813,0.21652093465967626
gl4_banded,0.02,800,5,0.004,0.0206745099999352,0.0197611470002812,0.0235627030001523,5.921441356481838e-09,0.09193823698561697,0.18387647397123394
gl6_generic,0.02,800,5,0.004,0.0585263030002352,0.0575563850002254,0.0615495289998762,3.4895967365722314e-10,0.03411409737972649,0.06822819475945298
gl6_generic,0.02,800,2,0.01,0.0316057129998625,0.0313247210001463,0.031974457999695,1.16477686990424e-08,0.010278790412852344,0.020557580825704688
gl4_banded,0.02,800,3,0.0066666666666666,0.011422064999806,0.0110367359998235,0.0120928950000234,,0.04623327744229431,0.09246655488458862
gl4_banded,0.02,800,2,0.01,0.00811828399992,0.0078239219997158,0.0082718260000547,,0.02758612536487474,0.05517225072974948
gl6_generic,0.02,800,1,0.02,0.0223043390001294,0.0218774959998881,0.0225472339998304,,0.015013625822724756,0.03002725164544951
midpoint_banded,0.02,800,20,0.001,0.0160563270001148,0.0155892940001649,0.0174548420000064,1.5035390074272627e-08,0.05809385919420306,0.11618771838840612
midpoint_banded,0.02,800,40,0.0005,0.0310775540001486,0.0306001359999754,0.0325921049998214,3.960881025537365e-09,0.0320483555404083,0.0640967110808166
midpoint_banded,0.02,800,80,0.00025,0.0621620199999597,0.0600406349999502,0.067665931999727,1.1677278086272194e-09,0.06133405091872607,0.12266810183745214
