dataset,trim_left,trim_right,n,velocity,A_over_h2,residual
archived CFL5,0,0,13,2.1867499111120234,0.1063879156930503,0.0014789612529901
archived CFL5,0,1,12,2.186749911572723,0.10638791569325759,0.0014789601224850998
archived CFL5,0,2,11,2.186749912012361,0.1063879156934649,0.0014789589919801
archived CFL5,1,0,12,2.1867499107188793,0.10638791569276901,0.00147896264072875
archived CFL5,1,1,11,2.1867499111930884,0.1063879156930503,0.0014789612529901
archived CFL5,1,2,10,2.186749911646065,0.10638791569325759,0.0014789601224850998
archived CFL5,2,0,11,2.186749910306245,0.1063879156924877,0.0014789640284674
archived CFL5,2,1,10,2.1867499107941426,0.10638791569276901,0.00147896264072875
archived CFL5,2,2,9,2.1867499112606286,0.1063879156930503,0.0014789612529901
archived CFL20,0,0,9,2.118340003776188,0.1025621703872863,8.609391311632535e-05
archived CFL20,0,1,8,2.1183399387515727,0.1025621703873076,8.608696870431745e-05
archived CFL20,0,2,7,2.118339912978621,0.1025621703872863,8.609391311632535e-05
archived CFL20,1,0,8,2.118340020982503,0.10256217038652654,8.61857057186927e-05
archived CFL20,1,1,7,2.1183399400184637,0.1025621703872863,8.609391311632535e-05
archived CFL20,1,2,6,2.11833990444308,0.10256217038652654,8.61857057186927e-05
archived CFL20,2,0,7,2.1183400727749513,0.1025621703857668,8.627749832106004e-05
archived CFL20,2,1,6,2.1183399801422795,0.10256217038654786,8.61787613066848e-05
archived CFL20,2,2,5,2.11833994684112,0.1025621703857668,8.627749832106004e-05
GL4 I,0,0,11,3.5349106039327958,0.1710966931391868,1.2169687766596213e-05
GL4 I,0,1,10,3.53491061005174,0.1710966931390937,1.2169696573877482e-05
GL4 I,1,0,10,3.534910618268508,0.1710966931390937,1.2169684308252277e-05
GL4 I,1,1,9,3.5349106295010895,0.1710966931390006,1.216968084990834e-05
GL4 II,0,0,5,1.2208013891503204,0.0590857613075259,2.3778200201165324e-06
GL4 II,0,1,4,1.2208013265654911,0.05908576133454265,7.250995229115284e-06
GL4 II,1,0,4,1.2208014079829541,0.0590857613018167,1.6211988752728031e-06
GL4 II,1,1,3,1.2208013246158083,0.0590857613075259,2.3778200201165324e-06
ismail I,0,0,95,1.8634682664963833,0.6525448118484992,0.0001144597368696
ismail I,0,4,91,1.8634682745702777,0.6525448049030945,0.0001144209543623
ismail I,0,9,86,1.863468276543571,0.6525448045345758,0.0001144048669914
ismail I,4,0,91,1.863468266502185,0.6525448118484992,0.0001144597368696
ismail I,4,4,87,1.863468275364164,0.6525448049030945,0.0001144209543623
ismail I,4,9,82,1.863468277643625,0.6525448045345758,0.0001144048669914
ismail I,9,0,86,1.8634682637925148,0.6525448099937158,0.00011444381637865
ismail I,9,4,82,1.863468273529808,0.6525448045345758,0.0001144048669914
ismail I,9,9,77,1.8634682758671477,0.652544804166057,0.0001143887796205
ismail II,0,0,98,2.034528043994051,0.7125395982016995,0.0001364916991207
ismail II,0,4,94,2.0345280380657162,0.7125395891698403,0.0001364487530514
ismail II,0,9,89,2.0345280362309572,0.7125395969003034,0.0001365037714601
ismail II,4,0,94,2.0345280537266754,0.712539599821129,0.0001364487530514
ismail II,4,4,90,2.034528048169106,0.7125395941050834,0.0001363986258675
ismail II,4,9,85,2.034528047433747,0.7125396001391624,0.0001364656620449
ismail II,9,0,89,2.034528047880023,0.7125395995030958,0.0001364318440579
ismail II,9,4,85,2.034528041040345,0.7125395913098632,0.0001363855707674
ismail II,9,9,80,2.0345280392414677,0.7125395985197329,0.0001364487530514
pade8 I,0,0,164,4.701100312461726,0.1471261962765302,0.00034781509822744995
pade8 I,0,8,156,4.701100312450676,0.1471261962449676,0.0003478149900294
pade8 I,0,16,148,4.701100312443623,0.1471261962262831,0.0003478149900294
pade8 I,8,0,156,4.701100312473799,0.1471261962765302,0.00034781464959679996
pade8 I,8,8,148,4.701100312462861,0.1471261962449676,0.00034781444637645
pade8 I,8,16,140,4.701100312456413,0.1471261962262831,0.00034781444637645
pade8 I,16,0,148,4.701100312480591,0.1471261962765302,0.00034781464959679996
pade8 I,16,8,140,4.701100312469141,0.1471261962449676,0.00034781444637645
pade8 I,16,16,132,4.701100312462661,0.1471261962262831,0.00034781444637645
pade8 II,0,0,181,4.110906218223999,0.1286200691025899,0.0002658606803832
pade8 II,0,9,172,4.110906218217988,0.12862006907263746,0.00026586074279245
pade8 II,0,18,163,4.110906218211734,0.1286200691025899,0.0002658608281509
pade8 II,9,0,172,4.110906218294753,0.12862006909726287,0.00026586058217425003
pade8 II,9,9,163,4.110906218296422,0.1286200690484157,0.0002658606125664
pade8 II,9,18,154,4.110906218299316,0.12862006909726287,0.00026586074279245
pade8 II,18,0,163,4.110906218304662,0.1286200689100014,0.0002658606803832
pade8 II,18,9,154,4.110906218307734,0.1286200688903329,0.00026586074279245
pade8 II,18,18,145,4.110906218312521,0.1286200689100014,0.0002658608281509
