case,npts,degree,eps_min,eps_max,epsilon_c_fit,fit_rmse_rho
"h=0.01, kappa=5",4,1,0.3625,0.37,0.36865764921535144,3.1458767157960144e-07
"h=0.01, kappa=5",4,2,0.3625,0.37,0.3686559900515371,9.367698023543117e-10
"h=0.01, kappa=5",6,1,0.36,0.3725,0.3686660941221728,7.840447556072806e-07
"h=0.01, kappa=5",6,2,0.36,0.3725,0.3686559037836618,6.013277292361526e-09
"h=0.01, kappa=5",8,1,0.3575,0.375,0.3686779287313615,1.4415061563753815e-06
"h=0.01, kappa=5",8,2,0.3575,0.375,0.3686557771157881,1.5851410182405037e-08
"h=0.01, kappa=5",10,1,0.355,0.3775,0.36869313841855106,2.286137538851225e-06
"h=0.01, kappa=5",10,2,0.355,0.3775,0.368655614534083,3.303870561189717e-08
"h=0.02, kappa=20",4,1,0.185,0.19,0.19097733369406103,2.830194354748502e-06
"h=0.02, kappa=20",4,2,0.185,0.19,0.19100130095566664,1.5554616526134829e-06
"h=0.02, kappa=20",6,1,0.18,0.19,0.19097228055038232,4.93960402815678e-06
"h=0.02, kappa=20",6,2,0.18,0.19,0.19096948342473558,4.923792741550315e-06
"h=0.02, kappa=20",8,1,0.17,0.19,0.19107178215833323,2.7216058259197795e-05
"h=0.02, kappa=20",8,2,0.17,0.19,0.19092995736056217,7.03704066346402e-06
"h=0.02, kappa=20",10,1,0.1,0.19,0.18796423484352742,0.0017036285096358103
"h=0.02, kappa=20",10,2,0.1,0.19,0.19331091255151084,0.0003778327639064674
