method,h,Leta,Neta,V_h,FWHM_cells,profile_residual,iterations,last_error
ismail,0.02,90,8192,2.8576467195962136,3.1640625,2.705032765567948e-13,156,2.645661467681748e-13
ismail,0.02,90,16384,2.8576467195962136,3.18603515625,2.7050900070725725e-13,156,2.6451063561694355e-13
ismail,0.02,90,32768,2.8576467195962136,3.197021484375,2.7048615955966433e-13,156,2.6462165791940606e-13
ismail,0.02,60,16384,2.8576467195962136,3.193359375,2.705088299445079e-13,156,2.6439961331448103e-13
ismail,0.02,120,16384,2.857646719596214,3.193359375,2.706021961463572e-13,156,2.644551244657123e-13
defrutos,0.02,90,8192,20.660521654241123,5.44921875,2.517404973794639e-13,146,2.556288514199423e-13
defrutos,0.02,90,16384,20.660521654241126,5.44921875,2.516204605868782e-13,146,2.5557334026871104e-13
defrutos,0.02,90,32768,20.66052165424113,5.460205078125,2.515691794782552e-13,146,2.5568436257117355e-13
defrutos,0.02,60,16384,20.660521654241126,5.44921875,2.516344083033201e-13,146,2.5568436257117355e-13
defrutos,0.02,120,16384,20.66052165424113,5.44921875,2.5157676972901145e-13,146,2.556288514199423e-13
pade6,0.02,90,8192,40.74963984582247,7.294921875,2.8390237669741596e-13,149,2.859934511434403e-13
pade6,0.02,90,16384,40.74963984582247,7.294921875,2.8386689530757696e-13,149,2.8582691768974655e-13
pade6,0.02,90,32768,40.74963984582247,7.305908203125,2.838758564047209e-13,149,2.858824288409778e-13
pade6,0.02,60,16384,40.74963984582246,7.3095703125,2.839479648820099e-13,149,2.858824288409778e-13
pade6,0.02,120,16384,40.749639845822465,7.294921875,2.8399963896087396e-13,149,2.858824288409778e-13
pade8,0.02,90,8192,31.990199534073497,6.1962890625,2.994964333163301e-13,192,2.878808302853031e-13
pade8,0.02,90,16384,31.990199534073497,6.1962890625,2.9945256152572863e-13,192,2.879918525877656e-13
pade8,0.02,90,32768,31.990199534073497,6.1962890625,2.9949342055951264e-13,192,2.8793634143653435e-13
pade8,0.02,60,16384,31.990199534073504,6.1962890625,2.9944145212004676e-13,192,2.879918525877656e-13
pade8,0.02,120,16384,31.990199534073504,6.181640625,2.994291583015464e-13,192,2.878808302853031e-13
