h,kappa,nb,seed,rho_F,lambda_real,lambda_imag,eigenpair_residual,ritz_iterations,runtime_s
0.01,5,6,1,1.0566329057750476,-1.0566329057750476,0.0,1.9787578973473796e-11,460,1.028559923171997
0.01,5,6,17,1.0566329057316357,-1.0566329057316357,0.0,1.5129830391598579e-10,420,0.9258368015289307
0.01,5,6,123,1.056632905765048,-1.056632905765048,0.0,1.6662635905223413e-11,460,1.084564447402954
0.01,5,6,2026,1.0566329057670822,-1.0566329057670822,0.0,8.289955182423942e-12,460,1.0410792827606201
0.01,5,8,1,1.0566329057545933,-1.0566329057545933,0.0,4.8308332228044414e-11,440,1.3559021949768066
0.01,5,8,17,1.0566329058093054,-1.0566329058093054,0.0,4.735759371909443e-11,440,1.2977688312530518
0.01,5,8,123,1.0566329057715136,-1.0566329057715136,0.0,1.3562463939914767e-11,460,1.314317226409912
0.01,5,8,2026,1.0566329057696546,-1.0566329057696546,0.0,5.148944778162743e-11,440,1.2781167030334473
0.01,5,10,1,1.056632905767919,-1.056632905767919,0.0,1.4151491404832026e-11,460,1.6327016353607178
0.01,5,10,17,1.0566329057713357,-1.0566329057713357,0.0,1.3797240763105359e-11,460,1.6657352447509766
0.01,5,10,123,1.0566329057691883,-1.0566329057691883,0.0,1.4733734962635846e-11,460,1.663623571395874
0.01,5,10,2026,1.0566329057802257,-1.0566329057802257,0.0,3.1714885656848656e-11,440,1.5836772918701172
0.02,20,6,1,1.130946548552117,-1.130946548552117,0.0,8.018386423391604e-12,240,1.0838017463684082
0.02,20,6,17,1.1309465485522276,-1.1309465485522276,0.0,1.037528259783299e-12,240,1.1124045848846436
0.02,20,6,123,1.1309465485535157,-1.1309465485535157,0.0,2.594680912842516e-12,240,1.148937702178955
0.02,20,6,2026,1.1309465485522514,-1.1309465485522514,0.0,7.778652093053502e-13,240,1.1126034259796143
0.02,20,8,1,1.1309465485520902,-1.1309465485520902,0.0,1.4915444690474392e-12,240,1.3371472358703613
0.02,20,8,17,1.1309465485524526,-1.1309465485524526,0.0,7.683274959391159e-13,240,1.3562123775482178
0.02,20,8,123,1.1309465485520998,-1.1309465485520998,0.0,1.223704825965548e-12,240,1.4401850700378418
0.02,20,8,2026,1.1309465485518038,-1.1309465485518038,0.0,1.7055629870871647e-12,240,1.7015306949615479
0.02,20,10,1,1.1309465485508399,-1.1309465485508399,0.0,1.0592329412637524e-11,220,1.5489130020141602
0.02,20,10,17,1.130946548554831,-1.130946548554831,0.0,1.3781023661586641e-11,220,1.4332385063171387
0.02,20,10,123,1.130946548554362,-1.130946548554362,0.0,6.3839251710579576e-12,220,1.3721389770507812
0.02,20,10,2026,1.1309465485526078,-1.1309465485526078,0.0,1.00939884268051e-12,240,1.4920008182525635
