category,case,metric,value,reference_scale,ratio_to_instability_margin
Ritz seed/subspace,"h=0.01, kappa=5",peak-to-peak rho_F,7.766964849054148e-11,0.05663290576937907,1.3714579436702114e-09
Ritz seed/subspace,"h=0.02, kappa=20",peak-to-peak rho_F,3.990807684317588e-12,0.13094654855260002,3.047661605769256e-11
domain,"h=0.01, kappa=5",peak-to-peak rho_F over tested L,6.339346575234828e-06,0.05661122059692558,0.00011198039025463271
domain,"h=0.02, kappa=20",peak-to-peak rho_F over tested L,2.5131675756018268e-05,0.13094374686983845,0.00019192726920362084
solver tolerance,"h=0.01, kappa=5",peak-to-peak rho_F incl loose tolerance,0.00018697461571304252,0.05667632553920221,0.0032989897269136625
solver tolerance,"h=0.02, kappa=20",peak-to-peak rho_F incl loose tolerance,3.612051576573627e-05,0.13092370238504225,0.0002758898129805941
profile solver,defrutos,peak-to-peak V_h,7.105427357601002e-15,20.66052165424113,3.439132601060158e-16
profile solver,ismail,peak-to-peak V_h,4.440892098500626e-16,2.857646719596214,1.5540381769542614e-16
profile solver,pade6,peak-to-peak V_h,1.4210854715202004e-14,40.74963984582247,3.487357132227233e-16
profile solver,pade8,peak-to-peak V_h,7.105427357601002e-15,31.990199534073504,2.2211263015202034e-16
