method,packet,W,n,A_over_h2_median,A_over_h2_std,profile_relL2_median,profile_relL2_max,velocity,velocity_stderr
ismail,I,3,95,0.6525448118484992,8.421183637351323e-07,0.00011445973686960282,0.0001450982123569573,1.863468266496384,5.374156107670623e-09
ismail,I,5,95,0.6525449242261749,2.76106510139915e-06,0.00011578886115797674,0.023704991931355945,1.8634681513552054,5.040095514014185e-08
ismail,I,7,95,0.6525449242263934,2.8115425181908462e-06,0.00011578964672355485,0.39910802069357854,1.8634681515432825,5.2176177535360825e-08
ismail,I,10,95,0.6525449242263938,2.8115425485630705e-06,0.00011579251771201489,0.7357054638280084,1.863468151543116,5.217615003105157e-08
ismail,II,3,98,0.7125395982016995,1.5282158005676431e-06,0.00013649169912077015,0.0004295234874412971,2.034528043994051,9.305938141551819e-09
ismail,II,5,98,0.7125397497838184,5.8596352932783145e-06,0.00013807574298081742,0.05313421492933588,2.034528399254272,1.4121088920754904e-07
ismail,II,7,98,0.7125397497840478,5.9724588177132085e-06,0.0001380767102701275,0.46195287019897935,2.034528406230583,1.454192793888111e-07
ismail,II,10,98,0.7125397497840479,5.972458867195768e-06,0.00013807739422391449,0.6750033980798948,2.0345284062305895,1.4541927849332847e-07
pade8,I,12,164,0.1471261961653844,1.2548647371517007e-09,0.00034781260718403983,0.0003478295632003286,4.70110031212225,4.65157532532673e-10
pade8,I,16,164,0.14712619627756907,1.2488878270240168e-09,0.0003478150121822048,0.0003491795286905891,4.70110031247116,1.9768767528752604e-11
pade8,I,20,164,0.14712619627653029,1.2468912247034872e-09,0.0003478150982275043,0.0006418086357465055,4.701100312461726,1.9418298684794594e-11
pade8,I,25,164,0.14712619626461854,1.2490411792680535e-09,0.00034781522011291196,0.017956856790015196,4.701100312448522,2.0369042748093266e-11
pade8,I,30,164,0.14712619626461854,1.2538581708589342e-09,0.0003478154572268669,0.3160892422755304,4.70110031243803,2.1910278196318246e-11
pade8,II,12,181,0.12862006903098314,1.1629073926342146e-09,0.00026585880840245007,0.0002658721966235083,4.110906218196444,3.9991292460240775e-10
pade8,II,16,181,0.12862006910233992,1.1682810928731169e-09,0.0002658605459595421,0.0002663681595278969,4.110906218219886,3.361037674738669e-11
pade8,II,20,181,0.12862006910258997,1.1742138531465169e-09,0.0002658606803832944,0.0004078364694852923,4.110906218223999,3.231650278426934e-11
pade8,II,25,181,0.12862006910259088,1.1822501416071531e-09,0.000265860846289525,0.010502676651438288,4.110906218229037,3.0757346718882416e-11
pade8,II,30,181,0.12862006910259083,1.1895986502488413e-09,0.0002658610359673311,0.2457578399752699,4.110906218233483,2.946856588084314e-11
