step,time,maxabs,minU,maxU,hp_global
0,0.0,1.3333330589075159,0.0,1.3333330589075159,0.0
40,0.01,1.3333277500858565,-1.672053696327536e-06,1.3333277500858565,0.0030393770350196758
80,0.02,1.3333330589024157,-1.5998974858359885e-06,1.3333330589024157,0.006205331807167339
120,0.03,1.3333277500917753,-2.7678056718917096e-06,1.3333277500917753,0.005610728274126409
160,0.04,1.3333330589468024,-3.3168023919768895e-07,1.3333330589468024,0.000637182884132917
200,0.05,1.333327750196616,-1.3442018348154605e-06,1.333327750196616,0.002617860110063628
240,0.06,1.3333330591151493,-1.621423715079286e-06,1.3333330591151493,0.0061475479234727815
280,0.07,1.3333277494933828,-2.773567132484197e-06,1.3333277494933828,0.0056473199289776435
320,0.08,1.333333059956072,-3.2863236994669645e-07,1.333333059956072,0.0006440670960262567
360,0.09,1.3333277484248265,-1.3585751074714495e-06,1.3333277484248265,0.0026528105220861207
400,0.1,1.3333330612232792,-1.6140143172405562e-06,1.3333330612232792,0.00609428847672045
440,0.11,1.3333277479275665,-2.7959137658996935e-06,1.3333277479275665,0.005715344044099411
480,0.12,1.3333330596971014,-3.2739783597784566e-07,1.3333330596971014,0.0007868854579600772
520,0.13,1.3333277498136826,-1.3176539927030844e-06,1.3333277498136826,0.0025209076890384393
560,0.14,1.333333061427145,-1.6520164743796299e-06,1.333333061427145,0.006181986968671548
600,0.15,1.3333277470220142,-2.536571367322017e-06,1.3333277470220142,0.005063381182296023
640,0.16,1.3333330588582983,-3.266578750850678e-07,1.3333330588582983,0.001644877851727474
680,0.17,1.3333277498819534,-1.315800181187216e-06,1.3333277498819534,0.0025888887129597604
720,0.18,1.3333330622526158,-1.7171013420539815e-06,1.3333330622526158,0.006113041451023258
760,0.19,1.333327747312162,-1.9934027675822884e-06,1.333327747312162,0.0036807089801029966
800,0.2,1.3333330594655246,-5.294767122532294e-07,1.3333330594655246,0.0018862590478644643
840,0.21,1.333327749592855,-1.2804386066211768e-06,1.333327749592855,0.0025218965205580338
880,0.22,1.33333306153239,-1.5642847867413845e-06,1.33333306153239,0.005775304876263445
920,0.23,1.3333277472233966,-2.1875191315473873e-06,1.3333277472233966,0.004203934704071512
960,0.24,1.3333330586876015,-1.0187974061619288e-06,1.3333330586876015,0.0023927244706324104
1000,0.25,1.3333277494840383,-6.183860802322554e-07,1.3333277494840383,0.003911157128412172
1040,0.26,1.3333330620667796,-2.2735675659898094e-06,1.3333330620667796,0.008416178608203883
1080,0.27,1.3333277466633042,-3.309815329637327e-06,1.3333277466633042,0.006880804813348627
1120,0.28,1.333333060264584,-2.150951118465643e-06,1.333333060264584,0.0049551374700887146
1160,0.29,1.3333277492196325,-1.7363521282238318e-06,1.3333277492196325,0.007458436236941065
1200,0.3,1.33333306225454,-3.1859611325828926e-06,1.33333306225454,0.011767209776227697
1240,0.31,1.3333277477422503,-4.959761434027466e-06,1.3333277477422503,0.010826066137382438
1280,0.32,1.3333330599401247,-2.799619432672067e-06,1.3333330599401247,0.00929825600679234
1320,0.33,1.3333277490566346,-2.683201754251492e-06,1.3333277490566346,0.011359117833632776
1360,0.34,1.3333330621686552,-4.006891497582129e-06,1.3333330621686552,0.014586608169126472
1400,0.35000000000000003,1.3333277480232555,-5.965649843726101e-06,1.3333277480232555,0.013214488419843422
1440,0.36,1.3333330577084985,-3.5548454380229547e-06,1.3333330577084985,0.012753461389824557
1480,0.37,1.3333277505173518,-2.874864311590267e-06,1.3333277505173518,0.016401044133256732
1520,0.38,1.333333062523278,-5.367533915865407e-06,1.333333062523278,0.019696454891226935
1560,0.39,1.33332774711891,-8.070534023022745e-06,1.33332774711891,0.018574808207234048
1600,0.4,1.3333330547739402,-6.105022086115267e-06,1.3333330547739402,0.018053424159038715
1640,0.41000000000000003,1.333327752643897,-3.202569205921087e-06,1.333327752643897,0.019588897023593756
1680,0.42,1.3333330637508285,-6.154804925672572e-06,1.3333330637508285,0.022627283710990764
1720,0.43,1.333327745393798,-9.173028059628597e-06,1.333327745393798,0.02119707980672324
1760,0.44,1.3333330533733432,-6.837064745282334e-06,1.3333330533733432,0.019421025850990037
1800,0.45,1.3333277539021222,-3.275610171295182e-06,1.3333277539021222,0.019900869258101552
1840,0.46,1.3333330659227247,-6.441255189357211e-06,1.3333330659227247,0.02394157875438096
1880,0.47000000000000003,1.3333277440733158,-9.895115234017572e-06,1.3333277440733158,0.02319337323924717
1920,0.48,1.333333051028584,-7.755951103237335e-06,1.333333051028584,0.021353270752575048
1960,0.49,1.333327756385944,-3.531825626458743e-06,1.333327756385944,0.021358542527371342
2000,0.5,1.3333330679786,-6.892715279398942e-06,1.3333330679786,0.025755324024379994
2040,0.51,1.3333277417569542,-1.1416768596166906e-05,1.3333277417569542,0.027854472386060182
2080,0.52,1.3333330507153138,-1.0775066257727106e-05,1.3333330507153138,0.02792834101791301
2120,0.53,1.3333277579148008,-4.79624826646065e-06,1.3333277579148008,0.02967547888681022
