label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
baseline,0.0,0,0.0,abs,0.02,20.0,0.001,1.0,0.0,,,,
baseline,0.02,20,0.0,abs,0.02,20.0,0.001,1.0,0.0005570731020392885,,,,
baseline,0.04,40,0.0,abs,0.02,20.0,0.001,1.0,0.00043160542714527304,,,,
baseline,0.06,60,0.0,abs,0.02,20.0,0.001,1.0,0.00039220541878030873,,,,
baseline,0.08,80,0.0,abs,0.02,20.0,0.001,1.0,0.0004181526340331256,,,,
baseline,0.1,100,0.0,abs,0.02,20.0,0.001,1.0,0.0004062123128093633,,,,
baseline,0.12,120,0.0,abs,0.02,20.0,0.001,1.0,0.00041153701168382314,,,,
baseline,0.14,140,0.0,abs,0.02,20.0,0.001,1.0,0.0006953424424233876,,,,
baseline,0.16,160,0.0,abs,0.02,20.0,0.001,1.0,0.0015028762141920833,,,,
baseline,0.18,180,0.0,abs,0.02,20.0,0.001,1.0,0.001951420970793241,,,,
baseline,0.2,200,0.0,abs,0.02,20.0,0.001,1.0,0.0012418876893099458,,,,
baseline,0.22,220,0.0,abs,0.02,20.0,0.001,1.0,0.0013892832519195595,,,,
baseline,0.24,240,0.0,abs,0.02,20.0,0.001,1.0,0.002044980208596072,,,,
baseline,0.26,260,0.0,abs,0.02,20.0,0.001,1.0,0.0022217200520714274,,,,
baseline,0.28,280,0.0,abs,0.02,20.0,0.001,1.0,0.004726344687759153,0.5630907991440758,0.8263950338181407,0.003784755875720312,3.3954895051968297
baseline,0.3,300,0.0,abs,0.02,20.0,0.001,1.0,0.0050029290317629895,0.7031777497971197,0.7110141012597847,0.0037626374551297114,3.3738699439669695
baseline,0.32,320,0.0,abs,0.02,20.0,0.001,1.0,0.00645344209380349,0.2684805221087899,0.9632851131664976,0.006283460327747796,3.382442121096897
baseline,0.34,340,0.0,abs,0.02,20.0,0.001,1.0,0.006309615427721282,0.6336417143216645,0.7736266398408874,0.005488064932064811,3.3536939566210027
baseline,0.36,360,0.0,abs,0.02,20.0,0.001,1.0,0.007067107036909993,0.26264711841322774,0.9648919582985588,0.007570119323516861,3.3623879996448256
baseline,0.38,380,0.0,abs,0.02,20.0,0.001,1.0,0.007003387881908263,0.40705759869078595,0.9134024914286641,0.0072762331418644265,3.3403017434620796
baseline,0.4,400,0.0,abs,0.02,20.0,0.001,1.0,0.006999035546785216,0.3361013344406858,0.941825829433017,0.008484638478323923,3.3466699245936624
baseline,0.42,420,0.0,abs,0.02,20.0,0.001,1.0,0.006905523358266451,0.42880657755414325,0.9033963244591506,0.008052389979024984,3.319620386141567
baseline,0.44,440,0.0,abs,0.02,20.0,0.001,1.0,0.006906824807728143,0.33638170235209885,0.9417257298824877,0.008540753851068117,3.31581220555014
baseline,0.46,460,0.0,abs,0.02,20.0,0.001,1.0,0.006847304265041336,0.5063195334218688,0.8623459457059337,0.008481056372778687,3.297369689648905
baseline,0.48,480,0.0,abs,0.02,20.0,0.001,1.0,0.006764349208386809,0.4216539973551347,0.9067568067097352,0.00877099764015265,3.2917897926662363
baseline,0.5,500,0.0,abs,0.02,20.0,0.001,1.0,0.007350399848250769,0.6500411593487393,0.759899000626101,0.00883655121129202,3.2786329103208818
baseline,0.52,520,0.0,abs,0.02,20.0,0.001,1.0,0.007376915826587296,0.6436287057295174,0.7653378921502231,0.009145420714352844,3.2830556085864
baseline,0.54,540,0.0,abs,0.02,20.0,0.001,1.0,0.009195835088264567,0.761792997694201,0.6478205219534829,0.00929653339601946,3.3314865399524827
baseline,0.56,560,0.0,abs,0.02,20.0,0.001,1.0,0.013032692848313225,0.643348818167981,0.7655731827603827,0.012413562429200881,3.3680095175714584
baseline,0.58,580,0.0,abs,0.02,20.0,0.001,1.0,0.015452046571515691,0.685426585526307,0.7281417415955138,0.014368098509026851,3.3621210723584554
baseline,0.6,600,0.0,abs,0.02,20.0,0.001,1.0,0.01996151419772918,0.5459882211941468,0.8377928516747153,0.019165788098400457,3.3711623820879275
baseline,0.62,620,0.0,abs,0.02,20.0,0.001,1.0,0.02375547254613263,0.5512329385009773,0.8343513933059488,0.022518818591957254,3.3688539150427754
baseline,0.64,640,0.0,abs,0.02,20.0,0.001,1.0,0.028519439935797503,0.4533723756121721,0.8913212041861093,0.02746790436311493,3.3736678299681486
baseline,0.66,660,0.0,abs,0.02,20.0,0.001,1.0,0.03298498644555013,0.4656247326774487,0.8849822644093238,0.03108852353795918,3.372230008000958
baseline,0.68,680,0.0,abs,0.02,20.0,0.001,1.0,0.037417634628841824,0.39083594383565284,0.9204603549344722,0.03569768780943381,3.376009136265278
baseline,0.7000000000000001,700,0.0,abs,0.02,20.0,0.001,1.0,0.0409304711559392,0.43959690659326944,0.898195167941594,0.03799817428125393,3.373423327293944
baseline,0.72,720,0.0,abs,0.02,20.0,0.001,1.0,0.04596301424514149,0.3982961558652171,0.9172568736308224,0.04267397423231436,3.3769440942138367
baseline,0.74,740,0.0,abs,0.02,20.0,0.001,1.0,0.050838547964718685,0.44042097814260767,0.8977913800053487,0.0455647668323974,3.3770430631751367
baseline,0.76,760,0.0,abs,0.02,20.0,0.001,1.0,0.05833997642776716,0.4097270980625748,0.9122081479099063,0.05129948113577607,3.382378759942414
baseline,0.78,780,0.0,abs,0.02,20.0,0.001,1.0,0.06526980055782564,0.4566720611982648,0.8896351097618217,0.05417769752024266,3.38458589584058
baseline,0.8,800,0.0,abs,0.02,20.0,0.001,1.0,0.07453243045482677,0.47320993043318366,0.8809496930809508,0.05984749346995173,3.390357479868909
baseline,0.8200000000000001,820,0.0,abs,0.02,20.0,0.001,1.0,0.08272136219309223,0.5246608682114129,0.8513113257602336,0.06309749078445379,3.3948465734670084
baseline,0.84,840,0.0,abs,0.02,20.0,0.001,1.0,0.08998992509470295,0.5516529508573812,0.8340737508220386,0.06875208071449483,3.402161218867251
baseline,0.86,860,0.0,abs,0.02,20.0,0.001,1.0,0.09802027166550364,0.6307782745081318,0.7759631230983491,0.06950536383137626,3.4068903387684397
baseline,0.88,880,0.0,abs,0.02,20.0,0.001,1.0,0.10790717230797814,0.6749447680690029,0.7378682538612702,0.0721324890204167,3.4151349463287186
baseline,0.9,900,0.0,abs,0.02,20.0,0.001,1.0,0.10839843168330449,0.7684071396358918,0.6399613017648699,0.06562937473631335,3.4193828495882244
baseline,0.92,920,0.0,abs,0.02,20.0,0.001,1.0,0.10345037013212098,0.8296591793557797,0.5582702267815238,0.05977281630378243,3.426483776942261
baseline,0.9400000000000001,940,0.0,abs,0.02,20.0,0.001,1.0,0.09152875923700936,0.860847232555678,0.5088634809074342,0.05478053837886347,3.3180422931221614
baseline,0.96,960,0.0,abs,0.02,20.0,0.001,1.0,0.10590998802183348,0.8379752799490268,0.5457081914305028,0.059815888816326046,3.327507042969403
baseline,0.98,980,0.0,abs,0.02,20.0,0.001,1.0,0.11208950027822082,0.8301411782092779,0.5575532478977336,0.06093942881036727,3.3367465664284293
baseline,1.0,1000,0.0,abs,0.02,20.0,0.001,1.0,0.11060241986581353,0.8501496428693274,0.5265411519806927,0.058894585375353234,3.3451908671580703
baseline,1.02,1020,0.0,abs,0.02,20.0,0.001,1.0,0.09951017978170223,0.7413750508315542,0.6710909282686738,0.008129522073709351,2.834999854801092
baseline,1.04,1040,0.0,abs,0.02,20.0,0.001,1.0,0.10010888008092855,0.8586637184627116,0.5125393824827402,0.008039013446080148,2.8149998548010924
baseline,1.06,1060,0.0,abs,0.02,20.0,0.001,1.0,0.11257641469497658,0.8468066976302941,0.5319007584582632,0.05973975465199328,3.2656652745185593
baseline,1.08,1080,0.0,abs,0.02,20.0,0.001,1.0,0.1138545559915014,0.8512959574016821,0.5246858039927831,0.05968513717715221,3.2762295017418968
baseline,1.1,1100,0.0,abs,0.02,20.0,0.001,1.0,0.10327818094132976,0.6286733530752739,0.7776694767914526,0.007693315805576832,2.75499985480109
baseline,1.12,1120,0.0,abs,0.02,20.0,0.001,1.0,0.10598439204357482,0.8645786186294488,0.502497574331254,0.007556327117813926,2.7349998548010905
