label,time,step,c0,kind,h,kappa,dt,compacton_speed,max_ahead_HP_over_h2,best_fit_relL2,best_fit_corr,best_fit_A_over_h2,best_fit_center_ahead
c0_equal_c,0.0,0,1.0,abs,0.02,20.0,0.001,0.0,0.0,,,,
c0_equal_c,0.02,20,1.0,abs,0.02,20.0,0.001,0.0,0.0006347433488781238,,,,
c0_equal_c,0.04,40,1.0,abs,0.02,20.0,0.001,0.0,0.0006874025945153397,,,,
c0_equal_c,0.06,60,1.0,abs,0.02,20.0,0.001,0.0,0.00054756427818495,,,,
c0_equal_c,0.08,80,1.0,abs,0.02,20.0,0.001,0.0,0.0005394109269275445,,,,
c0_equal_c,0.1,100,1.0,abs,0.02,20.0,0.001,0.0,0.0005780254696467019,,,,
c0_equal_c,0.12,120,1.0,abs,0.02,20.0,0.001,0.0,0.00046773355052872896,,,,
c0_equal_c,0.14,140,1.0,abs,0.02,20.0,0.001,0.0,0.000506147179886243,,,,
c0_equal_c,0.16,160,1.0,abs,0.02,20.0,0.001,0.0,0.0004864893059025638,,,,
c0_equal_c,0.18,180,1.0,abs,0.02,20.0,0.001,0.0,0.0005061511480025505,,,,
c0_equal_c,0.2,200,1.0,abs,0.02,20.0,0.001,0.0,0.0006182708674506342,,,,
c0_equal_c,0.22,220,1.0,abs,0.02,20.0,0.001,0.0,0.0004078247545581558,,,,
c0_equal_c,0.24,240,1.0,abs,0.02,20.0,0.001,0.0,0.0006713174022995364,,,,
c0_equal_c,0.26,260,1.0,abs,0.02,20.0,0.001,0.0,0.00036341430047726845,,,,
c0_equal_c,0.28,280,1.0,abs,0.02,20.0,0.001,0.0,0.0005674683064309567,,,,
c0_equal_c,0.3,300,1.0,abs,0.02,20.0,0.001,0.0,0.0006999677525849377,,,,
c0_equal_c,0.32,320,1.0,abs,0.02,20.0,0.001,0.0,0.0003146809640765543,,,,
c0_equal_c,0.34,340,1.0,abs,0.02,20.0,0.001,0.0,0.0006132089919735947,,,,
c0_equal_c,0.36,360,1.0,abs,0.02,20.0,0.001,0.0,0.0009272681620160948,,,,
c0_equal_c,0.38,380,1.0,abs,0.02,20.0,0.001,0.0,0.0002967576268621961,,,,
c0_equal_c,0.4,400,1.0,abs,0.02,20.0,0.001,0.0,0.00045769114917879733,,,,
c0_equal_c,0.42,420,1.0,abs,0.02,20.0,0.001,0.0,0.0009366677895121499,,,,
c0_equal_c,0.44,440,1.0,abs,0.02,20.0,0.001,0.0,0.0005606497883205687,,,,
c0_equal_c,0.46,460,1.0,abs,0.02,20.0,0.001,0.0,0.0004892659363174429,,,,
c0_equal_c,0.48,480,1.0,abs,0.02,20.0,0.001,0.0,0.0003784579174330353,,,,
c0_equal_c,0.5,500,1.0,abs,0.02,20.0,0.001,0.0,0.0005215049468840134,,,,
c0_equal_c,0.52,520,1.0,abs,0.02,20.0,0.001,0.0,0.0003945226968591429,,,,
c0_equal_c,0.54,540,1.0,abs,0.02,20.0,0.001,0.0,0.0008316762628246896,,,,
c0_equal_c,0.56,560,1.0,abs,0.02,20.0,0.001,0.0,0.0004959607089729742,,,,
c0_equal_c,0.58,580,1.0,abs,0.02,20.0,0.001,0.0,0.0005195287361901899,,,,
c0_equal_c,0.6,600,1.0,abs,0.02,20.0,0.001,0.0,0.0007203535322671706,,,,
c0_equal_c,0.62,620,1.0,abs,0.02,20.0,0.001,0.0,0.000394253349646242,,,,
c0_equal_c,0.64,640,1.0,abs,0.02,20.0,0.001,0.0,0.0005409537462013599,,,,
c0_equal_c,0.66,660,1.0,abs,0.02,20.0,0.001,0.0,0.0005557749486895444,,,,
c0_equal_c,0.68,680,1.0,abs,0.02,20.0,0.001,0.0,0.0006131734053466803,,,,
c0_equal_c,0.7000000000000001,700,1.0,abs,0.02,20.0,0.001,0.0,0.0005411902215320431,,,,
c0_equal_c,0.72,720,1.0,abs,0.02,20.0,0.001,0.0,0.00047444518223420764,,,,
c0_equal_c,0.74,740,1.0,abs,0.02,20.0,0.001,0.0,0.0005434086173914002,,,,
c0_equal_c,0.76,760,1.0,abs,0.02,20.0,0.001,0.0,0.0006443824708843734,,,,
c0_equal_c,0.78,780,1.0,abs,0.02,20.0,0.001,0.0,0.0005349307831287344,,,,
c0_equal_c,0.8,800,1.0,abs,0.02,20.0,0.001,0.0,0.0006023548064474853,,,,
c0_equal_c,0.8200000000000001,820,1.0,abs,0.02,20.0,0.001,0.0,0.0006671797195534122,,,,
c0_equal_c,0.84,840,1.0,abs,0.02,20.0,0.001,0.0,0.0006311307238629172,,,,
c0_equal_c,0.86,860,1.0,abs,0.02,20.0,0.001,0.0,0.0003823616945180176,,,,
c0_equal_c,0.88,880,1.0,abs,0.02,20.0,0.001,0.0,0.00041963218210503014,,,,
c0_equal_c,0.9,900,1.0,abs,0.02,20.0,0.001,0.0,0.0006094563505214342,,,,
